start	end	text
0	5980	leciti, efficienti e controllabili. Ecco, questa proposta e tutte quelle che erano
5980	12840	state fatte prima, ha suscitato molte polemiche, ma ha richiamato, io lo desidero dire per
12840	20800	onestà, un'attenzione diffusissima all'interno dei ceti popolari del nostro Paese. Migliaia
20800	26220	di lettere, di interventi, un grande calore umano nel nostro Partito, il senso di una
27420	32740	liberazione per programmi che meritino il comune impegno, la coscienza di poter uscire
32740	37740	dalle dialettiche di ogni giorno rinserrati nella forza dei leoni della Chiarelli sui
37740	43360	quattro punti della scala mobile, la convinzione che vi è qui la possibilità di dare il respiro
43360	49000	vero alla politica della pace che non si fa con le manifestazioni e con le processioni
49000	54680	e che non può non partire da una mobilitazione di giustizia. Hanno fatto osservazione anche
54680	61800	i rappresentanti delle missioni e del volontariato cattolico, ma le loro motivazioni, le loro
61800	67120	critiche hanno il fondamento di una grande serietà, di un bisogno di verità, di una
67120	73340	lotta ad ogni protagonismo, ad ogni demagogia. Le accettiamo e vanno accettate migliorando
73340	79340	il lavoro di chi si occupa di queste cose, ma nessuno può immaginare che ci si spaventi.
79340	86700	Siamo stati in contatto con il Ministro degli Esteri, Andreotti, con i Ministri Vigentini
86700	92660	e Goria. Si cerca una definizione complessiva che valga portare ad un intervento serio e
92660	99980	dignitoso. Rilevo l'importanza dell'iniziativa, antitutto osservando – avrei potuto cancellarla
99980	105300	da questo intervento, ma credo che faccia parte di questa nostra discussione – osservando
105300	110260	che se non ci fossimo mossi, riprendendo e continuando l'opera di Amici Valorosi
110260	116340	e cito di nuovo fra tutti Bonalu, che ha portato all'interno del partito questo tema con
116340	122460	grande sensibilità e grande coraggio, questi mesi sarebbero trascorsi senza le inquietudini
122460	127360	e le polemiche su questo problema. Quindi togliendo di mezzo, come mi ha scritto un
127360	134620	aspro contestatore l'altro giorno, togliendo di mezzo questa inutile passione per le miserie
134620	140840	di paesi africani e orientali ammalati di fame per la loro inciviltà, mentre la disoccupazione
140840	146600	occupa le nostre metropoli e persino i nostri villaggi. Certo, ma io considero importante
146600	152160	questo nostro uscire dalle frontiere con la febbre dell'eliminazione di così mani
152160	157420	ingiustizie, con la fede di costruire un mondo migliore, con la lucida consapevolezza
157420	162920	della vastità e dell'immensità del problema. Si è discusso di questa proposta e delle
162920	169700	altre nella commissione esterici si è incontrati, il governo si è dichiarato comunque disponibile
169700	176400	ad un intervento d'emergenza. Noi abbiamo chiesto e chiediamo che tal intervento si
176400	182400	ponga in alcune linee semplici e chiare, e ciò non per moltiplicare la burocratia,
182920	187460	per una politica di leggerezza, ma per spendere bene i denari del contribuente italiano e
187460	193540	per una vittoria sulla morte. I più leali e competenti dei nostri critici, pur riconoscendo
193540	199000	la bontà dei progetti presentati, hanno eccepito la brevità dei tempi per la realizzazione
199000	204800	previsti dalle proposte di legge. E questa a mio parere la riserva seria, ma che può
204800	210960	essere superabile se infatti l'avvio di questi interventi avrà successo, mi sembra evidente
210960	216160	che la nuova riforma organica della cooperazione, della legge 38, sulla quale mi pare che tutte
216160	221840	le parti politiche sono d'accordo, non potrà che proseguire magari con altre forme un'esperienza
221840	227300	riuscita. Ma la cosa più importante proprio dal punto di vista legislativo e politico
227300	234400	è quello di fissare rigidamente un obiettivo e stimolare tutte le energie del Paese a misurarsi
234400	242040	con quello di milioni di vite che stanno per spegnersi. Falsi realismi, impostazioni riduttive,
242040	247940	compromessi con chi altri interessi provocherebbero il fallimento dell'iniziativa politica che
247940	253500	tante coscienze mobilita, che tanto consenso provoca, che tante attesi stimola nel mondo
253500	258900	italiano. C'è chi oggi parla di silenzio sul problema della fame dopo un dibattito
258900	264420	definito ossessivo. Nessun silenzio, come questo nostro incontro dei deputati democratici
264420	269900	cristiani dimostra, nessuna ossessione ma solo un atto di realismo, un appello alla
269900	274480	collaborazione impegnando le amministrazioni dello Stato, gli organismi internazionali
274480	279600	e le organizzazioni private e volontarie che da anni e con grandi meriti operano nel settore.
279820	284800	Io chiedo una tregua sulle polemiche che si sono aperte su un problema così drammatico
284800	291100	come la fame, la miseria, le malattie, la morte, lo sviluppo di questi popoli che non
291100	297320	possono attendere i nostri distingui, le nostre suscettibilità, i nostri bizantinismi. Si
297320	302360	devono trovare vite con interventi adeguati e con mezzi adeguati. E' certamente lodevole
302360	307060	la proposta di un piano straordinario che è stata fatta in questi giorni destinandosi
307060	312520	a proposto almeno 300 miliardi da utilizzare in cinque regioni, ma non risponde, mi pare,
313060	319380	alla gravità, alla drammaticità del problema. Se decreto legge governativo deve esservi,
319460	323880	così è stato detto, ebbene esso deve puntare ad un intervento proporzionato alla situazione
325040	330480	efficiente con il dovere di severi controlli a garanzia della sua correttezza. Se vogliamo
330480	335720	davvero operare per salvare queste vite, per impostare lo sviluppo di precise aree, se
335720	340540	vogliamo compiere un'azione di pace, se vogliamo anche per questa via rilanciare il dialogo
340540	347400	nord sud, ebbene mi pare che non ci siano molte strade. Occorre mettere da parte particolarismi
347400	351880	per un grande atto di concordia politica, per un'iniziativa urgente che atti una politica
351880	356480	di solidarietà che consenta di spendere bene i denari dei cittadini italiani. Occorre
356480	364360	anche inserire nella legge che si farà un qualche cosa che costringa i cittadini a spendere
364360	370100	qualche cosa, che si rendano conto che coi loro soldi e con qualche spesa in meno per
370100	377680	la loro vita, che si realizzano interventi così decisivi. In sintesi, non possiamo rimanere
377680	385060	politicamente indifferenti davanti a un così grave problema. E dove è mai scritto che
385060	390180	il sentimento cristiano della persona umana, della vita, non debba divenire politica o
390180	394960	debba fermarsi ai confini del nostro Paese, è una sfida che dobbiamo lanciare non solo
394960	400100	nei confronti della fame, della povertà, della morte e della guerra, ma anche soprattutto
400100	405300	nei confronti di questo nostro mondo occidentale, che stenta a ritrovare in sé le grandi frontiere
405300	411000	e i grandi progetti su cui misurare la forza della sua civiltà, della sua cultura nei
411000	415140	confronti di chi promette la rivoluzione ed è capace di portare solo l'ingiustizia e
415140	423740	la violenza. Ecco perché io parteci però a questo convegno con grande interesse, ma
423740	428400	anche recando qui la determinazione della democrazia cristiana di fare l'impossibile
428400	431640	perché le parole si traducano ancora di più del passato in realtà.
437840	446280	Ringrazio il Presidente Piccoli per questo intervento, mi auguro che possa una volta
446280	453800	onorato l'impegno che ha per tornare ai nostri lavori e do la parola a professora Giuseppe
453800	458740	Scidà da Università di Trento, ci volevamo in molti volti della fame.
477840	483560	In una recente dibattica del risultato sulla parte parlamentare di diversi partiti italiani
483560	489760	con il quale otto persone esiste, il moderatore confudeva invece il confronto con una frase
489760	494720	che suonava prima così. Questo dibattico ha mostrato la sostanziale
494720	499580	unanimità di tutte le forze politiche nel riconoscere la necessità di un centro di
499580	505100	impegno per l'Italia, che alla volta aveva la parola francese, che aggiungeva profonde
505100	510620	divergenze e invece resta nessuno strumento da utilizzare, però si riconosce una verificazione
510620	515580	di questo impegno. Sebbene questa frase sembra che la sua esigente
515580	522260	eccità a cogliere bene il passato del dibattito dell'Italia, la mia impressione è che l'ampio
522260	527200	dell'Italia in strumenti operativi, emergente da numerose proposte e diete presentate,
527560	533320	la si trasferisce se non alla divergenza negli obiettivi di fondo, quantomeno un diverso
533320	540180	osmoso di intende da alcune parole piante, come aiuti, pane, bocca alla pane, o forse
540180	544980	qui probabilmente un diverso livello di conoscenza e informazioni affinati a questo progetto.
545740	550820	La mia relazione dunque cercherò di offrire una serie di elemenzioni, non per definire
550820	556220	evidentemente realtà estremamente complesse, come lo sentine la Filosofia degli Eliti,
556700	561600	la sfaccettata realtà del grano della pane, le articolazioni della regina di bocca alla
