start	end	text
22560	26760	Non ho tempo per farvi un punto saba perché devo rientrare, però ci tengo a dire una cosa.
26760	37220	Rispetto a questo dibattito sulla mancata presenza italiana nelle riunioni tra Gran Bretagna, Francia, Polonia, Germania e Ucraina,
37480	47760	io devo ribadire una cosa che ho già spiegato diverse volte, e cioè l'Italia ha da tempo dichiarato di non essere disponibile a mandare truppe in Ucraina.
47870	57010	Non avrebbe senso per noi partecipare a dei formati che hanno degli obiettivi sui quali non abbiamo dichiarato la nostra disponibilità.
57250	65950	Credo che sia un fatto di chiarezza e di coerenza, e a chi si lamenta, l'opposizione per esempio, chiedo la stessa chiarezza e stessa coerenza,
65970	74430	cioè ci si chiede di partecipare a questi formati perché dovremmo mandare le truppe in Ucraina, o ci si chiede di partecipare a questi formati per fare una foto e poi dire di no.
74990	78670	Perché in queste cose bisogna essere seri, e io sono una persona seria.
78870	85610	Dopodiché ovviamente l'Italia che ha sempre sostenuto l'Ucraina e continua a sostenere l'Ucraina nell'ambito di quello che è stato deciso,
85670	93110	in ambito UE e in ambito ONU, continua a partecipare a tutti gli altri tavoli, a tutti gli altri livelli, a tutti gli altri format, a tutte le altre iniziative.
93230	99630	Su questa iniziativa specifica noi non abbiamo dato la nostra disponibilità, spero di essere stata ancora una volta molto chiara.
