start	end	text
0	3540	L'Italia è a tutti gli effetti una super potenza agroalimentare.
3680	8820	A comparto genera circa 5 milioni di posti di lavoro, vale il 15% del prodotto interno lordo,
8880	13460	ha raggiunto un record storico, 72,4 miliardi di euro di export.
13940	18460	I nostri prodotti sono famosi in tutto il mondo, sono i nostri primi ambasciatori,
18840	21940	tra i biglietti di visita più straordinari che possiamo avvantare.
22320	27560	Questo governo ha scelto di rafforzare fin dal primo giorno questo sistema con una visione strategica
27560	33760	e mettendo a disposizione risorse che non hanno precedenti, oltre 15 miliardi di euro, in appena tre anni.
33920	38560	Abbiamo investito nelle giovani generazioni, nell'innovazione, nell'internazionalizzazione,
38780	42900	nella logistica, nei contratti di filiera, nello sviluppo delle energie rinnovabili,
43060	48000	permettendo a decine di migliaia di aziende di installare impianti fotovoltaici sui propri tetti
48000	53620	e capannoni senza però sottrarre all'agricoltura un metro quadro in più di suolo agricolo.
53620	59820	Abbiamo potenziato la lotta alle frodi e alle contraffazioni per garantire ai cittadini maggiore trasparenza,
60020	62380	tracciabilità, qualità del prodotto.
62620	65180	E in un contesto internazionale tra i più complessi di sempre,
65360	69580	stiamo focalizzando il nostro impegno per contenere i costi di produzione lungo la filiera.
69780	72240	Abbiamo prorogato il taglio delle accese sui carburanti,
72400	77140	assicurato un credito di imposta per il gasolio agricolo, per i nostri agricoltori, per i nostri pescatori.
77740	82160	Inoltre, abbiamo chiesto ottenuto dalla Commissione Europea la sospensione del meccanismo C-BAM
82160	86960	per i fertilizzanti di importazione con l'obiettivo di calmirare il mercato.
87100	90580	In Europa, chiaramente, continueremo a fare quello che abbiamo fatto finora,
90640	94100	ovvero difendere le nostre imprese, difendere i nostri produttori.
94300	100200	Ecco perché credo che avere ottenuto per la futura politica agricola comune 10 miliardi di euro in più
100200	107100	rispetto alla proposta iniziale di Bruxelles sia un grande successo dell'Italia e dell'agricoltura italiana di cui dobbiamo essere fieri.
107300	109620	Ma il nostro impegno, ovviamente, non finisce qui.
109620	113780	Prosegue con ancora più forza, con ancora maggiore determinazione,
113960	117920	come dimostra il disegno di legge coltiva Italia che sta per concludere il suo itero in Parlamento
117920	126360	e che prevede misure concrete per rafforzare la sovranità alimentare, le filiere deboli, il ricambio generazionale e la ricerca in agricoltura.
126860	129900	Ma come ricorda anche il lavoro che ha portato alla definizione,
129940	135000	proprio nell'ultimo Consiglio dei ministri, del decreto attuativo della legge delega sul florovivaismo
135000	141840	che dà stabilità e regola a un settore, per troppo tempo dimenticato, ma che produce reddito e occupazione.
142500	146480	Cari amici, l'agroalimentare è un pilastro insostituibile del sistema Italia.
146600	150660	Io voglio ringraziare tutti voi e tutti i lavoratori e i produttori del comparto
150660	155600	per il contributo che assicurate al prestigio, alla forza, alla prosperità di questa nazione.
156020	159840	Il governo continuerà a fare la propria parte per tutelare e valorizzare l'agricoltura italiana
159840	165760	perché l'agricoltura italiana è un patrimonio inestimabile di conoscenza, di lavoro, di cultura, di identità.
166220	171520	Un patrimonio che ci rende unici e competitivi nel mondo e di cui chiaramente siamo profondamente orgogliosi.
172000	176160	Quindi grazie davvero e faccio gli auguri di buon lavoro per oggi.
