start	end	text
0	6200	Quante preoccupazione, quante difficoltà per chi si trova nella situazione più difficile
6200	11400	in questo momento. E allora la battaglia che stiamo conducendo sul costo del denaro non
11400	16260	è la battaglia solo per la nostra sopravvivenza, è una grande battaglia per modernizzare il
16260	21880	Paese, è una grande battaglia contro la rendita. Io capisco che può sembrare uno slogan, ma
21880	26880	purtroppo non è più uno slogan e lo dico oggi. La situazione economica del Paese è
26920	31180	tale per cui gli interessi della rendita, gli interessi della produzione del lavoro sono
31180	38120	oggettivamente differenziati e bisogna scegliere e bisogna scegliere presto. E allora bisogna
38120	47180	certo favorire che aumenti la competizione del sistema bancario perché spinge a ridurre
47180	51720	i tassi di... il differenziale di intermediazione significa costringere anche le banche a migliorare
51820	57840	l'efficienza interna. Bisogna evitare che problemi di crisi industriale diventino l'occasione
57840	63620	per mero veicolo di salvataggi aziendali e non per una filosofia di integrazione intelligente
64740	70580	combinata ma responsabile tra banca e industria. Bisogna rendersi conto che la riduzione di
70580	75480	inflazione è oggi sostanzialmente accreditabile sul conto del raffreddamento della crescita
75480	81280	del costo del lavoro, un primo passo difficile che è stato fatto. Ecco, io penso che queste
81280	85840	scelte siano le scelte che sono di fronte al Governo e all'autorità monetaria nei
85840	92440	prossimi mesi. Dicevo prima sviluppo controrendita, un vecchio, vecchissimo, logro anche questo
92440	97960	forse, slogan impreditoriale, ma che oggi è diventata realtà perché soltanto una riduzione
97960	103220	degli interessi rappresenta un'incruciabile diminuzione del debito pubblico e un aumento
103220	107760	delle opportunità di investimenti. In questo contesto va a inserirsi la trattativa
108660	115940	sulle relazioni industriali, il problema della rappresentatività delle parti, perché
115940	121120	il problema della rappresentanza è fondamentale, è il fondamento della patruzione contrattuale.
121160	126680	Come è possibile negoziare qualcosa se ogni intesa dovesse essere sottoposta a conferma
126680	132580	capitolo per capitolo? Come è possibile costruire credibili relazioni industriali anche in azienda
132580	138500	se non si è risolto insieme, dovrei dire prima, ma abbiamo scelto insieme, il problema
138500	143360	delle regole della rappresentanza? E allora dobbiamo dire che per quanto riguarda
143360	148260	questo aspetto è chiara l'esigenza di contemporare la struttura di rappresentanza diretta dei
148260	155300	lavoratori con quella delle associazioni liberamente costituite. Bisogna evitare sia i rischi dell'assemblierismo
155300	161700	sia i rischi del neocorporativismo. Il negoziato in corso è molto complesso, investe
161700	166440	sui livelli e sedi contrattuali, con conseguenze dirette sulla struttura di rappresentanza.
167020	172680	Investe le soglie degli incrementi retributivi negoziabili, con ulteriori ricadute sui reddite
172680	178500	e sui tassi di inflazione. Io, come l'anno scorso, ho cercato di non usare in questa
178500	180000	occasione una tecnica...
