start	end	text
11400	19320	Presidente della Repubblica, Distinte Autorità, Cari Cittadini, Voglio ringraziare di cuore
19320	23560	il Consiglio Regionale del Frulli Venezia Giulia, il Presidente Bordin, il Presidente
23560	28320	Federica per questa iniziativa e per questo invito per avermi consentito di essere qui
28580	41760	oggi. 50 anni fa un rombo d'inferno attraversava questa terra meravigliosa, una calamità
41760	49700	dalla forza mai vista prima, fermò la vita di quasi mille persone, distrusse città e
51580	59740	frantumò pietre che erano millenarie e in molti, nel buio di quella notte, pensarono
59740	67620	che dalle viscere delle montagne si fosse risvegliato il leggendario Orcolat e che per
67620	73080	cinquantanove interminabili secondi avesse deciso di far sentire il proprio urlo lasciando
73080	80560	dietro di sé morte e distruzione e poi alla furia di quella scossa seguirono un silenzio,
80580	90220	un buio irreali che avvolsero quelle terre di angoscia e sconforto. Eppure è stato detto
90220	95340	in tutti gli interventi che mi hanno preceduto, il tempo della paura e il tempo del dolore
95340	105160	breve, perché ci fu un altro sentimento che immediatamente si fece largo nel cuore dei friulani
105160	110820	e quel sentimento era l'orgoglio, l'orgoglio dell'appartenenza, l'orgoglio della volontà,
111780	118740	l'orgoglio della determinazione, non c'era tempo per piangere, non c'era tempo per commiserarsi,
118740	128800	bisognava agire e bisognava reagire. Dove in molti si sarebbero sentiti sconfitti, sarebbero
128800	137280	stati vinti dal lutto, dalla disperazione, i friulani no. I friulani fecero la propria mossa,
138180	145880	i friulani decisero di sfidare l'Orcolat, si rimboccarono le maniche, si misero al lavoro,
145880	152560	decisero che avrebbero fatto rinascere questa terra dalle macerie che l'avevano sfigurata e lo
152560	160160	fecero in un modo così straordinario da riuscire a trasformare la tragedia in un modello per l'Italia
160160	167200	intera, il modello friuli, ovvero il miglior esempio di ricostruzione post-sismica che l'Italia
167200	187540	abbia conosciuto ad oggi. Un modello che nasceva da intuizioni semplici e pure brillanti, così
187540	198420	visionarie per l'epoca da essere ancora efficaci oggi, le migliori che conosciamo. Molte di quelle
198420	217280	intuizioni come pure è stato ricordato portano la firma di un uomo che l'Italia annovera tra i
218280	225620	governo Moro non aveva esattamente attribuito un compito facile come quello di commissario per
225620	231960	l'emergenza. Quando Zamberletti arrivò qui, poche ore dopo la prima terribile scossa del 6 maggio,
233260	239560	si ritrovò chiaramente di fronte un popolo che non era rimasto in attesa, che si era già messo a
