start	end	text
0	4700	della Commissione, al Presidente del Consiglio Europeo, ai Presidenti, ai Primi Ministri,
4820	10480	tanti colleghi che sono venuti qui oggi a Roma per partecipare a questa importante iniziativa,
10660	19660	a tutte le delegazioni che sono presenti. Voglio ringraziarli perché i numeri impressionanti
19660	27320	di questa conferenza, 70 nazioni rappresentate, oltre 40 organizzazioni internazionali, migliaia
27320	35780	tra aziende e realtà della società civile, raccontano meglio di qualsiasi altra iniziativa
35780	44500	quale futuro tutti insieme vediamo per l'Ucraina e con quanta convinzione crediamo in quel
44500	53600	futuro. Il colpo d'occhio per chi ha la possibilità di vederlo da questo palco è di straordinario
53620	58400	impatto e chiaramente per questo voglio ancora una volta ringraziare il Ministro degli Estri
58400	64160	Antonio Tajani, tutta la Farnesina, tutti coloro che si sono prodigati per la riuscita
64160	71020	di questo evento. Così come voglio salutare e ringraziare gli altri Ministri del Governo
71020	77180	italiano presenti, il Presidente del Senato Ignazio Larussa e i leader dei governi, delle
77180	81920	nazioni che prima di noi hanno avuto la responsabilità di organizzare questa conferenza e quelli
81920	88540	che la avranno dopo di noi ricevendone il testimone. Questa partecipazione così ampia
88540	96280	a così alto livello trasmette al mondo un messaggio estremamente importante. Dice che
96280	104600	ognuno di noi è qui per fare la sua parte per un obiettivo comune, che è guardare oltre
104600	111000	l'insopportabile ingiustizia che da più di tre anni viene inflitta al popolo ucraino
111520	120700	e sapere immaginare ora una Ucraina ricostruita, libera e prospera. E dice che intendiamo raggiungere
120700	127340	questo scopo non solo aiutando l'Ucraina a difendersi, portando avanti ogni sforzo per
127340	133100	arrivare alla pace come stiamo facendo, ma anche soprattutto sapendo immaginare il dopo,
133880	138700	interrogandoci su come ricostruire quello che è stato distrutto, strade, ponti, scuole,
138700	146360	chiese, ospedali. E questo è il messaggio che vogliamo ribadire con forza oggi. La
146360	153240	Russia incrementa gli attacchi contro i civili, colpisce le infrastrutture indispensabili per
153240	161580	la popolazione perché il disegno è lo stesso dall'inizio della guerra. Tentare di piegare
161580	170120	gli ucraini con il buio, con il freddo, con la fame, con la paura. Questo piano, come altri,
170520	178780	è fallito. È fallito in primo luogo perché tutti hanno imparato quanto gli ucraini siano molto più
178780	186160	tenaci di ogni aspettativa ed è fallito perché la comunità internazionale si è schierata contro
186160	192640	questo scempio, assicurando l'assistenza urgente e necessaria per garantire la continuità dei
192640	200360	servizi essenziali. Penso che dovremmo tenerne conto, dovremo tenerne conto in futuro, dovremo
200360	206600	tenere conto di chi ha fatto tutto ciò che poteva per impedire questa barbarie e chi invece non l'ha
206600	212540	fatto. Ed è per questo che, come è scritto anche nella dichiarazione dei ministri delle finanze del
212540	220580	1717, noi vogliamo lavorare con l'Ucraina anche per non consentire che della ricostruzione possano
220580	227700	beneficiare anche quelle entità che hanno contribuito a finanziare la macchina da guerra russa.
234680	239600	Abbiamo visto un video molto emozionante e la voce narrante diceva
247440	255920	è esattamente quello che intendiamo fare, fermare l'oscurità, costruire un futuro forte, un futuro
255920	261520	all'altezza di una nazione fiera, orgogliosa come all'Ucraina, una nazione che nonostante le bombe,
261660	265700	nonostante gli attacchi contro le infrastrutture strategiche, nonostante gli sfollati, le vittime,
265700	274460	i bambini strappati dalle loro famiglie, continua ad avere un'economia viva, un'economia resiliente.
275400	281780	La guerra intacca spesso la fiducia che si ha nel domani, l'abbiamo visto tante volte nella storia.
282640	287760	In questo caso non è stato così. In questo caso il popolo ucraino ha guardato dritto negli occhi il
287760	293660	proprio nemico e ha scelto di combattere. E non ha scelto di combattere perché ama il conflitto,
294380	302540	ha scelto di combattere perché ama quello che sta difendendo, perché sa vedere oltre quel conflitto.
302880	309460	È questo che ha permesso all'Ucraina di continuare a vivere, a produrre, a innovare, a cercare una
309460	317320	luce anche nell'oscurità più profonda. Il nostro compito è aiutare l'Ucraina e lo faremo a scrivere
317320	323040	questo nuovo capitolo della sua storia per amore di giustizia e come monito per il futuro.
323820	331180	L'Italia intende per questo e su questo giocare un ruolo da protagonista e può farlo non solo
331180	337040	per la costanza, la chiarezza con le quali fin dall'inizio si è schierata dalla parte giusta
338420	344860	della storia, senza mai tentennare, ma anche perché il suo solido, straordinario tessuto
344860	349840	produttivo ha tutte le carte in regola per generare un moltiplicatore di investimenti,
349880	354460	un moltiplicatore di opportunità. Perché la sfida che abbiamo di fronte richiede certamente
355200	359880	il massimo sforzo da parte delle nazioni, dei governi, delle istituzioni multilaterali e
359880	367240	finanziarie, ma è una partita che noi possiamo vincere solo se riusciremo a contare su una robusta
368000	372340	mobilitazione dei capitali privati, sullo spirito imprenditoriale delle aziende, sulla loro capacità
372600	380120	di attrarre investimenti. L'entusiasmo, il dinamismo che le nostre imprese hanno dimostrato,
380120	386300	stanno dimostrando, il genio e la creatività che tutto il mondo riconosce loro dicono che il sistema
386300	394760	Italia può fare la differenza. È un impegno che trova oggi concretezza negli accordi che alcune,
395540	401360	tra le nostre principali aziende, Leonardo, Enel, Terna, Snam, Ferrovie, ma davvero ne sto citando
