start	end	text
28240	29680	Sottotitoli creati dalla comunità Amara.org
58580	59980	Sottotitoli creati dalla comunità Amara.org
88580	89980	Sottotitoli creati dalla comunità Amara.org
119500	119700	Sottotitoli creati dalla comunità Amara.org
149320	149720	Sottotitoli creati dalla comunità Amara.org
178100	179580	Sottotitoli creati dalla comunità Amara.org
209480	209700	Sottotitoli creati dalla comunità Amara.org
238580	239980	Sottotitoli creati dalla comunità Amara.org
268160	269620	Sottotitoli creati dalla comunità Amara.org
298580	299980	Sottotitoli creati dalla comunità Amara.org
328580	329980	Sottotitoli creati dalla comunità Amara.org
358580	359980	Sottotitoli creati dalla comunità Amara.org
389520	389720	Sottotitoli creati dalla comunità Amara.org
418580	419980	Sottotitoli creati dalla comunità Amara.org
448580	449980	Sottotitoli creati dalla comunità Amara.org
479520	479720	Sottotitoli creati dalla comunità Amara.org
508580	509980	Sottotitoli creati dalla comunità Amara.org
538580	539980	Sottotitoli creati dalla comunità Amara.org
569600	569680	Sottotitoli creati dalla comunità Amara.org
598280	599740	Sottotitoli creati dalla comunità Amara.org
628260	629740	Sottotitoli creati dalla comunità Amara.org
659460	659720	Sottotitoli creati dalla comunità Amara.org
688580	689980	Sottotitoli creati dalla comunità Amara.org
718580	719980	Sottotitoli creati dalla comunità Amara.org
749520	749660	Sottotitoli creati dalla comunità Amara.org
779480	779680	Sottotitoli creati dalla comunità Amara.org
808580	809980	Sottotitoli creati dalla comunità Amara.org
838580	839980	Sottotitoli creati dalla comunità Amara.org
868580	869980	Sottotitoli creati dalla comunità Amara.org
898580	899980	Sottotitoli creati dalla comunità Amara.org
928580	929980	Sottotitoli creati dalla comunità Amara.org
958240	959700	Sottotitoli creati dalla comunità Amara.org
989520	989720	Sottotitoli creati dalla comunità Amara.org
1018580	1019980	Sottotitoli creati dalla comunità Amara.org
1048580	1049980	Sottotitoli creati dalla comunità Amara.org
1078580	1079980	Sottotitoli creati dalla comunità Amara.org
1108580	1109980	Sottotitoli creati dalla comunità Amara.org
1138580	1139980	Sottotitoli creati dalla comunità Amara.org
1169420	1169680	Sottotitoli creati dalla comunità Amara.org
1198280	1199720	Sottotitoli creati dalla comunità Amara.org
1228200	1229680	Sottotitoli creati dalla comunità Amara.org
1259540	1259680	Sottotitoli creati dalla comunità Amara.org
1288580	1289980	Sottotitoli creati dalla comunità Amara.org
1318580	1319980	Sottotitoli creati dalla comunità Amara.org
1348580	1349980	Sottotitoli creati dalla comunità Amara.org
1378580	1379980	Sottotitoli creati dalla comunità Amara.org
1408580	1409980	Sottotitoli creati dalla comunità Amara.org
1438580	1439980	Sottotitoli creati dalla comunità Amara.org
1469540	1469720	Sottotitoli creati dalla comunità Amara.org
1498260	1499660	Sottotitoli creati dalla comunità Amara.org
1504840	1509820	I giornali credo che assumano un ruolo sempre più importante. Se consideriamo che con la
1509820	1514880	par condizio a essere sostanzialmente penalizzati sono i mezzi televisivi, assume maggiore
1514880	1519880	importanza il ruolo dei giornali. Invece noto una strana sordina sulla concentrazione delle
1519880	1525120	testate e mi sembra un fatto estremamente pericoloso. Tanto più pericoloso se si considera
1525120	1530680	che con il passare del tempo andremo incontro a una rivoluzione elettronica che porterà
1530680	1535280	altri soggetti a livello televisivo, mentre i giornali resteranno lì come collanti e vettori
1535280	1540460	di opinioni in modo molto cruciale. Ecco, questa trascuratezza mi sembra già importante. Un'altra
1540460	1547000	cosa che noto con disappunto e con preoccupazione è l'insistenza sul termine anomalia italiana
1547000	1552640	facendo riferimento soltanto all'anomalia di una concentrazione di testate televisive
1552640	1559140	relative a Don Nuscone. Io credo che l'anomalia italiana nasca soprattutto da una occupazione
1559140	1563740	da parte della politica delle sedi dell'informazione che non ha precedenti e non è uguale negli
1563740	1569120	altri Paesi. La prima vera anomalia a me sembra quella. Quella è un'anomalia se vogliamo
1569120	1576340	secondaria, congiunta, parallela, coordinata, ma fa parte comunque di un processo di anomalia
1576340	1581140	e di anormalizzazione del paesaggio dell'informazione italiana che è davvero preoccupante. E poi
1581140	1586020	vorrei dire anche questo, quando si parla dell'antitrust si fa un riferimento agli
1586020	1591520	assetti proprietari. Io credo che mai, come nel nostro Paese, la gestione dei giornali
1591520	1597040	abbia subito due forme di antitrust. Un antitrust verepropio, che è un trust verepropio che
1597040	1600980	è quello appunto della concentrazione delle testate, è un altro processo che da noi si
1600980	1606580	è chiamato egemonia e che è un processo al contrario di controllo dei giornali sia attraverso
1606580	1611740	la nomina di alcuni direttori sia attraverso la presenza, spesso, forte e condizionante
1611740	1616440	di alcuni comitati di redazione e in alcuni casi di veri e propri soviet. Ecco io credo
1616440	1619960	che sia anche questo un problema reale per la compiuta democrazia nel nostro Paese.
