start	end	text
6560	12720	Prende ora la parola Matteo Renzi, segretario del Partito Democratico.
25940	31920	Buongiorno a tutti, grazie a Walter Veltroni e a Paolo Gentiloni e grazie a tutti a tutti
31920	33760	voi. È una magnifica giornata questa.
37080	46620	Io vengo da un piccolo paese della Provincia e quando giravo per negozi o per piazze,
46660	55000	per strade, tutti ci conoscevamo e ci conosciamo, capitava talvolta di incontrare delle persone
55000	61420	che magari non ti riconoscevano. E la prima frase che nei piccoli paesi, almeno qualche
61420	70260	anno fa si diceva, non era chi sei, ma di chi tu sei Nanni? Nanni è come dire ragazzo,
70520	77120	di chi tu sei, a chi appartieni. Mi piace pensare che rivedendosi oggi dopo dieci anni,
77240	81480	la prima domanda, prima ancora di domandarci chi siamo, cosa vogliamo essere, cosa saremo,
81640	86520	sia di chi siamo noi, a chi apparteniamo, a chi appartiene il PD. E vorrei provocarvi
86520	94800	su questo e dire che il PD non appartiene a chi sta sul palco in questo momento. Guardatela
94800	101100	bene questa foto. Noi abbiamo un debito di gratitudine straordinario verso il fondatore
101100	106920	del Partito Democratico Walter Veltroni. Un debito straordinario e un sentimento di gratitudine.
111040	115940	Eppure il PD non è neanche di Walter, come Walter ha spiegato magnificamente questa mattina
115940	121540	da questo podio. Abbiamo tutti insieme una grandissima riconoscenza estima per Paolo
121540	127680	Gentiloni e per il lavoro che sta svolgendo alla guida del nostro Paese. E gli siamo gravi
127680	133020	e siamo al suo fianco. Eppure questo partito non appartiene neanche al presidente del Consiglio
133020	137580	dei Ministri. E meno che mai appartiene al segretario pro Tempor e a nessun segretario
137580	143460	del Partito Democratico. Voi direte, ma perché parti così? Perché inizi così? Può sembrare
143460	148880	una domanda sterile. Per me questa è la prima domanda a cui dare una risposta, perché
148880	153480	è la domanda di metodo dei prossimi anni della classe politica, non soltanto nel nostro
153480	159500	Paese. Ma partendo dal nostro Paese, a chi appartiene il simbolo, la storia, il movimento
159500	166260	dei nostri avversari? Il Movimento 5 Stelle appartiene al suo fondatore, al nipote del
166260	176000	fondatore e al commercialista del fondatore. Non applaudite. Il simbolo e la gestione di
176000	183580	quell'esperienza è una gestione che si avvale di una azienda privata. Verrà un giorno in
183580	187940	cui, tra dieci anni, quando festeggeremo i vent'anni nella meravigliosa cornice di
187940	192880	Roma, qualcuno dirà, ma ti ricordi quel tempo in cui avevamo un sindaco che aveva
192880	199680	firmato un patto scritto con un'azienda privata per fare il sindaco in Campidoglio? E sarà
199680	209240	un inglorioso passato quel momento lì. Forza Italia appartiene a un leader. L'ha
209240	216860	creata, costruita. Quella coalizione, quando è in momenti di difficoltà, persino negli
216860	222080	aspetti patrimoniali, tra i singoli partner, tra i singoli alleati della coalizione, ha
222080	229840	bisogno di quel capo che determina e decide ogni cosa. Il Partito Democratico è tutta
229840	235660	un'altra storia. E noi abbiamo attraversato in questi mesi, in questi anni talvolta, un
235660	242640	lavoro faticoso opposto. Da un lato c'è stato chi, non soltanto chi sta sul palco, ma anche
242640	248720	chi sta sul territorio e chi sta in prima fila, a cominciare da Piero Fassino a cominciare
248720	254800	a Dario Franceschini, per citare i due segretari presenti, ha un lavoro straordinario per mettere
254800	261220	insieme i pezzi. Altrove qualcuno ha cercato di distruggere questi pezzi anteponendo il
261220	267160	proprio destino personale al destino del PD, minacciando di andarsene e andandosene sulla
267160	272860	base di un rancore o di un'antipatia. Io vorrei che i ragazzi della scuola classe
272860	278240	dem, dei giovani, dei future dem, dei GD, dei millennials, di tutto quello che siete,
279200	285000	si ricordassero una cosa fondamentalmente, che questo partito appartiene al popolo che
285000	292400	lo ha creato e non appartiene a nessun leader. E chi se ne va dal PD non sta tradendo noi,
292480	299660	sta tradendo se stesso. Questo deve essere il punto fondamentale. Non possiamo mollare
299660	305060	un'esperienza condivisa e comunitaria in nome di un rancore personale. E contemporaneamente
305060	309400	voglio fare un appello a tutti e a ciascuno, non private questa comunità del vostro talento,
309420	314040	del vostro io. È bisogna dire noi e bisogna far risuonare in modo diverso la parola io,
314300	319200	ma abbiamo bisogno di gente che sappia dire io dentro una comunità, che porti il proprio
319200	324360	impegno, il proprio talento, la propria fantasia, la propria originalità. Io non sono mai stato
324360	330340	un iscritto orgoglioso e grato del PD come quella sera in cui perse le primarie con
330340	335380	Bersani ho detto io non andrò mai via da questa perché questa è casa mia. Sentiamoci
335380	345280	tutte e tutti insieme, tutti a casa nostra. Il PD ha una casa nel mondo, tocca a me fare
345280	350800	questa parte, ma è una parte che nella mia esperienza personale nasce a 17 anni quando
350800	355020	entro in una libreria in via Martelli a Firenze, adesso non è più una libreria, è un luogo
355020	360320	dedicato al gusto e alla ristorazione. Anche qui le cose cambiano. E compro un piccolo libro,
361700	367020	si chiama Il sogno spezzato, sono dei racconti, o meglio, sono dei pezzi, non dei racconti,
367180	373060	sono dei brani dei discorsi di Bob Kennedy introdotti da un giovane deputato dei DS che
373060	378940	si chiama Walter Veltroni. Quel libro per me è il libro occasione di un incontro e di
378940	385400	una discussione dentro la mia classe, ero in quarta liceo classico, era il secondo anno
385400	389760	del liceo, in quarta liceo, e mi metto a discutere su chi fosse questo Bob Kennedy di cui mia madre
389760	398760	mi parlava. La casa del PD nel mondo è un luogo presente, evidente, chiaro? È il Partito
398760	403780	Democratico americano? Sì, è anche quello. È il grande mito e la grande storia, il grande
403780	408860	racconto dei Kennedy, ma è proprio in quegli anni, nelle stesse ore, la storia di un giovane
408860	412820	governatore dell'Arkansas che si chiamava Bill Clinton e che veniva da una piccola
412820	419640	città chiamata Hope, ed è la storia di un senatore che i Democratici americani non avevano
419640	424540	neanche fatto entrare alla convention del 2000, perché non aveva neanche il pass per
424540	430980	entrare e che otto anni dopo avrebbe portato i Democratici a vincere dopo gli otto anni
