start	end	text
0	6200	per la città di Brennero.
7220	9720	Dunque buongiorno a tutti e
9720	13120	grazie eh per me un onore
13120	15200	essere qui partecipare alla
15200	17260	cerimonia di abbattimento del
17260	18360	diaframma del cunicolo
18360	20280	esplorativo della galleria di
20280	22800	base del Brennero operazione
22800	25340	che permetterà per la prima
25340	26660	volta di collegare con un
26660	29520	tunnel sotterraneo Italia e
29520	31640	Austria due nazioni che
31640	33760	chiaramente sono già
33760	36500	profondamente unite dalla loro
36500	38260	storia, dalla loro geografia
38260	39580	che sono partner di Primo
39580	42900	Piano in Europa sul numeroso su
42900	44740	numerosi dossier europei e su
44740	47640	numerosi dossier della politica
48640	50060	internazionale. Saluto
50060	51500	ovviamente e ringrazio il mio
51500	54160	amico il cancelliere Stoker.
54400	56120	Saluto e ringrazio il mio
56120	57840	amico il commissario europea
57840	60160	europeo Zizi Costas. Saluto
60160	61540	e ringrazio il ministro
61540	63220	Salvini, il ministro Ancher,
63620	64640	il presidente Compaccio, il
64640	65760	presidente Matto, gli
65760	67800	amministratori delegati di
67800	71800	BBT SE e tutti i rappresentanti
71800	74300	delle imprese, dei lavoratori
74300	76120	che a vario titolo a vario
76120	78460	livello sono stati coinvolti in
78460	81920	questo progetto monumentale.
82280	85040	Oggi noi compiamo insieme un
85040	88780	passo decisivo per la
88780	90580	costruzione, la realizzazione
90580	92720	di una delle opere
93580	95860	infrastrutturali più grandi di
95860	98360	tutto il continente. È una
98360	100960	giornata storica è una giornata
100960	102520	storica non solo per l'Italia
102520	103660	ovviamente è una giornata
103660	107820	storica per l'Austria è una
107820	107820	
107820	110280	ricordato prima di me perché la
110280	112300	galleria di base del Brennero
112300	115580	rappresenta lo snodo centrale
115580	117880	e uno dei tasselli fondamentali
117880	119760	del corridoio europeo
119760	121740	scandinavo mediterraneo cioè il
121740	124760	più esteso corridoio della rete
124760	127820	tenti che punta di fatto a
127820	130720	connettere la Finlandia a
130720	133140	Malta che attraversa otto
133140	137100	nazioni europee sette stati
137100	137100	
137100	140280	regi. Questa galleria quando
140280	142740	entrerà in esercizio come è
142740	145000	stato ricordato ovviamente
145000	147280	rivoluzionerà il trasporto tra
147280	149960	Italia e Austria ci consentirà
149960	152240	di abbattere drasticamente i
152240	154860	tempi di percorrenza tra
154860	157280	diciamo fortezza Insbruck dagli
157280	158840	attuali ottanta minuti a solo
158840	160280	venticinque minuti per i treni
160280	161920	passeggeri dai centocinque
161920	163200	minuti a trentacinque minuti
163200	166220	per i treni merci e questo avrà
166220	168420	ovviamente come conseguenza
168420	171120	anche quella di decongestionare
171120	173140	un'arteria di respiro europeo
173140	175120	fondamentale come la ventidue
175120	177260	del Brennero rafforzare la
177260	178800	competitività del nostro tessuto
178800	182640	produttivo produrre effetti
182640	184640	molto benefici dal punto di
184640	187660	vista ambientale in particolare
187660	189900	per i meravigliosi ma
189900	192560	altrettanto delicati territori
192560	194740	nei quali ci troviamo un'opera
195440	198120	immensa nel cuore d'Europa di
198120	199760	cui come si ricordava pure si è
199760	201600	cominciato a parlare alla fine
201600	203480	degli anni ottanta che ha
203480	204760	iniziato il suo lungo cammino
204760	206280	nel duemila quattro con la
206280	208120	sottoscrizione dell'accordo tra
208120	209120	il governo italiano e il
209120	211940	governo austriaco sono trascorsi
211940	214640	oltre vent'anni da quella firma
214640	216620	ma l'impegno delle nostre due
217560	220000	nazioni e poi l'impegno europeo
220000	221960	la nostra determinazione per
221960	224740	portarla a compimento
225760	227320	rimangono gli stessi dei primi
227320	230620	giorni perché abbiamo sulle
230620	233520	nostre spalle credo soprattutto
233520	235780	la responsabilità di dimostrare
235780	238760	ai nostri cittadini ma anche a
238760	241920	noi stessi in fondo che non c'è
241920	244240	un progetto troppo grande per
244240	247140	essere affrontato che non c'è
247140	249540	una sfida troppo difficile
249540	252320	perché ci si possa scommettere
252320	253560	credere in questo progetto
253560	255680	significa credere in quello che
255680	257520	sappiamo fare meglio nelle
257520	259100	nostre eccellenze nel nostro
259100	261340	know-how nelle straordinarie
261340	263380	capacità ingegneristiche e
263380	265720	tecniche dei nostri lavoratori
265720	269020	da sempre capaci di compiere
269020	271200	grande imprese anche quando a
271200	272260	volte la politica non ci ha
272260	275540	creduto lo dico per ricordare
275540	276940	ad esempio quello che si è
276940	279520	riusciti a fare con il
279520	281560	parco scavando la galleria
281560	282660	sotto il letto del fiume
282660	284560	assicurando il pieno rispetto
284560	286840	della natura del paesaggio
286840	288180	vuol dire in altre parole
288180	291120	soprattutto ricordarci che noi
291120	293340	siamo capaci di fare cose
294040	296240	grandi significa ricordarcelo
296240	297580	in un tempo nel quale tutto
297580	300080	sembra volerci convincere del
300080	301900	contrario volerci convincere
301900	304720	che in fondo le nostre società
304720	307160	non siano più in grado di
307160	310300	lasciare un'eredità positiva
310300	312640	alle generazioni future io
312640	313660	continuo invece a rimanere
313660	314880	convinta del contrario e per
314880	316280	questo sono molto contenta di
316280	318400	essere qui oggi perché quello
318400	321220	che accade qui oggi lo dimostra
321220	322660	e lo dimostra in modo concreto
322660	324440	lo dimostra in modo tangibile lo
324440	328000	dimostra a tutti i nostri
328000	330300	cittadini rende quella
330300	333420	convinzione un fatto e allora
333420	336400	grazie grazie al lavoro
336400	338080	all'ingegno, al sudore, alla
338080	340000	fatica, alla competenza,
340140	341940	all'altissima professionalità di
341940	344380	chi da tanti anni lavora a
344380	345520	questa a questo straordinario
345520	347260	progetto, un esercito
348020	349920	silenzioso fatto di ingegneri,
350200	352060	progettisti, minatori, geologi,
352380	353900	tanti altri professionisti
353900	356000	senza i quali però noi oggi
356000	357820	non avremmo potuto essere qui.
358480	360240	La galleria di base del Brennero
360240	361380	diventerà il collegamento
361380	362920	ferroviario sotterraneo più
362920	365100	lungo al mondo un'opera da
365100	366920	primato, tanti altri ne sono
366920	369500	stati raccontati questa mattina
369500	371760	come da primato saranno altre
371760	374140	due opere previste dal tracciato
374140	375440	del corridoio scandinavo
375440	378200	mediterraneo, una a sud che è
378200	380040	ovviamente il ponte sullo seretto
380040	382900	di Messina, una a nord che è il
382900	384900	Ferman Belt nel mar Baltico tra
384900	386920	Germania e Danimarca. Opere
386920	389080	strategiche di rivolenza globale
389080	391320	che ci ricordano che cosa siamo
391320	393320	capaci di fare quando crediamo
393320	395220	in noi stessi quando crediamo
395220	397440	nelle nostre capacità diceva
397440	399380	William Blake quando uomini e
399380	401640	montagne si incontrano grandi
401640	404720	cose accadono ma come sempre
404720	406960	spetta a noi farle accadere vi
408920	412180	ringrazio. Grazie molte al
412180	415860	presidente del Consiglio.
416500	418040	Soprattutto per sottolineare
418040	420420	l'importanza di questa giornata
