start	end	text
2240	8980	Buongiorno a tutti e davvero grazie per questa meravigliosa accoglienza. Voglio salutare
8980	14100	il Presidente Denuccio, voglio ringraziarlo ovviamente per l'invito, ma voglio ringraziarlo
14100	20020	soprattutto per l'impegno, per la dedizione con cui porta avanti il lavoro della categoria.
20100	26320	Ovviamente saluto i Ministri, le Autorità, i Presidenti e i Consiglieri dei 132 ordini
26320	32300	territoriali, ringrazio, saluto tutti i commercialisti che sono presenti oggi. È un piacere, è
32300	38300	un onore essere qui con voi, non era previsto, però all'ultimo con un'agenda oggettivamente
38300	54480	impossibile ho pensato che, diciamo così, non potevo mancare, anche solo per un breve
54480	58980	scusare col Presidente Denuccio se non potrò ascoltare in presenza la sua relazione, che
58980	64540	comunque ascolterò se non potrò affermarmi molto, ma davvero ci tenevo, non lo dico per
64540	69340	protocollo, non lo dico per piageria, ormai mi conoscete abbastanza da sapere se non penso
69340	76140	una cosa semplicemente non la dico. Il punto è che sono sempre stata convinta che il mondo
76140	83960	delle professioni sia una parte fondamentale, direi insostituibile di questa nazione e che
83960	91080	in questo contesto voi commercialisti svolgiate un ruolo che è essenziale per garantire il
91080	96400	buon funzionamento della macchina fiscale e tributaria e quindi voi rappresentate di
96400	102820	fatto un valore aggiunto per il nostro tessuto economico e sociale, il punto di connessione
102820	107400	se vogliamo tra lo Stato e i cittadini, tra l'amministrazione finanziaria da una parte,
107400	114720	le famiglie e le imprese dall'altra e non sono parole che dico per compiacervi, perché penso
114720	121160	che il lavoro di questo Governo dimostri con i fatti il ruolo che riconosciamo a questa categoria.
122920	134760	Sono molti i provvedimenti che abbiamo messo in campo in questi anni e voglio dire che diversi
134760	141320	questi provvedimenti hanno fatto sintesi delle proposte, dei suggerimenti che scaturivano dal
141320	147920	confronto con voi che è stato un confronto costante. Penso ovviamente alla grande riforma
147920	152580	fiscale, una riforma che come sapete l'Italia attendeva da oltre cinquant'anni, che questo
152580	160180	Governo ha avviato all'inizio della legislatura. Abbiamo fatto questa scelta perché riteniamo
160180	169480	che il fisco non debba essere un ammasso di regole, di difficile comprensione, qualcosa
169480	175100	che è riservato agli addetti ai lavori e in questo senso serviva, anche in questo senso
175100	181300	serviva una riforma come strumento con il quale lo Stato interviene nella società,
181340	187960	aiuta quella società a crescere, a prosperare mettendo chi crea ricchezza, ovvero le imprese
187960	194140	del tessuto produttivo nelle condizioni migliori possibili per poter creare quella ricchezza,
194460	201700	perché il fisco è di fatto lo strumento principe con il quale lo Stato dispone delle risorse
202240	206200	per erogare i servizi, per far funzionare la macchina pubblica, per aiutare i più fragili,
206220	212120	per finanziare gli interventi necessari a rendere la società più giusta e più equa
212120	217700	e da questo deriva che il fisco è anche il biglietto da visita della credibilità di
217700	225340	uno Stato e quindi il sistema fiscale non deve soffocare la società ma deve invece aiutarla
225340	231240	a prosperare, non deve opprimere le famiglie e le imprese con regole astruse, con un livello
231240	236740	di tassazione che non corrisponde al livello di servizi che poi lo Stato eroga ma deve
236740	242820	chiedere il giusto e utilizzare quelle risorse esattamente con la serietà che userebbe
242820	248840	il buon padre di famiglia nella gestione del bilancio familiare con buon senso e soprattutto
248840	255820	senza gettare i soldi dalla finestra, che è quello che abbiamo tentato di fare in questi
255820	262020	anni perché è questo che deve fare uno Stato giusto ed è quello che stiamo tentando di
262020	266480	fare costruendo un sistema fiscale più equo, più efficiente, più razionale, stiamo mettendo
266480	270460	come sapete velocemente a terra la riforma e finora abbiamo approvato in via definitiva
271040	276120	sedici decreti legislativi più un ulteriore decreto in via preliminare e qui consentitemi
276120	283780	di fare un ringraziamento al viceministro Maurizio Leo per la sua dedizione su questa
283780	290440	materia, chiaramente anche al ministro Giorgetti, di pari passo stiamo lavorando per rendere
290440	294840	più chiaro e semplice il quadro normativo, abbiamo già avvarato quattro testi unici
294840	299480	in via definitiva, ce n'è un quinto approvato in via preliminare e se io dovessi dare un
299480	310440	titolo a questa riforma alla fine direi meno burocrazia più fiducia nei cittadini, abbiamo
310440	314940	portato nel nostro sistema tributario un po' di innovazione, abbiamo introdotto il concordato
314940	318940	preventivo biennale, lo abbiamo progressivamente rafforzato nell'ultimo Consiglio dei Ministri,
318960	324380	lo abbiamo reso strutturale ancora più vicino alle esigenze degli italiani, penso sia un
325060	330480	passaggio cruciale per consolidare il rapporto tra amministrazione finanziaria e contribuente
330480	335080	perché di questo si tratta, si tratta di tendere la mano a milioni di persone che per anni
335080	340580	si sono sentite vessate, che hanno percepito il fisco come un nemico e non come un alleato,
340720	345440	però la fiducia si costruisce dando fiducia e noi sappiamo che la fiducia che diamo oggi
345440	349940	agli italiani è un investimento sul futuro dei nostri figli, sul futuro dei nostri nipoti
349940	356000	e l'intera riforma fiscale ha un altro obiettivo di fondo che voi conoscete bene, tagliare
356000	361700	le tasse in modo equo e sostenibile, abbiamo avviato la riforma dell'IRPEF con la riduzione
361700	366980	da 4 a 3 delle aliquote, con un intervento che ha un effetto diretto tangibile sulle
