start	end	text
0	4860	Sì, è una discussione informale secondo me molto utile, molto importante in questa fase
4860	9800	in vista del Consiglio Europeo formale che come lei si sa si tiene ancora tra qualche
9800	15340	settimana in uno scenario che tutti conosciamo, un scenario che continua ad essere un scenario
15340	16060	di provocazione.
16140	22820	Io ho già detto qualche giorno fa in un altro punto stampa perché ritengo che queste provocazioni
22820	23820	aumentino.
23820	30700	Credo che da una parte ci sia un tentativo dalla parte della Russia di impedire che i
30700	37380	paesi europei invino altri sistemi di difesa antiaerea in Ucraina e dall'altra parte penso
37380	43280	che la Russia abbia anche una necessità diciamo così di non far notare il fatto che c'era
43280	49540	annunciata un'offensiva estiva e che quell'offensiva è fallita, ciò nonostante penso che noi dobbiamo
49540	52960	ragionare al sangue freddo, penso che non bisogna rispondere alle provocazioni, bisogna
52960	58840	attrezzarsi, questo certamente sì, una cosa che va detta sui droni, sui muri è che noi
58840	63760	ci dobbiamo ricordare che i confini dell'Alleanza sono molto estesi, per cui se facciamo l'errore
63760	68040	di guardare solo a fianco S, di dimenticare per esempio che esiste un fianco Sud, rischiamo
68040	73240	di non essere risolutivi, in ogni caso è sicuramente una discussione e sarà molto ampia
73240	77780	come lei sa, sono previste conclusioni quindi si consente anche una discussione molto franca
78500	95080	non ho capito, mi perdoni, è possibile sì, guardi sì immagino che qui possa essere anche
95080	99380	oggetto discussione, sia oggetto discussione, la cosa più importante secondo me è il sostegno
99380	104600	europeo, ha un piano di pace che è stato proposto sul quale come tutti sanno c'è stata
104600	109240	una tensione ampissima dai paesi arabbi ai paesi europei, passando per nazioni come l'India,
109720	113540	aspettiamo la risposta di Hamas, ha maggior ragione come ho detto ieri, penso che in questa
113540	119020	fase di un equilibrio che è estremamente delicato, di fronte a una possibilità che sarebbe storica,
120440	127540	insistere in una iniziativa che ha dei margini secondo me di pericolosità e di irresponsabilità
127540	134160	io continuo a non capirlo, penso che dopo gli appelli che sono stati fatti dal Presidente
134160	140140	Mattarella in poi, dagli altri anche, ho visto anche quello che stanno dicendo altri leader
140140	145600	europei, ho visto quello che sta facendo e dicendo la Spagna, che è esattamente quello
145600	150900	che sta facendo anche l'Italia, penso che il rischio di una iniziativa che diceva di
150900	155160	nascere per una questione umanitaria, poi si è scoperto che non era per una questione
155160	159160	umanitaria, era per forzare un blocco navale e già diventa un'altra cosa, del resto se
159360	164260	stato per una ragione umanitaria si sarebbero accolte le numerose proposte che sono state
164260	169680	fatte per poter consegnare quegli aiuti in sicurezza, quindi mi pare che il tema sia
169680	178040	diciamo tutt'altro, ma assume dei contorni che sono diciamo incredibili nella fase di
178040	184940	queste ore, perché è una fase nella quale tutti quanti dovrebbero capire che esercitare
184940	190860	la responsabilità a tendere, mentre c'è un negoziato di pace è forse la cosa più
190860	194840	utile che si può fare per alleviare le sofferenze del popolo palestinese, ma forse le sofferenze
194840	197260	del popolo palestinese diciamo così non erano la priorita.
