start	end	text
0	5640	chettata sulla mano, vediamo cosa sta facendo i CEM, guardiamo cosa sta facendo Zara quando
5640	13980	un consumatore va e mette le gondole apparentemente in disordine. È un consumatore tendenzialmente
13980	20260	androgino, le differenze fra uomo e donna nel lungo termine, differenze culturali mi
20260	27440	angulo, sono, spero di no, sono destinate a tendenzialmente scomparire, il patchwork,
27440	32580	diceva il mio collega prodotti contraddittori, sì, contraddittori sulla base del vecchio
32580	38920	paradigma, il patchwork è una straordinaria metafora dei comportamenti di questo nuovo
38920	46580	consumatore che va emergendo. Ci sarà un atteggiamento diverso nei confronti del passato,
46660	51180	la moda da sempre ci ha abituato ai revival, qua è un atteggiamento di tipo diverso,
51180	57660	c'è un recupero selettivo di valori del passato, di stilemi del passato, di modelli
57660	66260	di, che non vuol dire neotradizionalismo né passatismo. Il sincretismo, la ibridazione,
66380	74160	la fusion sarà uno degli altri elementi caratteristici del consumatore nei prossimi anni, non solo
74160	80460	come nasce da un punto di vista etimologico, cultura occidentale, cultura orientale, ma
80460	87340	sempre più vedremo aspetti che andavano sostanzialmente, che si collocavano in una
87340	94100	direzione antitetica che invece coesistono e che invece convivono fra loro. I francesi
94100	99920	usano questo termine di flaner per definire questo consumatore postmoderno che non è
99920	110440	tanto il fanullone e lo sfaccendato, ma è quello che adotta lo slalom, la bolina, il
110440	118420	slalom e la modalità. È un consumatore che acquisterà sempre più esperienze in parallelo
118420	122780	rispetto ai prodotti. Per esempio in questi anni è aumentata fortemente la quantità
122780	127160	del tempo dedicata allo shopping, si dice per forza ci sono meno soldi, il consumatore
127160	133180	va a vedere fra i diversi canali dove trova la referenza che costa meno. In realtà la
133180	138060	delle tipologie di shopping che sono aumentate di più è quella che noi chiamiamo, anche
138060	145680	la Bocconi ha fatto uno studio a questo proposito, quella di tipo ludico esperienziale. Lo shopping
145680	152280	come attività di tempo libero, poi magari alla fine lo shopping non compro un prodotto,
152320	158380	vado a prendere un caffè, vado al cinema, il punto vendita sta diventando di straordinaria
158380	168040	importanza. Il resto fa parte, basta il McDonald's, oppure il McDonald's, il McDonald's,
168060	175640	insomma questi centri di ristorazione dove lo spettacolo finisce per prevalere sui planet
175640	183720	Hollywood, tante catene di questo tipo. Quali sono le nuove sfide io credo per la piccola
183720	189440	media impresa? Anzitutto conoscere il consumatore, questo è un mantra che viene recitato con
189440	194560	sempre più insistenza, a mio modo di vedere il consumatore resta ancora per gran parte
194560	202300	delle medie, le piccole imprese, ancora un black box, un fine tuning, una costante sintonia
202300	207660	con il consumatore, una forte valorizzazione alla marca, a fronte di prodotti che vanno
207660	215840	sempre più omologando, sì, la marca diventerà sempre di più il vero asset competitivo e
215840	221200	infine un'operazione di comunicare con il consumatore. Il consumatore in realtà come
221200	227020	fa un'impresa con un piccolo budget a comunicare efficacemente con il consumatore, ci vuole
227020	231260	che qualcuno all'interno dell'impresa si trasformi in un direttore d'orchestra, ci
231260	236380	vuole una cabina di regia, perché io comunico con l'advertising ma comunico anche con i
236380	242300	miei stabilimenti, con il logo, con la visual identity della cosa, con la shopping bag,
242660	247900	con la mia distribuzione. L'invito a rivisitare la strumentazione del marketing in chiave
247900	254260	di comunicazione per fare quella massa critica per cui anche una impresa con un budget limitato
254260	260980	può imprimere delle tracce mnestiche importanti nella mente del suo consumatore.
261340	267400	Teniamo presente che conoscere il consumatore non vuol dire acquisire sempre più informazioni,
267420	273900	c'è questa frase di Fuentes che a me piace molto, il problema è pervenire a una conoscenza,
273900	279380	a un sapere, tutti noi siamo frastornati dalla moltiplicazione di tabulati, di file,
279420	285460	di ricerche che dicono sempre meno, l'obiettivo quindi dovrebbe essere buttare a mare questi
285460	291120	vecchi approcci che dicono sempre meno e che al limite creano entropia e adottare invece
291120	296340	degli approcci di tipo diverso. C'è il marketing relazionale, il marketing
296340	301360	one to one con questo consumatore autonomo che non vuole essere più un volto nella folla
301360	307120	e che richiede sempre di più invece un rapporto di tipo personalizzato, questa per esempio
307120	313320	una piccola e media impresa riesce a raggiungere spesso sul marketing one to one degli obiettivi
313320	318040	che non sono perseguibili se mi chiamo Procter & Gamble o mi chiamo General Motors.
318600	325360	Il marketing esperenziale, il marketing estetico, ecco queste non sono new deal e modo del marketing,
325360	331140	a mio modo di vedere sono direzioni, snodi importanti per parlare con questo consumatore.
331500	339220	Lo diceva il mio collega prima del marketing tribale, in realtà stiamo assistendo a questa
339220	345400	apparente contraddizione, una società che valorizza sempre di più l'individuo, l'individualismo
345400	352300	come grande valore emergente e nello stesso tempo la ricostruzione e l'invenzione di
352300	358320	nuove forme di socialità. La letteratura ci parla sempre di più della tribù dell'Harley-Davidson
358320	364660	ma non è solo questa, ho appena terminato di fare uno studio per Gay TV sulla popolazione
364660	369800	omosessuale, c'è per esempio quest'altra grande, grossa tribù di persone che hanno
369800	375720	i loro totemi, hanno i loro marchi di culto e via dicendo, sono nuove forme di socialità
375720	381660	calde, empatiche, difficile a riconoscere perché noi siamo abituati a dare legittimità
381660	386260	solo a quello che passavano attraverso i partiti, il sindacato, le assemblee. Nella società
386260	392520	della postmodernità ci sono queste forme di socialità. Concludo, perché il tempo sarebbe
392520	398280	un discorso da portare avanti ma voglio restare nel mio tempo, l'individualismo etico, anche
398280	404500	questa è una falsa aporia, in realtà il consumatore dimostra di apprezzare sempre
404500	411220	di più quelle marche che stanno coniugare la produzione, la produzione di prodotti
411220	421000	buoni, spesso eccellenti, anche con la dimensione della etica. Grazie.
424880	431680	Grazie anche a Gianpaolo Fabris, abbiamo sentito due interventi, credo molto interessanti,
431780	437880	che ci hanno spiegato come siamo quando siamo consumatori. Credo che tutto questo ci introduca
437880	444100	molto facilmente all'intervento successivo, cioè l'intervento di Mario Moretti Polegato,
444440	451720	uno degli industriali italiani più importanti e innovativi. Oggi l'inventore, come sapete
451720	456680	tutti, della Geox, gli do subito la parola per i suoi 10 minuti.
457200	461800	Innanzitutto un saluto, è un onore per me oggi essere qui con voi a Prato. Il tema
461800	466740	di oggi è l'innovazione dei mercati nei consumi, negli stili di vita e nella comunicazione
466740	473240	per impresa. Prima di parlare di questo, volevo focalizzare un po' quello che è il mercato,
473940	479260	il mercato su cui ognuno di noi ogni giorno ci confrontiamo. Viviamo nel momento della
479960	486920	globalizzazione, della competizione, nel momento della società telematica, dell'entrata
486920	493020	della Cina nel libero mercato. Cosa deve fare l'azienda Italia e la piccola e media
493020	499200	impresa davanti a questa situazione? A mio giudizio, confrontarsi con il mercato.
499420	505220	Capire che gli schemi industriali che sono andati bene fino ora, nel futuro non possono
505220	513060	più andar bene. Bisogna, in poche parole, renderci conto che l'azienda che si sta definendo
513060	523000	nel futuro, nel nostro Paese, sarà l'azienda intelligente. Forse non c'è più spazio nel
523000	529200	futuro, in Italia e in Europa rimarranno le aziende dove manteranno il concetto, la
529200	535880	ricerca della tecnologia, la struttura aziendale e tutto quello che riguarda la vera impresa
535880	541000	per poi delocalizzare parte di questo lavoro, soprattutto nel concetto dell'assemblaggio
541980	548000	dei Paesi dove la mano d'opera costa meno e soprattutto dove ci permette di rimanere
548240	555600	al mercato. Bisogna successivamente, per quel che riguarda la piccola e media impresa
555600	560480	e l'impresa italiana, entrare nel concetto degli investimenti della ricerca, della tecnologia,
560600	566600	della formazione, di cui noi ne sentiamo parlare tutti i giorni. E poi bisogna capire realmente
566600	572260	il concetto del marketing aziendale. In questo contesto è nato questo fenomeno della
572260	576980	geox, di cui io sono stato promotore. Un giorno, quasi come un sogno, mi sono accorto
576980	581520	che nelle scarpe con le sue di gomma mancava il concetto principale, che era quello dell'igiene.
581820	586740	Di là, a parte una storia fabulata che qualcuno di voi avrà sentito, ma che è del tutto
587260	592140	vera, è nata l'idea di bucare la suola di gomma e di trovare il sistema che da quel
592140	599980	buco non entrasse l'acqua. Successivamente ne è nata l'impresa. Ma la mia situazione
599980	606940	è stata una delle tante idee che tanti italiani, tanti di voi hanno. Qual è stata la capacità?
607100	612060	E' quello di gestire l'idea. In un primo momento di appropriarsi dell'idea mediante
612060	618880	lo strumento del bravetto e successivamente di poterla gestire. E qui entriamo poi nel
618880	625420	discorso del marketing e della comunicazione. Io ritengo che quando una persona è convinta
625420	633280	di un'idea, anche il marketing sia molto più semplice. Quando un'idea è reale e
633280	638420	basata su dati scientifici come nel nostro caso, nel mio caso, ritengo che non è indispensabile
639020	644580	andare da un ufficio di pubblicità, di marketing ad alto livello per poter trovare la maniera
644580	650480	per comunicare. Il caso specifico delle scarpe, che la scarpa era conosciuta prima solo per
650480	655180	un concetto di moda, io ho avuto il coraggio di fare dei fori e fare del fumo in una situazione
656240	662720	veramente particolare che tuttora, è uscita una recente commento di una stampa tedesca,
662840	667060	ha ritenuto che Geox è la peggiore pubblicità che esiste in Germania. Però è efficace,
667340	677660	però comunichiamo, però diciamo che attraverso quel sistema i piedi non pulsano più. In
677660	682880	questa mia esperienza, alla mia opinione per quello che riguarda l'impresa italiana e
682880	688080	la piccola e media impresa, io ritengo che la piccola e media impresa italiana è vecchia
688080	696400	e che deve assolutamente cambiare, davanti ad un immobilismo di una classe politica e
696400	707640	ad un mercato sempre più aggressivo. I problemi della piccola impresa ci sono e la piccola
707640	713120	e media impresana di questo Paese. Però per poter essere rilanciata devo avere la possibilità
713120	717080	di fare marketing, di far conoscere il proprio prodotto. Sicuramente il piccolo e
