start	end	text
5260	10940	Noi dobbiamo trovare delle risposte, siamo venuti a cercarle qui. Penso che l'Europa
10940	15180	debba essere molto più coraggiosa, chiaramente apprezzo la proposta che ha fatto la Presidente
15180	20320	della Commissione Europea sul tema dell'energia, è un passo in avanti, non è un passo in
20320	27020	avanti sufficiente. Penso che sarebbe un errore, l'ho già detto in passato, se noi credessimo
27020	31840	di dover seriamente affrontare queste questioni solo quando siamo arrivati oltre, come è
31840	35680	accaduto in passato, perché quando ci si muove troppo tardi il prezzo che si paga è
35680	43040	più alto e quindi secondo me bisogna ragionare con maggiore apertura efficace ed efficienza
43040	49240	e questo riguarda anche, come sapete, il tema del patto di stabilità della sospensione
49240	55520	o almeno, diciamo, si parla di aiuti di Stato nella proposta della Commissione di una flessibilità
55520	60540	sugli aiuti di Stato, ok, ragionevole, corretto, ma noi sappiamo che quando si parla di aiuti
60540	65340	di Stato lo spazio fiscale non è lo stesso per tutti e quindi ovviamente in quel caso
65340	71700	bisogna ragionare su un modello per cui anche queste spese non vengono conteggiate, per
71700	76240	esempio come si fa con il safe sulle spese di difesa, dopodiché bisogna capire a quali
76240	81460	settori ci si rivolge, oggi noi abbiamo una emergenza che è legata all'autotrasporto,
81460	88480	tutti capiscono ovviamente che di fronte a una situazione che sfugge di mano su quel
88480	92460	settore noi ci ritroviamo con un aumento che rischia di impattare su tutti i beni di consumo
92460	97100	e quindi diventa un problema di inflazione. Allora l'inflazione e tenere a bada l'inflazione
97100	103140	non era una priorità dell'Unione Europea, siamo venuti qui a portare ovviamente la nostra
103140	111260	posizione determinata non per fare semplicemente l'interesse italiano che è come sempre la
111860	115520	perché se non si risponde per tempo su questi temi rischia di farcisi molto male.
117920	122360	Dopo il protocollo Italia-Albania cosa succederà dopo il protocollo Italia-Albania, dopo quello
122360	124200	che è avvenuto oggi, le notizie di oggi?
125900	131720	Beh, ancora dobbiamo aspettare a vedere, considero incoraggiante anche rispetto al racconto
131720	138660	che è stato fatto in questi anni, vedremo come sul piano della Corte Europea la questione
140920	146440	si chiuderà e certamente quando si sente quello che ha detto oggi l'avvocato della Corte di
146440	151200	Giustizia Europea rispetto alle difficoltà che noi abbiamo avuto in questi due anni,
151220	156240	mi dispiace perché le cose avrebbero potuto funzionare molto meglio e forse avrebbero
156240	161560	potuto offrire come ci si sta chiedendo a livello europeo un modo nuovo di gestire i flussi
161560	165900	migratori e quindi soluzioni anche innovative che possono aiutare un problema che riguarda
165900	168020	l'Italia e riguarda molti altri paesi europei.
168020	172040	Nel sostamento di bilancio andrete avanti sullo sostamento di bilancio?
172300	177560	Questo vediamo, noi dobbiamo vedere intanto quali sono le regole che abbiamo e poi nelle
177560	181840	prossime settimane ovviamente decidiamo come muoverci a livello nazionale, ad oggi non
