start	end	text
0	24300	a prendere il mio posto per modellare il dibattito successivo, scusate chiedo scusa
24300	32820	i fotografi, vi chiederei solo la cortesia di sistemarvi e naturalmente un invito anche
32820	39660	per il pubblico perché già siamo in ritardo e allora è assolutamente dispensabile iniziare
39660	50380	ecco, se volete raccomodarvi, grazie
69960	76900	ecco chiedo al pubblico di sistemarsi in modo che dia anche il buon esempio per i colleghi
104060	112500	va bene, allora per favore se potete sistemarvi il pubblico di parte popolare sulla destra e il
112500	116340	pubblico di parte pdss sulla sinistra, cominciamo
139460	145020	ecco, temo che le persone in piedi possono dare fastidio a chi è seduto, insomma mi tocca fare
145020	168200	queste, eh sistematevi un po' i lati, naturalmente buonasera e benvenuti a questo incontro che ha per
168200	174040	oggetto il libro che Walter Vertroni ha scritto, la sfida interrotta, le idee di Enrico Berlinguer
174040	178880	che è pubblicato da Baldino e Castoldi, questo incontro nasce dalla collaborazione tra gli
178880	184980	organizzatori di questa politica e l'associazione Alfredo Guida amici del libro di Avellino,
185140	191180	ecco la sfida interrotta è la sfida di Enrico Berlinguer interrotta dieci anni fa sapete
191180	196980	Enrico Berlinguer morì dieci anni fa, sul campo di battaglia qualcuno ha detto
212240	217700	su campo di battaglia dicevo durante un comizio nella campagna elettorale di dieci anni fa
217700	224860	per le europee a Padova, dopo alcuni giorni di coma purtroppo a Padova appunto si spense
224860	231160	nell'ospedale e dice scrive Walter Vertroni nella prefazione a questa scelta antologica
231160	236400	di alcune pagine berlingueriane, interviste, interventi ai congressi, a manifestazioni pubbliche,
237060	242280	lettere ed articoli, che quei funerali furono i funerali più imponenti che la storia politica
242820	250260	repubblicana possa oggi ricordare. Recentemente la ITREA ha ripresentato in televisione il filmato
250260	257520	di quei funerali a cui collaborarono i registi da Ettore Scola appunto a Massimo Troisi e
257520	262700	fu un avvenimento di popolo in cui evidentemente la fede politica si mescolava anche a un sentimento
262700	269080	popolare intenso, vissuto, autentico che coinvolgeva un po tutta anzi sicuramente tutta la popolazione
269080	278320	italiana ma sentimentalmente e intensamente anche quella europee mondiale. Walter Vertroni
278320	284760	ha voluto dedicare questo libro a Enrico Berlinguer dieci anni dopo componendo assieme a un altro
284760	288960	volume uscito l'anno precedente, il sogno spezzato anche nei titoli c'è una certa
291360	296200	così continuità dedicato appunto a Robert Kane, ha voluto così comporre dei quadri di una
296200	303020	sorta di autobiografia politica, quasi di un romanzo di formazione alla politica attraverso
303020	307680	il ricordo, attraverso il disegno del profilo di due personaggi che così intensamente così
307680	311760	fortemente hanno inciso nella sua formazione politica. Sapete che Walter Vertroni oltre che
311760	319360	essere deputato del Partito Democratico della Sinistra è direttore dell'unità e fu iniziato
319360	323800	alla politica proprio da Enrico Berlinguer. Più volte Vertroni parlando di questo libro
323800	327800	nel corso di intervista ha detto che se non ci fosse stato Enrico Berlinguer lui probabilmente
328360	333220	non avrebbe mai deciso di militare, almeno nella maniera in cui ha fatto nel Partito
333220	339760	Comunista Italiano. Avere oggi qui Walter Vertroni a presentare il suo libro non è
339760	345460	un avvenimento dunque culturale oppure politico ma è anche uno stimolo, un momento di riflessione,
346000	353000	questa è la necessità anche di far accompagnare alla riflessione di Walter Vertroni l'altra
353000	357340	di un testimone, di un protagonista di quei giorni, non solo di quei giorni della trama
357340	361380	di Enrico Berlinguer ma anche degli anni che viveva Enrico Berlinguer alla guida del Partito
361380	364340	Comunista Italiano, cioè l'onorevole Cirico De Mita.
371320	377660	Insieme si tenterà di riflettere su cosa manca oggi alla politica, alla cultura politica,
377760	383540	alla società civile italiana con la morte, con la scomparsa di Enrico Berlinguer e vorrei
383540	387360	aggiungere che il libro di Walter Vertroni va a accadere in un momento abbastanza particolare,
387580	392760	decisamente neralgico per la storia politica repubblicana, ora si dice della seconda repubblica.
394520	403160	Questi dieci anni segnano una distanza ma anche una grande vicinanza alle parole profetiche
403160	408940	proprio di Enrico Berlinguer, quasi che Enrico Berlinguer, come ricorda Vertroni citando
408940	414380	ciò della morte di Berlinguer scritto da Roberto Benigni, si è tornato qui da una lunga vacanza
414380	418760	e abbia ripreso a parlare con delle parole che fanno ancora parte però del lessico politico
418760	424180	attuale, problema che molte di quelle parole i politici attuali non le dicono più forse
424180	434680	e lasciano dire ad altri. Dunque la prima domanda che io farei ai nostri due interlocutori
434680	440660	riguarda proprio alcune definizioni che Walter Vertroni fa ad Enrico Berlinguer, sono tre
440660	447060	sostanzialmente. Berlinguer è il riformatore, il riformatore di un grande partito colui
447060	452120	che è sempre traghettare, che cominciò il grande viaggio di un grande partito verso
452120	461100	dunque la democrazia compiuta, l'anticipatore dunque per aver avuto questa capacità e
461100	466060	io dicevo profetica di anticipare, di prevedere, di predire alcuni aspetti, alcune questioni
466600	472880	nelle algorie della vita politica anche attuale, il moderno, dunque una persona che anche
472880	478580	dalla retta di un grande partito, dunque di un partito che doveva tener conto di una
478580	483880	storia antica, di una tradizione forte, sapeva guardare oltre il profilo del quotidiano.
484080	490220	Ecco non a caso il libro di Walter Vertroni, questa scelta antologica si apre con una
490220	494960	intervista ad Enrico Berlinguer appunto sugli scenari del prossimo futuro in cui Enrico
494960	500060	Berlinguer ritorna su alcune parole per lui chiare dunque quelle per esempio di un governo
500060	505560	planetario, un governo mondiale che potesse coinvolgere tutti i paesi civili e democratici.
505680	511580	Io rimanderei all'onorevole De Mita questa definizione in tre fasi della figura di Enrico
511580	515860	Berlinguer per sapere da lui se la condivide, dunque Berlinguer è il riformatore, l'anticipatore,
515940	517160	il moderno, è vero o no?
524560	538460	Io vorrei chiedere all'uditorio, ai giornalisti, ma soprattutto all'amico Vertroni, una riflessione
538460	547140	che va da oltre la celebrazione. Vertroni sa già questa mia opinione, gli eloanti dicono
547160	556680	che è uscita quando è uscita il libro e quando nel maggio scorso sull'unità c'è stata una
556680	571240	serie di scritti, il ricordo di Berlinguer. Io di Berlinguer sono stato amico, ho avuto
571240	583760	rapporti cordiali, sinceri, basta dire, è un episodio che ho raccontato qualche volta,
583780	591420	lo voglio ricordare, questa sera, quando l'ho visto l'ultima volta, prima della morte,
591540	601220	all'inizio del mese di maggio, lui mi chiese di rovesciare il governo Craxi. L'ultima
601240	614600	volta, stavamo facendo le elezioni europee, motivava questa richiesta con argomenti che
614600	623000	non erano estrani alla mia riflessione. Cioè la preoccupazione, sono tutte cose scritte,
623020	631220	poi richiamate anche da Vertroni, la preoccupazione era che se non si fanno le lezioni europee
631240	642280	fosse interrotto quel sistema politico fondato solo sull'accordo di potere saremmo andati
642280	651080	incontro a difficoltà, ma in quella circostanza non mi parlò delle difficoltà generali,
651180	657580	in quella circostanza richiamò la mia attenzione sulle difficoltà che avrebbe incontrato
657580	664580	la democrazia cristiana. Tanto che a un certo punto disse, ma mica mi devo preoccupare
665400	674160	più io di te della democrazia cristiana? Questo lo voglio dire anche a Walter, io gli
674160	681380	risposi con una indicazione di buon senso, fare una crisi all'improvviso, poi soprattutto
681380	689940	da parte mia ero sospettato a ragione di non essere convinto sostenitore del pentapartito,
691560	698500	però al dungo e siccome gli argomenti non erano irrilevanti gli dissi io apro la crisi,
699560	708360	ma tu mi devi garantire che non dia lei con i socialisti, perché è aperta la crisi il
708360	718360	rischio della scelta di sinistra, che io penso possa essere anche la riflessione da continuare
718360	725460	stasera, c'era, lui non mi rispose, non mi diede questa assicurazione e qualche tempo
725460	735920	dopo, alcuni mesi dopo, qualche anno dopo, in un incontro con Natta e Ochetto, siccome
735920	742560	si discuteva sempre della disponibilità dell'ADC e della disponibilità loro, io gli dissi
742560	750280	che Berlinguer non mi aveva dato mai una risposta su questo piano e Natta disse sì, Enrico
750280	757600	ci aveva posto sempre questo problema e noi non siamo stati in condizione di rispondere,
757600	772980	perché? Perché secondo me la novità straordinaria di Berlinguer, io non vorrei ridurla, Berlinguer
772980	784120	è un personaggio straordinario nell'esperienza del partito comunista, perché abbandona la
784120	793340	doppiezza come furbizia, quella che è stata definita la doppiezza togliatiana sulla quale
793340	801140	probabilmente dovremmo esprimere una valutazione meno schematica, meno approssimativa, lui
801140	809460	ha tentato, e questo Walter lo dice, e ha ragione, di far corrispondere alle parole il comportamento,
811740	818980	traspariva, non c'era bisogno di chiedere la prova, le cose che diceva erano le cose
818980	828640	in cui credeva, questo sì, e questa è stata una novità per la dirigenza del PC, ma Berlinguer
828640	839440	è riformatore e anticipatore, è un grande sforzo all'interno del socialismo, perché
839460	849640	Berlinguer ha pensato e ha pensato seriamente di ridurre, di evitare gli aspetti negativi
849640	857940	della esperienza socialista, secondo me questa è la novità ma questa è il limite oggi,
858960	868920	nel momento in cui l'idea di socialismo, non il socialismo come utopia pascolianamente
868920	877220	indesa, questa idea di giustizia e di beltà, chi non può condividerla, parlo del socialismo
877220	888600	come progetto politico, quando questo crolla e quando il PC si fa carico di questo limite
888600	898900	e fa la scelta che fa a Bologna, tutta questa capacità di anticipare il progetto politico
898920	907560	per riformare secondo me un po' si attenua, c'è un grande protagonista del suo tempo,
908880	918060	però ho la sensazione che noi dovremmo riflettere, non per cambiare il giudizio positivo, dovremmo
918060	926360	riflettere su questa esperienza senza immaginare che l'esaltazione di questa esperienza possa
927460	934400	indicarci una via di uscita, Berlinguer è straordinario nella dirigenza del PC, questa
934400	944840	è una mia opinione sul piano internazionale e questo non è da poco, è la straordinaria
945620	954800	novità, vorrei dire adesso non per recuperare il giudizio limitato ma per valutare in concreto
954800	962320	la straordinarietà di questa posizione all'interno del PC che è anche se nella testa di Berlinguer,
963940	970160	il recupero di motivazioni diversi alla politica non sono venute fuori, poi racconterò un
970160	978840	altro episodio per dire come era, beh aver scelto sul piano internazionale la collocazione
978840	986260	del nostro Paese, all'interno degli equilibri esistenti, non ha scelto l'America contro
986260	994980	l'Unione Sovietica, l'America contro l'Unione Sovietica o l'Unione Sovietica contro l'America
994980	1000380	era lo schematismo vecchio della sinistra del partito comunista e dei partigiani della
1000380	1008180	pace, il socialismo la pace, il capitalismo la guerra, lui ha scelto con realismo e qua
1008180	1016080	vorrei dire una opinione che trasmetto a Veltroni, in questo molto prossima all'ultima
1016080	1025960	riflessione Morotea sulla collocazione internazionale e il contributo alla costruzione e alla pace
1025960	1033620	più facendo evolvere gli equilibri anziché ipotizzando scelte astratte, Berlinguer su
1033620	1039720	questo è stato coraggioso nessun dirigente del partito comunista ha fatto le cose che
1039720	1049060	ha fatto Berlinguer non cose furbesche, non un comunicato ambiguo ma scelte precise dal
1049060	1056360	punto di vista ideologico diciamo il discorso ai partiti comunisti e quando spieghi il valore
1056360	1063600	della democrazia la scelta di collocare il nostro Paese all'interno delle allezioni
1063620	1071040	delle alleanze perché solo rimanendo all'interno delle alleanze lavorando per il disarmo poi
1071040	1078420	sarebbe stata possibile la evoluzione degli equilibri che è un po' l'ultima riflessione
1078420	1093480	di Moro prima del suo assassino ma rimangono due limiti ecco questa del socialismo che
1093480	1105300	io capisco l'adesione entusiastica di Walter in un certo senso la capisco perché Veltroni
1105300	1114700	rivive l'esperienza berlingueriana con la sua passione e le sue motivazioni culturali
1114700	1122880	e certo poi lo confessa lo spiega e lui aderisce al PC come strumento di lotta politica non
1122880	1132500	di un'ideologia che ritengo una motivazione ineccepibile e quindi su questa motivazione
1133240	1138060	tutte le discussioni sono possibili convergenze e divergenze si misurano per la capacità
1138060	1145180	di analisi che si ha e per le proposte che si fanno berlinguer era socialista ma io lo
1145180	1152860	dico in senso positivo non negativo credeva e voglio raccontarvi questo secondo episodio
1155760	1166260	peccato Veltroni che è morto Tato perché Tato è stato il solo testimone di questi
1166260	1173880	rapporti frequentissimi che avvenivano fra l'altro al centro di Roma senza che mai nessuno
1173880	1182860	abbia potuto pettegolare o trasmettere all'esterno riflessioni molto serie che facevamo e in
1182880	1188660	quel momento non era difficile individuarci vuol dire che nessuno dei due aveva interesse
1188660	1200060	a notizie inutili ricordo una sera quando discutavamo della politica eravamo preoccupati
1200060	1206920	allora del rischio che la democrazia correva nel paese non a caso lui mi fece la richiesta
1207940	1217400	poco prima di morirlo 84 però una sera mi ha detto rispetto alle mie opinioni sul governo
1217400	1223720	dell'economia sulla necessità di modificare i meccanismi dello stato sociale su questo
1223720	1230560	berlinguer e la sinistra hanno accumulato un ritardo insopportabile credo solo adesso
1231160	1240280	questo problema si pone in maniera diversa dallo schematismo tradizionale e lui mi disse
1240280	1249840	quasi arrossendo disse se non temessi di offendervi ero io e misasi presenta la conversazione
1250360	1260540	per me la proprietà privata è come per voi il peccato originale e Walter la propria
1260560	1266380	la cosa che mi ha colpito è che quando avete fatto il congresso di rifondazione io di
1266380	1271640	questo non ho parlato mai con nessuno perché non sono andato a raccontarlo in giro quando
1271640	1279140	avete fatto il i precongressi per il congresso di rifondazione io ho ascoltato alla radio
1279140	1285800	ho letto su un giornale il re secondo del dibattito fatto nella sezione dove è scritto
1285800	1296900	il figlio e lui che credo abbia fatto una scelta non in sintonia con le idee di cambiamento
1296900	1304240	utilizzo questa espressione dicendo per me la proprietà è come il peccato originale
1305180	1313260	questa è la posizione quindi collocata nel momento storico in cui questa posizione si
1313260	1324260	espressa indubbiamente è una posizione straordinaria all'interno del partito della sinistra se insieme
1324260	1331860	a questo giudizio generale che io do lo dico per chi poi compre il libro per chi l'ha
1331860	1343240	letto già per chi deve leggerlo per chi io invito a leggere tutte le cose dette sulle
1343240	1348760	le parole e mi pare che non è un sapore di modernità rispetto alla tradizione dell'esperienza
1348760	1359340	comunista ma mi pare che tutto rimanga condizionato e limitato dalla prospettiva di costruire il
1359340	1365220	socialismo cioè la grande riforma rispetto alle esperienze socialiste non rispetto alla
1365220	1373220	esperienza storica della democrazia italiana la stessa proposta di compromesso storico
1373240	1379520	non è l'unità delle forze democratiche per il rinnovo istituzionale del paese
1380060	1385780	che un po' era la posizione della democrazia cristiana e se mi consentite
1385780	1390940	quella mia personale all'epoca in cui sono stato segretario del partito
1390940	1399080	anzi su questo io ho registrato un'estrani età un'indifferenza ricordo
1399080	1404800	lo sforzo enorme che ho fatto perché partecipasse alla commissione bozzi
1404800	1410420	per le riforme la mia opinione era che indipendentemente dalla legge la legge
1410420	1415980	non affinava alla commissione la facoltà di proposta come è stata per la
1415980	1422240	bicamerale la mia osservazione era se vieni tu nella commissione siccome io
1422240	1428980	vengo con tutto il gruppo dirigente democristiano se insieme maturiamo una
1428980	1434220	posta poi siamo in condizione di portarli in parlamento lui non è venuto
1434960	1438960	nonno come ha detto qualcuno perché lui di problemi istituzionali non si
1439920	1448020	occupava queste sono cose balorde ma perché non ci credeva il problema
1449220	1455580	istituzionale il pc e direi in un certo senso anche il pds l'ha maturato con
1456740	1462940	ritardo l'ha maturato nonno come l'analisi dei processi della politica ma
1462940	1468680	l'ha maturato più come una scelta conveniente per le scelte politiche da
1468680	1473300	fare lo vediamo ancora adesso l'abbiamo visto prima sulla legge elettorale
1473300	1478860	l'abbiamo visto sul riordino delle istituzioni non solo nel pds onestamente
1478860	1487560	è un po diffusa questa cattiva abitudine ma nel pds l'idea che l'istituzione che
1487560	1495520	si sceglie quella che conviene è l'altra faccia della nonno consapevolezza del
1495520	1504620	valore di queste scelte del resto e poi giudo perché parlato troppo
1504620	1511300	noi discutiamo oggi tanto di alternativa destra a sinistra l'alterro questa è una
1511300	1521300	cosa che devi memorizzare lo dico anche alla de simone ricordate che l'83 l'84
1521300	1530160	le giunde si facevano secondo la posizione di ricatto socialista si votava
1530160	1534860	però poi il sindaco era sempre socialista qualunque fosse il risultato
