start	end	text
0	8260	posta dal centro-sinistra e approvata a larga maggioranza parlamentare col centro-destra.
8420	14660	Almeno per quanto mi riguarda, il Governo non starà a guardare. Avanzeremo proposte
14660	21720	per produrre un balzo, regole, mirate e transitorie per dare alle donne lo spazio che meritano
21720	28480	nelle carriere, nelle nomine, nelle liste, perché partecipazione al lavoro, trasparenza
28480	34760	nelle carriere, fino ai punti più alti, valore al merito e all'onestà, presenza
34760	41660	nelle istituzioni, nuovi strumenti di pari opportunità, sono facce della stessa medaglia
41660	50640	e rappresentano una via dell'innovazione per l'Italia. Sarebbe un bel segnale se
50640	57860	quest'anno europeo, e mi rivolgerò in tal senso alla presidenza della Camera e del Senato,
57860	65380	si concludesse con la costituzione della Quinta Commissione Permanente in Parlamento per i
65380	67800	diritti e le pari opportunità.
74040	80340	Sono certa che anche così sia al servizio della parte migliore del Paese, di chi non
80340	86400	rinuncia a sperare e impegnarsi che tra i diritti fondamentali di ogni essere umano
86400	94540	esservi la certezza della propria dignità, autonomia e libertà e su questo investe una
94540	100880	parte della propria responsabilità e una parte migliore di sé. Grazie.
117620	122000	Mentre invito la vicepresidente della Camera, Giorgia Meloni, ad avvicinarsi per il suo
122000	127120	intervento, volevo sottolineare ancora una volta davvero la grande partecipazione di
127120	134040	questa mattina, di molte realtà in questa sala. Saluto e ringrazio per il loro intervento
134040	140600	e la loro presenza, il ministro Giovanna Melandri e il ministro Livia Turco che ci hanno raggiunto.
142440	147300	Sono molti gli esponenti del mondo politico, ma ci tenevo a sottolineare non solamente del
147300	152520	mondo politico, delle organizzazioni sindacali, delle organizzazioni lavorative, delle associazioni
152520	157580	di volontariato e della società civile e questo è molto importante per una giornata
157580	161860	come oggi e per l'anno europeo 2007, per le pari opportunità per tutti.
171760	177200	Signor Presidente della Repubblica, signor Presidente del Consiglio, signora Ministro,
178000	184520	autorità presenti in questa sala e signore e signori rappresentanti del mondo dell'associazionismo,
184660	191620	della società civile, questa è una manifestazione che io considero di grande rilevanza. Questo
191620	201700	anno europeo per le pari opportunità per tutti è un anno che se culturalmente affrontato
201700	209800	con la giusta lettura può davvero rappresentare un momento di innovazione nel tema delle pari
209800	216240	opportunità, nel tema dei diritti, nel tema della discriminazione. Noi siamo abituati
216240	221820	a volte a ritenere che il tema delle pari opportunità di genere sia in qualche maniera
221820	227500	un tema la cui soluzione compete le donne, siamo portati a ritenere che il tema della
227500	233400	discriminazione e delle difficoltà nei confronti dei portatori di handicap sia un problema
233400	239580	che attiene e la cui soluzione attiene le famiglie, siamo portati così a ritenere che
239580	245500	il problema della discriminazione sessuale sia tema che attiene, la cui soluzione attiene
245500	250740	le organizzazioni di rappresentanza, siamo in qualche maniera portati a ritenere che
250740	260060	non sia spesso, siamo portati a ritenere che non siano problemi di tutti, che il tema delle
260060	265880	pari opportunità per tutti non sia in qualche maniera una emergenza nel nostro contesto
265880	272360	nazionale e internazionale. Il dato dal quale si deve partire è gioco forza un dato di carattere
272360	280640	culturale, rimettere la persona al centro, rimettere la dignità della persona al centro
280640	287620	e comprendere che solamente quando si difende la dignità della persona e si difende la
287620	294940	dignità della persona in relazione alla sua appartenenza, in relazione a un dato comunitario
294940	302460	allora si può davvero fare la differenza rispetto a queste tematiche, lo dico anche
302460	309220	facendo un esempio che riguarda la mia generazione, noi abbiamo visto in queste ultime settimane
309220	314600	e in questi ultimi mesi parlare molto del fenomeno del bullismo, c'è di una incapacità
314600	322340	che le giovani generazioni hanno a vivere valori autentici in molti casi, a essere solidali
322340	327800	nei confronti dell'altro, eppure voglio dire un'altra cosa, noi siamo abituati a leggere
327800	335900	di fenomeni di bullismo che vengono raccontati giustamente perché sono ovviamente molto notiziabili
335900	342040	però non c'è la stessa attenzione, la stessa attenzione non viene rivolta nei confronti
342040	347580	di tante altre esperienze di questa generazione che sono esperienze diametralmente opposte,
347580	354040	ci sono nel mondo giovanile tanti esempi, tante esperienze di amore verso l'altro,
354200	358660	di impegno sociale civile, penso ai nostri ragazzi impegnati nelle missioni di pace,
359200	365700	penso ai nostri ragazzi che si occupano di sport e che attraverso lo sport raccontano
365700	370620	di un modo diverso di vivere il rapporto con l'altro, di vivere la propria dignità, penso
370620	376680	ai tanti fenomeni di impegno sociale civile, penso a quei ragazzi che ho incontrato personalmente
376680	382660	e che per un anno in un comune della provincia di Latina fanno iniziative di ogni genere
382660	387880	per raccogliere fondi da destinare alla famiglia di una loro amica malata di una brutta forma
387880	394260	di tumore, qualche settimana fa l'altra sera avevano messo in piedi uno spettacolo, avevano
394260	398980	loro messo in piedi una sorta di compagnia teatrale, hanno cantato, hanno cucinato, hanno
