start	end	text
3580	12860	nel contesto nel quale si svolge, penso che il più importante sia la compattezza dell'alleanza
12860	21580	e la volontà di quell'alleanza di rafforzarsi, che nel contesto nel quale ci troviamo è
21580	30760	ovviamente un elemento molto importante, ovviamente salutiamo con soddisfazione l'abito di un
30760	38560	cessato del fuoco nella crisi tra Israele e Iran, è un tema sul quale bisogna continuare
38560	42280	a lavorare, come sapete il nostro obiettivo è arrivare a delle negoziazioni, un accordo
42280	47220	sul nucleare iraniano tra Iran e Stati Uniti, ne ho parlato ieri col presidente degli Stati
47410	54150	Uniti, Donald Trump al quale ho detto e l'ho ribadito oggi nel mio intervento nell'assemblea
54150	58270	plenaria che serve la stessa determinazione per raggiungere altri due importanti cessati
58270	66850	il fuoco, uno in Ucraina dove la Russia sembra non voler fare passi in avanti, tutt'altro,
67370	74030	e a Gaza dove come ho detto più volte la situazione è insostenibile. Dopodiché dicevo
74030	82130	un vertice importante anche per gli impegni che vengono assunti, sono impegni significativi,
82290	88290	sono impegni sostenibili, lo voglio ribadire per l'Italia, spese necessarie per rafforzare
88290	93690	ovviamente la nostra difesa, per rafforzare la nostra sicurezza in un contesto che lo
93690	100870	necessita ma in una dimensione che ci consente di assumere questi impegni sapendo già che
100870	107090	non distoglieremo neanche un euro dalle altre priorità del governo a difesa e a tutela
107090	114090	degli italiani, quindi parliamo di un incremento delle spese in difesa dell'1,5% in 10 anni,
114410	119870	quindi non distante dall'impegno che l'Italia già assunse nel 2014 quando era l'1% delle
119870	124570	spese di difesa in rapporto al prodotto interno lordo e si impegnò con un impegno che è
124570	130550	stato ribadito da tutti i governi che mi hanno preceduto ad aumentarlo dell'1%, a questo
130550	136670	si aggiunge un 1,5% di spese sulla sicurezza, sono risorse che noi dobbiamo spendere e spendiamo
136670	142110	comunque su materie molto più ampie della questione di difesa, io ho detto tante volte,
142170	148290	voi lo sapete, che la questione della sicurezza oggi è un dominio particolarmente ampio che
148290	152490	riguarda la questione della difesa dei confini, che riguarda la migrazione irregolare, che
152490	156910	riguarda le infrastrutture critiche, che riguarda la mobilità militare, le infrastrutture
156910	161350	nel senso più generale, ma anche l'intelligenza artificiale, la ricerca, l'innovazione tecnologica
161350	167290	e quindi sono risorse che servono a mantenere questa nazione forte come è sempre stata,
168510	173090	dopodiché noi abbiamo portato al vertice alcune questioni che sono molto importanti
173090	178070	per l'Italia, particolarmente l'attenzione sul fianco sud dell'Alleanza dove io ho cercato
178070	183450	di spiegare ai colleghi anche quali sono le minacce, vediamo una Russia che oggi si proietta
183450	189290	sempre di più nel Mediterraneo dopo aver perso la sua proiezione diciamo navale che
