start	end	text
9200	15560	Presidente, questa dovrebbe essere la legislatura delle riforme, poi, al di là, diciamo, dell'abolizione
15560	19180	del voto segreto, non è stato possibile cogliere al Presidente.
19200	22960	Ne pare poco riforma cinque anni di uno stesso governo?
23760	26740	Lasciamo stare i giudizi, questo è ognuno della lezione.
27420	29400	È un fatto interessante, è nuovo.
31340	37240	Però grandi trasformazioni, riforma del bicameralismo, queste cose di cui abbiamo spesso leppido,
37380	41240	riforma elettorale, che pure molto adesso sta...
42160	49200	Probabilmente sono state accese tantissime speranze, dimenticandosi prima di fare una
49200	55600	ricognizione attenta dello stato, del fisico, della struttura, per vedere se aveva bisogno
55600	57980	di mutilazioni o aveva bisogno di cure.
58960	61520	Io sono del parere che aveva bisogno di cure.
66040	71240	Io non dico né radicali, né non radicali, per sapere se una cosa è radicale o no bisogna
71240	74760	avere una nozione precisa dello stato, del fisico, dell'abbavato.
75660	77200	Prima cosa, ricognizione.
77820	84100	Seconda cosa, identificazione della situazione generale del mondo e del nostro Paese.
84320	92420	Terza cosa, come adeguare la salute, lo stato di salute del nostro organismo statuale e nazionale
92420	95060	alle novità che nel mondo sono venute.
96300	103380	Certo, difendendo questa Repubblica, perché tutti a forza di dire che era ammalata, l'hanno
103380	105960	fatto ammalare di più, hanno aggravato la malattia.
105960	109820	Si immagina se tutti i medici curanti erano arrivati a letto della malattia e gli dicevano
109820	111380	che stavano per morire.
113620	124020	Stia senti, quando ero sottotenente in Casentino, un campo estivo, il campo si apriva su una
124020	129600	strada in grandissima pendenza, gli abitanti di Prato Vecchio, i ragazzi si divertivano
129600	134820	da venire giù con la bicicletta a ruota libera, senza freni, dove qualche volta succedeva
134820	140780	qualche guai. Un giorno mentre ero di guardia proprio alla porta dell'accampamento, uno
140780	147160	di questi ragazzi andò a investire un vecchietto in una carrozzella e si ralasciò ogni cosa.
147340	151500	Io andando lì nessuno si va a vedere, ma non vedete che sta per morire, questo qui rinacque
153400	157600	subito e non lo ha dimenticato mai, dicendo a chi sta male, non dimenticate che sta per
157600	159300	morire, diteli che vivono ancora.
159300	160580	State bene?
161280	164500	Se voglio domandarle un'ultima cosa Presidente, lei ha visto nascere la democratizzazione,
164940	170260	lei è un protagonista. Non ero Balea, non ero Balea. Ecco Presidente, mi sembra possibile
170260	176660	che alla vigilia di una campagna elettorale qualche democratico cristiano dica, c'è questa
176660	179240	cosa che per me è prioritaria anche rispetto alle regole.
