start	end	text
0	3520	seconda edizione del Vertice Italia-Africa.
4760	7480	È la prima volta nella storia
7480	11600	che questo summit si svolge nel continente africano
11600	14500	ed è chiaramente una scelta non casuale
14500	16100	ma una riprova
16100	18700	della centralità e della rilevanza
18700	23020	che la mia nazione attribuisce al rapporto con tutti voi.
24040	28400	Permettetemi di ringraziare il mio amico, il Primo Ministro Abiy Ahmed
29120	33600	per la calorosa accoglienza e la preziosa collaborazione
33600	36120	nell'organizzazione di questo summit.
36460	39480	Appuntamento che si svolge alla vigilia
39480	42400	di un momento altrettanto solenne che è
42400	46340	l'Assemblea dei Capi di Stato e di Governo dell'Unione Africana
46340	51200	alla quale avrò domani l'onore di intervenire. Ringrazio per questo il
51200	53860	Presidente Yousuf, il Presidente Lorenzo
53860	58900	per l'invito oltre che per il sostegno che l'Unione Africana
58900	61900	ci ha sempre garantito in questi anni.
62360	63440	Due anni fa
63440	66420	quando ho avuto l'onore di ospitarvi a Roma
67100	69900	abbiamo assunto un impegno
69900	71340	molto ambizioso
71340	76640	e cioè scrivere una pagina nuova nella storia delle nostre relazioni
76640	80920	costruire un modello completamente diverso di cooperazione
80920	85320	fondato sulla fiducia e sul rispetto reciproco.
85800	89060	Una cooperazione da pari a pari
90000	90920	lontana
90920	95440	da qualsiasi tentazione predatoria
95440	98780	ma anche dall'approccio paternalistico che
98780	102520	per lungo tempo ha distorto i rapporti
102520	103460	tra
104160	106800	l'Africa, l'Europa, l'Occidente
106800	110000	e ha spesso impedito
110000	114180	alle nostre nazioni di comprendere le straordinarie
114180	118480	peculiarità ma soprattutto le straordinarie potenzialità dei popoli
119380	120120	africani.
120300	121200	Da allora
121720	126900	da quella summit due anni fa sono stati anni di lavoro intenso
126900	129320	ma anche concreto ed efficace
129320	134140	anni nei quali abbiamo dato forma al piano Mattei per l'Africa
134140	138520	lo abbiamo radicato nei nostri sistemi istituzionali, lo abbiamo fatto
138520	143600	crescere così tanto che oggi viene riconosciuto non più come
143600	145380	un'iniziativa italiana
145380	148880	ma come una strategia di respiro internazionale
149480	153100	e questo è stato possibile grazie alle sinergie strutturate
153640	157340	che abbiamo costruito insieme alle principali agenzie delle Nazioni Unite
157340	160360	ringrazio il segretario Guterres
160360	165740	insieme all'Unione Europea, all'Unione Africana, al G7, ai tantissimi partner
165740	168700	che condividono la nostra visione
168700	172860	dall'Europa fino al Golfo passando per l'Africa orientale
172860	176100	così facendo abbiamo la presunzione di credere
176100	178740	che stiamo contribuendo
178740	184340	a rivoluzionare il modo di guardare all'Africa e conseguentemente di agire
184340	185120	in Africa
186060	189440	oggi il piano Mattei è una realtà operativa e strutturata
189440	192800	che genera risultati tangibili per i nostri popoli
192800	197600	che può contare su un'architettura finanziaria solida e innovativa
197600	201780	frutto della preziosa collaborazione che abbiamo instaurato con la Banca Mondiale
201780	207480	la Banca Africana di sviluppo, le principali istituzioni finanziarie internazionali
207480	211540	in questi due anni abbiamo avviato e concluso progetti concreti di grande
211540	212620	impatto sociale
212620	217880	mobilitando miliardi di euro tra risorse pubbliche e risorse private
218600	222620	lo abbiamo fatto dando concretezza a un metodo che coinvolge le energie
222620	224020	migliori
224020	228740	del popolo italiano in un gioco di squadra che valorizza tutto il sistema
228740	230800	Italia in parte presente
230800	234640	anche qui oggi e che ovviamente ringrazio
234640	238020	imprese, università, mondo della cooperazione e della ricerca
238020	241320	un patrimonio di eccellenze che ha lavorato
241320	242900	in modo coordinato
242900	245160	per perseguire un obiettivo comune
245160	247640	e questo obiettivo non è
247640	250720	quello di attuare un semplice pacchetto di progetti
251460	255420	ma è quello di dare forma a un patto tra nazioni libere
255420	256700	noi e voi
256700	260840	che scelgono di lavorare insieme perché si fidano l'una dell'altra
260840	265100	e sanno trovare insieme le aree di collaborazione
265100	269020	nelle quali poter fare la differenza in un'ottica di benefici condivisi
269680	272460	è un metodo che costruisce soluzioni concrete
272460	275040	si realizza in tempi rapidi
275040	277500	genera benefici verificabili
277500	281600	soprattutto negli ambiti strategici per la nostra crescita comune
281600	283240	penso all'energia
283240	286640	dove abbiamo scelto di concentrarci sulle interconnessioni
286640	290460	tra le diverse sponde del Mediterraneo di puntare sullo sviluppo delle
290460	292720	rinnovabili e dei biocarburanti
292720	297460	nel rispetto di quel principio di neutralità tecnologica che è determinante
297460	298980	per una transizione
298980	303060	ecologica sostenibile ma anche compatibile con i nostri sistemi
303060	304980	economici e produttivi
