start	end	text
0	9860	identità e, sotto certi aspetti, direi che la vostra resistenza è stato uno degli elementi
9860	15060	che ha impedito il rimescolamento delle carte all'interno della democrazia cristiana.
15480	20500	In primo luogo, il discorso del rinnovamento richiedeva un'iniziativa culturale robusta
20500	26300	che investisse concezioni generali e particolari all'interno del Partito, una cultura che
26620	32920	investesse atto della natura delle società contemporanee, riproponendo un nuovo compromesso
32920	39220	così come fece d'Osturzo negli anni venti. Il rimescolamento, invece, dobbiamo dircelo
39220	44540	con franchezza, ed è quello, non è un'accusa moralistica che viene fatta alla struttura
44540	50920	che si è creata intorno al segretario nazionale, un'accusa moralistica, e che il rimescolamento,
50920	57720	invece di essere tentato attraverso una scomposizione di composizione e diventata invece la giusta
57720	63220	apposizione dei vecchi gruppi, era in realtà una operazione artificiosa che lasciava tutto
63220	70680	intatto. E quindi ecco il problema, si trattava di creare all'interno del Partito un vero
70680	76560	dialogo. Amici della sinistra, i vostri convegni di Chianciano hanno dimostrato ampiamente
76560	82500	questa sorta di tendenza all'autosufficienza, al rapporto subordinato richiesto agli altri.
83280	89480	Il nostro invito, più volte rivolto ad aprirvi realmente al confronto per evitare che la parola
89480	96320	si usurasse, è stato sempre respinto, eppure dovete conoscere quella legge cosiddetta dell'entropia
96320	103280	per cui chi si chiude in sé finisce per esaurirsi. Noi crediamo al grande ruolo che la sinistra
103320	109840	ha svolto all'interno della democrazia cristiana. Io vengo da quelle file, ma ho sempre rifiutato
109840	116360	le chiusure e quello spirito di appartenenza che rischia di sboccare in settarismo. Il
116360	124280	rinnovamento di Idemita è stato il grande tema, direi il cuore stesso della politica
124280	130520	della democrazia cristiana. Ma c'è un tema, caro segretario attuale, caro Forlani che
130520	136580	non sei presente. Il tema del rinnovamento ha bisogno di una base di legittimazione.
136920	142600	La legittimazione può avvenire se tutti, la stragrande maggioranza, ne sono partecipi,
142720	149440	se alto è l'obiettivo politico, se profonde sono le ragioni che portano a nuove composizioni,
149560	156900	se si creano nuovi meccanismi di selezione della classe dirigente, che non può avvenire
156900	162520	per cooptazioni, secondo la logica quindi dei fedelissimi, che è una delle strade negative
162520	168880	che hanno seguito sempre i leader carismatici. Poco inoltre si è riflettuto su un altro
168880	175240	tema che quello del rapporto partito di maggioranza a capo dell'esecutivo quando provengono dalle
175240	181100	stesse fila. La soluzione di governo attraverso il leader carismatico di partito, dobbiamo
182380	187300	conoscerlo, è un fenomeno presente nelle società industriali contemporanee, non è
187300	194180	una invenzione, ma è una grande semplificazione e sta portando conseguenze negative sia negli
194180	200940	Stati Uniti d'America, sia all'interno dell'Europa, vedi la Francia. C'è bisogno anche di capire
200940	206540	che questi fenomeni avvengono quando il ruolo dei partiti è cancellato e diventa inesistente
206540	212120	e questo porta dei rischi gravi come quelli di vedere i partiti con un leader soltanto
212120	217520	ma senza struttura, che devono fare i conti con gli altri potentati, con gli interessi
217520	223880	forti che non sono interessi presenti con una legittimazione pubblica ma soltanto e
223880	229580	esclusivamente con la loro forza. Ieri Forlani ha detto parole splendide su questo punto e
229580	235340	non mi so fermo. Dobbiamo capire invece che cosa possa avvenire nel sistema politico italiano
235340	239800	in un sistema di coalizione perché questo l'ha detto Demita abbandonando.
