start	end	text
0	8040	Il problema è invece dove sono misure non antipartito, ma a difesa dei partiti, dove
8040	14820	finisce la lotta contro la partitocrazia e quindi la difesa dei partiti e dove invece
14820	22900	effettivamente si tocca la sostanza di un regime di partiti quale è quello delle democrazie
22900	23800	occidentali.
23800	31780	È un grande problema, è un forte problema che noi dobbiamo poter risolvere con la coscienza
31780	34740	che c'è parecchia zavorra da gettare.
35260	36020	Grazie.
45220	55480	Io vorrei aggiungere solo qualche considerazione, mi pare che la riflessione sia stata serena,
55520	64920	ricca, dialogante, io considero un contesto positivo per il dibattito sulle istituzioni,
64920	71440	io considero importante, è stato già detto da Spadolini e dagli altri, la costituzione
71440	79200	e l'avvio dei lavori della Commissione, non è una cosa da poco che il Parlamento sotto
79200	87740	l'imbolso dei due Presidenti sia riuscito in un tempo molto rapido a utilizzare l'espediende
87740	93480	della formula della mozione per dar vita alla Commissione non è cosa da poco.
94120	99400	Ritengo anche molto importante il modo come si è dato vita all'ufficio di Presidenza,
99620	108380	a parte il Presidente, parlo del tipo di organizzazione, il dibattito che ci ha paralizzato per anni
108380	115400	tra maggioranza di governo e maggioranza sulle istituzioni, escombarsa dalla nostra memoria
115400	121820	il sofismo delle doppie maggioranze e delle maggioranze trasversali, se è realizzato
121820	128100	senza grandi contestazioni, abbiamo recuperato un principio, un principio costituzionale
128100	134960	valido che nell'ufficio di Presidenza ci fosse la rappresentanza delle forze politiche in
134960	141920	riferimento alla consistenza della rappresentanza. Credo che un discorso così solo qualche anno
141920	148780	fa avrebbe creato grandi lacerazioni e grandi contrasti, ipotizzare che la lega rifondazione
148780	154220	fossero soggetti abilitati a congorrere, ad essere presenti in un ufficio di Presidenza.
155360	162940	Ricchiamo alla mia memoria tutte le discussioni sul ruolo, la funzione delle Commissioni parlamentari.
163540	172060	Questo è importante. Quello che un po' preoccupa ma credo che sia secondario è la discussione
172060	177340	più sugli organi di stampa per la verità che tra gli addetti ai lavori sul ruolo,
177340	183580	la funzione e sull'utilità della Commissione. Questo è un po' contraddittorio perché per
183580	190000	la prima volta abbiamo deciso di decidere e anziché lavorare per decidere c'è la discussione
190000	200760	sulle intenzioni. Io vorrei dire questo. Innanzitutto l'ordine del giorno che ha consentito
200760	206660	la Costituzione della Commissione è stata accompagnata da una dichiarazione di volontà
206660	213700	di quasi tutti i partiti di dotare poi la Commissione di poteri referenti. Perché poi
213700	223260	di questo si tratta, è una questione procedurale, non di poteri sostitutori del potere primario
223260	234080	del Parlamento. L'analogia con la Commissione bozzie il ricorrente. Io vorrei richiamare
234080	240240	a me stesso e a tutti gli altri, lo dico anche a Zanone, che quella Commissione fa
240240	248580	lì per un difetto di direzione e io questo non lo dico adesso. Io ho fatto parte della
249440	257380	Commissione e quando la Commissione si avviò a concludere non definendo proposte ma raccogliendo
257380	266300	orientamenti io mi dissociai dai lavori della Commissione. Anche le Commissioni di Sturgli
266300	275120	hanno valore politico. Se quella Commissione si fosse sforzata di ipotizzare le risposte
275120	281640	avrebbe fornito al Parlamento e alla pubblica opinione un riferimento utile. Viceversa ci
