start	end	text
0	8200	diceva Nuttore Velli, identificando la propria realtà stravolta dal fenomeno dell'industrializzazione.
9340	15340	Quindi, a fronte di ciò, noi proponiamo un confronto. Crediamo che sia bene ragionare
15340	21380	insieme sulle forme organizzative del Governo di una parte importante del territorio nazionale.
21580	26800	Abbiamo in proposito il nuovo testo unico, che è un ottimo risultato, di cui va dato
26800	33380	al Governo, al Ministro Bianco in particolare. Naturalmente, come dicevo in precedenza, è
33380	38040	solo un primo passo al quale devono servire altri passi concreti anche in termini di dotazione
38040	44320	finanziaria. Questo testo unico affida alle comunità montanee un duplice profilo istituzionale,
44700	48720	quello tradizionale di soggetto per la valorizzazione della crescita socio-economica dei propri
48720	53660	territori e quello di agenzia sussidiaria dei propri comuni per l'esercizio associato
53660	55220	di funzione dei servizi.
55300	60940	Rispetto a questo tema è bene essere estremamente chiari. La comunità montana non si sostituisce
60940	67380	ai comuni, ma dietro scelta di questi ultimi si attiva nel caso in cui essi non riescano
67380	72440	a raggiungere i livelli ottimali di esercizio. In questa fase, l'applicazione del Bassanini
72440	77500	diventa determinante e trova nella comunità montana un soggetto istituzionale, crediamo
77500	82100	attrezzato, o comunque se non lo è attrezzato lo dobbiamo fare diventare, con le dovute
82100	87200	correzioni del caso che insieme dovremmo studiare per dare le risposte al territorio.
87500	93940	E' bene in queste occasioni non nascondersi dietro le frasi di facciata. Il testo unico
94540	100560	ha anche sciolto un'ambiguità rispetto alla 265, affermando che le comunità montane sono
100560	107580	unioni dei comuni montani. Questo presupporrebbe che nelle zone montane le unioni dei comuni
107580	112660	sono solo le comunità montane e non ci possano essere altre entità all'interno di esse.
112980	119440	E' così? Non è così. Ci sono diverse interpretazioni in merito. La Conferenza delle Regioni con
119440	123420	opinioni, l'UNCEM ha la propria, la Commissione bicamerale della riforma amministrativa ha
123420	130080	la sua, l'ANCE ha la propria. Per quanto ci riguarda l'invito che noi facciamo è
130080	136360	quello di non impicarci tutti attorno ad un comma di legge e attorno all'interpretazione
136360	142900	di un comma di legge, ma costruiamo insieme un progetto politico sul quale poi si attueranno
142900	148720	questi commi di legge, che parte, come dicevo prima, dall'alleanza tra i comuni e le comunità
148720	153780	montane. Se siamo d'accordo su questo, andremo insieme dal Ministero dell'Interno a chiedergli
153780	159760	di sciogliere i dubbi interpretativi, andremo insieme per chiedere più risorse per l'incentivazione
159760	164940	dei servizi associati al Governo e alle Regioni, perché anche le Regioni dovranno fare la
164940	170480	loro parte su questo versante. Quindi se i problemi sono la composizione degli organi,
170680	176620	io dico discutiamone. Se i problemi sono l'organizzazione degli ambiti territoriali, dico discutiamone.
177300	182360	Se i problemi sono altri diciamoceli tutti con grande franchezza e costruiamo insieme
182360	186960	quella piattaforma programmatica per andare a un confronto con le Regioni e per evitare
186960	193740	che esse ci subordinino nella migliore tradizione del dividi etimpera. Credo che questo sia
193740	199580	il modo per costruire davvero sul campo lo spirito unitario che porta alla Confederazione,
200340	205340	che deve essere un accordo di base se vuole funzionare, non un'intesa tra gli Stati
205960	210900	maggiori. Allora avviamo su scala nazionale, su scala regionale e in questo senso il tema
210900	217160	degli statuti è un tema stringente ed impegnativo, perché agli statuti regionali saranno affidate
217160	222060	nuove competenze, perché le Regioni dovranno darsi il nuovo sistema elettorale all'interno
222060	226200	delle quali le realtà metropolitane dovranno essere rappresentate, ma anche le realtà
226860	232440	che non sono cittadine, cosa che oggi invece lascia tendere il lago dalla bilancia verso
232440	239300	le prime. Costruiamo quindi questa nostra casa delle autonomie in cui ognuno abbia il
239300	246680	suo spazio, la sua dignità e la sua specificità. In questo modo, io credo, potremo creare questa
246680	253200	nuova impalcatura istituzionale per governare i processi di modernizzazione, di integrazione
253200	259760	politica e geopolitica, di competizione economica che siamo chiamati a dover gestire. Credo
259760	265360	che in questo senso potremo anche ripartire dando una nuova e dinamica interpretazione
265360	272560	degli aspetti vitali della autonomia locale. Così potremo riscoprire il senso di questa
272560	277900	autonomia dalla quale proveniamo, che è la nostra storia, in grado di restituire una
277900	283920	carica di legittimazione partecipativa da un lato e di pregnanza democratica dall'altro.
284760	290100	A tutte quelle realtà che si vedono oggi messe nei margini dei meccanismi del benessere
290100	294900	e che sono stanchi, come dicevo in precedenza, di essere dipinti come la terra dei vinti,
295000	300460	ma che vogliono porsi l'obiettivo ambizioso indispensabile di diventare la terra degli
300460	305700	uomini liberi che si sono finalmente riscattati. In questo senso la nostra disponibilità
305700	315340	è piena. Vi ringrazio dalla vostra attenzione. Ringrazio il Presidente Borghi. Volevo giustificare
315340	320800	l'assenza dell'Adriana Polibortone, che ha dovuto rientrare a Lecce per impegni amministrativi,
320900	325720	quindi il suo intervento sarà messo agli atti. Ringraziamo il Presidente Giuliano Amato,
325720	327260	che sta entrando nella nostra sala.
379160	385520	No, beh, adesso no, non è possibile, no. Diamo la parola a Lorenzo Ria, Presidente
385520	400740	del Lupi. Comunico che dopo il Presidente Ria, immediatamente dopo il Presidente del
400740	407740	Consiglio, prenderà la parola. Signor Presidente del Consiglio, cara sindaco
407740	417380	di Verona, caro Presidente del Lanci, sono diverse le ragioni per le quali, tra di voi,
