start	end	text
5560	11340	A portare l'attenzione del Governo e la solidarietà verso una filiera fondamentale del Made in
11340	21800	Italy, come sapete, oltre 50 miliardi di fatturato, 2,3% del PIL, 300 mila addetti, export stabile
21800	28400	in crescita, in crescita in alcuni mercati nuovi. Ieri abbiamo incontrato il Presidente
28400	35220	del Kenya e parlavamo di come in questi paesi ci sia una crescita dell'attenzione verso
35220	41860	i prodotti del Made in Italy. Il tema della filiera legno-arredo è uno di questi, più
41860	48880	13% l'export in Africa nello scorso anno e quindi ovviamente il Governo ci deve essere,
48900	52100	ci deve essere con la sua presenza, ci deve essere con le sue risposte. Il lavoro che
52100	57660	abbiamo fatto in questi anni, che continuiamo a fare sul sostegno al Made in Italy, sui
57660	63540	contratti di sviluppo con le filiere fondamentali, nello specifico il lavoro che abbiamo fatto
63540	70660	anche sulla filiera del legno-arredo, ovviamente il lavoro collegato alla legge annuale sulla
70660	77860	piccola e media impresa, le risposte che cerchiamo di dare in materia di prezzi dell'energia,
78220	85980	grande questione, è stato oggetto di un decreto molto articolato del Governo recente e è
85980	89260	un decreto che avete conducendo in Europa e che ci porterà fra qualche giorno al Consiglio
89260	96460	Europeo a riproporre alcune proposte che consideriamo fondamentali nell'attuale crisi e quindi ovviamente
96460	102320	siamo qui per discutere con i produttori anche di quello che abbiamo fatto ma anche di quello
102320	104760	che è soprattutto di quello che ancora manca.
112980	122780	Sul decreto sicurezza, che io non considero un pasticcio, stiamo raccogliendo alcuni rilievi
122780	132620	tecnici del Quirinale e degli Avvocati e trasformeremo quei rilievi in un profedimento ad hoc perché
132620	138920	non c'erano margini di tempo sulla conversione del decreto per correggere la norma ma la
138920	145000	norma rimane perché è una norma di assoluto buon senso e francamente mi stupisce quello
145000	150980	che ho sentito dire dalle opposizioni in questi giorni, non mi è esattamente chiara la ragione
150980	157760	per la quale noi che riconosciamo il gratuito patrocinio all'avvocato che assiste il migrante
157760	163040	che fa ricorso contro un decreto di espulsione non dobbiamo invece riconoscere il lavoro
163040	168320	di quel professionista che assiste un migrante quando volontariamente sceglie di essere rimpatriato.
168500	175500	A me non è chiaro, mi pare che sui rimpatri volontari assistiti siamo d'accordo, è
175500	182800	uno strumento che l'Europa ci chiede di intensificare, è uno strumento che continuiamo
182800	186900	a portare avanti, è uno strumento che stiamo lavorando per rafforzare, almeno su questo
186900	191220	mi pareva che fossimo d'accordo, ora scopro che non siamo d'accordo più neanche sui rimpatri
191220	195240	volontari assistiti, ma noi andiamo comunque avanti con delle norme che consideriamo di
195240	195700	assoluto buon senso.
196000	198920	Ha sentito Trump di recente? Ha sentito il Presidente Trump?
198940	200240	No, recentemente.
207720	211740	Questa credo che sia una scelta della difogia, ovviamente nel caso valuteremo le nostre alternative,
211900	214980	penso che la difogia debba scegliere tra la presidenza dell'Enya e la buona uscita di
214980	216980	Berna, mi pare abbastanza semplice la questione.
216980	218920	Invece Freni alla CONSOB?
219200	220560	Non ne stiamo rispondendo per ora.
220600	222980	Gli tagli della CISO lo estenderete anche dopo il 1° maggio?
223240	223640	Bisogna mai.
223760	230660	Guardi ci sono degli importantissimi negoziati in forzo che sosteniamo, sia quelli che riguardano
230660	236420	il negoziato di Islamabad, sia quello che riguarda, altro tema per noi molto importante,
236620	242080	il negoziato diretto Israele-Libano e quindi vediamo sulla base di quello che uscirà da
242080	244540	questi negoziati, quali sono le priorità che ci dobbiamo dare.
256020	262640	Ma guardi, lei sa che noi siamo stati tra i primi a proporre che ci fosse una copertura
262640	267220	ONU su un'eventuale missione a Hormuz, voi sapete anche che questo non è stato possibile
267220	271060	per un veto che c'è nel Consiglio di Sicurezza attualmente da parte di Russia e Cina,
271060	273980	vedremo nelle prossime settimane se quel veto può essere superato,
274280	278600	in ogni caso penso che se non dovesse essere superato a condizioni date che abbiamo già
278600	281780	chiarito, chiaramente ci deve essere una cessazione delle ostilità,
281980	286540	chiaramente ci deve essere una ampissima adesione internazionale,
286580	289180	la postura della missione deve essere esclusivamente difensiva,
289640	292720	in questi casi io penso che l'Italia dovrebbe comunque esserci,
292960	295580	ma deve essere il Parlamento su questo a esprimersi.
295700	297280	Grazie, buona notte a questo punto.
307260	307400	Grazie, buona notte.
