start	end	text
0	3820	Buongiorno a tutti, grazie al Presidente Orzini a Confindustria per aver promosso
3820	7740	quest'importante iniziativa dedicata a uno dei settori nevralgici del tessuto
7740	10160	industriale nazionale che è l'economia del mare.
10640	15040	Per noi italiani il mare rappresenta tante cose insieme, identità e ricchezza, storia,
15220	19760	cultura, tradizione, ma è anche una delle direttrici fondamentali della
19760	24840	nostra proiezione geopolitica. L'Italia è il naturale punto d'accesso all'Europa,
24940	29480	è lo snodo geografico tra il vecchio continente, l'Africa, il Medio Oriente e l'Asia,
29480	36100	ed è nel Mediterraneo e non altrove che la nostra nazione ha trovato sempre il segno del proprio destino.
36280	40520	Eppure in troppe occasioni l'Italia è rimasta vittima di un paradosso,
40740	44840	essere una penisola ma non sentirsi e non agire come tale,
45320	49680	una contraddizione che ha finito per soffocare le nostre potenzialità.
50060	54320	Ecco perché questo governo ha lavorato fin dall'inizio per capovolgere questa prospettiva,
54320	58380	guardando al mare come ha una risorsa da valorizzare a 360°,
58420	63020	perché il mare tocca trasversalmente ambiti e interessi che sono vitali per noi,
63400	67100	dal turismo all'industria, dalla portualità alla sicurezza,
67300	71540	dalla tutela dell'ambiente alla cultura, dalle comunicazioni al commercio,
71640	73540	dal governo dei flussi migratori alla difesa.
74120	79380	Il mare è il motore della nostra crescita, della nostra occupazione, del nostro benessere,
79540	82860	perché l'interconnessione marittima sostiene l'industria manifatturiera,
82860	85640	garantisce l'approvvigionamento di energie e materie prime,
86260	88860	consente al Made in Italy di essere esportato nel mondo.
89440	92740	Con oltre 200.000 imprese e un milione di occupati,
92980	97820	l'economia del mare genera in Italia un valore aggiunto pari a 76 miliardi di euro.
98340	103180	Siamo i primi in Europa per volume di merci immovimentate nel trasporto marittimo a corto raggio,
103420	107240	occupiamo i vertici dell'industria chiantieristica e nautica,
107380	108860	ad alta complessità tecnologica,
108860	115220	con oltre il 40% del mercato mondiale nei settori dei superiote e delle navite a crociera.
115460	119560	Un settore strategico che genera valore lungo tutta la catena produttiva
119560	121860	e che in un territorio come quello di Genova e della Liguria,
122960	126680	dove chiaramente avete scelto di celebrare il primo appuntamento di un percorso
126680	130340	che vi condurrà nel 2027 anche a Napoli in Campania,
130720	133460	concentra competenze, infrastrutture e capacità industriali
133460	136340	che rendono l'Italia protagonista nel Mediterraneo.
136340	140600	L'economia blu, la cantieristica, sono una delle cinque nuove filiere
140600	143860	attorno alle quali si sta evolvendo il nostro Made in Italy
143860	148500	e che il governo ha deciso di attenzionare nella politica industriale che sta portando avanti,
148640	151600	perché il nostro marchio è un concetto dinamico
151600	155440	che nel tempo ha aggiunto alle filiere classiche altri segmenti.
155500	159460	L'economia della farmaceutica e dei dispositivi medici, la space economy e la difesa,
159580	164160	la filiera del turismo e dell'accoglienza, l'industria culturale e, appunto, l'economia del mare.
164160	167940	Il nostro compito è sostenere questi settori, farli crescere,
168220	172180	renderli sempre più competitivi, puntando prima di tutto sulla semplificazione,
172440	175340	l'innovazione, la valorizzazione del capitale umano,
175520	178300	come abbiamo fatto ad esempio con il DDL risorsa mare
178300	182360	che sta finalmente per concludere il suo Italy in Parlamento.
182800	186720	Ma vogliamo portare avanti questa visione di sistema anche su un altro fronte decisivo,
186860	188160	che è quello della logistica portuale.
188980	191400	Il governo ha approvato una riforma della governance portuale
191400	194820	che ha obiettivi molto precisi, superare le frammentazioni,
195160	197560	sviluppare una pianificazione strategica nazionale,
197660	201400	aumentare l'attrattività dei nostri porti nello scenario internazionale.
202200	206400	Guardiamo poi con grande attenzione alle nuove sfide, come alla dimensione subaquea.
207300	210200	Abbiamo istituito il polo nazionale, siamo la prima nazione europea
210200	213780	ad aver costruito una specifica legislazione dedicata a questo dominio,
213940	218480	che è un dominio sempre più centrale per la nostra economia ma anche per la nostra sicurezza.
218480	220920	Questa è la rotta che vogliamo continuare a tracciare
220920	224520	per liberare le potenzialità ancora inespresse dell'economia del mare.
225060	227260	Abbiamo bisogno di visione, di coraggio, di concretezza,
227380	229480	ma soprattutto abbiamo bisogno della capacità di fare squadra,
230440	232540	perché quando il sistema Italia supera le divisioni,
232660	234700	rema compatto nella stessa direzione,
235040	238960	beh signori la nostra nazione non ha rivali ed è davvero capace di stupire.
239260	243420	E quindi grazie davvero a voi per il vostro lavoro e buona giornata a tutti.
