start	end	text
55200	59980	E' tutta regia studiata, ci s'aspettiamo nella campanellata.
90020	92540	Presidente Panfari, sta chiamando lei.
97460	103340	No, cantate voi, perdete la voce. Io bisogno che perdiate la voce.
120000	122940	No, ancora il record non è passato.
123860	125420	Ancora il record non è passato.
126600	130000	A 22 si fermiamo, Presidente.
138140	141220	Presidente, Martina Tolla ha insaurato questa nuova tecnica.
141440	145000	La prossima compresa durerà due ore, che si attrezzeranno.
145320	149320	Ora aspetto per darla a minuto, che ogni record è saturato.
152200	154500	E nell'intervallo faranno i discorsi.
165580	169440	Bisogna leggere la mozione, bisogna leggere la mozione.
176800	179760	Ha visto preso bene?
180160	183440	Ha visto bene, ha visto bene.
186360	187780	Viene il carattere.
209820	212140	Non so leggere, ne scusa.
235320	238320	Non so leggere, non facciamo più parlare.
241940	242600	Superato?
245020	246200	Dov'è Ciria?
275740	291560	E' tornato?
292260	293340	E' tornato?
294280	294660	No, c'è la macchina.
294660	295300	E' tornato?
295300	295300	
295300	295300	
325300	330740	Ancora c'entra. Ancora c'entra.
332220	334320	Ancora gira.
335620	336820	Bello.
377800	377980	Ancora gira.
378000	378040	Bello.
384260	384400	Bello.
385180	385280	Bello.
480900	486660	Mi ha regalato il mio compagno di scuola, Theo Baldelli, di Tolentino.
508920	510800	Questo non sopravvive.
520720	524280	Ancora tre minuti, ancora tre minuti.
544300	546880	Vole battere ogni record.
574700	582400	Lui era di trenta, Odorizzi era di trenta, era presidente della regione Trontino.
596320	603700	Un momento, un momento.
645740	650360	Ancora un minuto, ancora un minuto.
655280	657040	Continuate voi per un minuto.
705040	706980	Ancora un minuto, ancora un minuto.
715280	730480	È andato a casa, è andato a casa.
751200	775260	È andato a casa, è andato a casa.
776400	779080	Perchè non sperare che si può andare.
780540	782620	Presidente, vorrei un'autora.
783140	783800	Non si ascrive.
784180	785360	Vogliamo provare?
789960	792820	Perchè non sperare che si può andare.
792820	796480	Perchè non sperare che si può andare.
813940	815340	��
809360	812660	딸
815340	822160	un grande cortesia, lei non parla se non viene da me, un grande cortesia, con tutto il rispetto che come va dentro
824760	829340	io ti faccio bigliare per il m'orecchio e ti faccio buttar fuori, non hai l'idea
840740	853780	voglio, voglio avvertire, voglio avvertire tutti gli sportivi che ormai è stato battuto ogni record
862040	873340	per quanto gli attendano il ritorno qui in Aula di Demita, vi avverto che fino alle 17 non ritorna
873340	876960	eh, quindi regolatevi dei vostri sport
879820	894600	intanto per utilizzare bene questo spazio da adesso alle ore 17 invito a leggere la mozione conclusiva del congresso
894600	897400	che voi dovete votare
897400	899280	onorevole
904560	908260	è andato a casa
908260	910400	oh, volete capirlo o no?
917680	924240	senatore da meglio
924240	934240	senatore da meglio, prego alla tribuna di dare lettura alla mozione presentata dagli onorevoli
934880	942300	Bodrato, Scotty, Fontana, Prandini, Natali, Orzini, Cilino, Pomicci
944080	953580	ve l'ho letto per ultimo, ve l'ho letto per ultimo perché sapevo che incoraggiava nuove riprese di entusiasmo
953580	953780	bene
957800	958720	andiamo
958720	960100	basta
961540	962460	vabbè
962460	964040	andiamo
964580	966580	grazie signor Presidente
969440	974020	alla vigilia di una consultazione elettorale europea
974020	980580	che vede le forze popolari impegnate per la costruzione degli Stati Uniti d'Europa
980580	986520	e nella consapevolezza che anche per i prossimi traguardi europei
986520	992920	è ineludibile una azione di risanamento della finanza pubblica
992920	996180	e di una riforma della pubblica amministrazione
996180	1000720	che garantisca una diversa efficienza dei servizi
1000720	1006000	il 18° congresso della democrazia cristiana
1006000	1008820	impegna tutti gli iscritti
1008820	1011000	e la classe dirigente
1011000	1013820	ad una forte mobilitazione unitaria
1014760	1019820	volta a salvaguardare il ruolo centrale che il partito
1020340	1024880	pur tra tante difficoltà ha saputo consolidare
1024880	1028820	il 18° congresso della democrazia cristiana
1030140	1034080	approva la relazione dell'onorevole Demita
1034080	1042480	e gli esprime il suo più vivo apprezzamento e ringraziamento
1042480	1048360	per il decisivo contributo dato alla ripresa complessiva del partito
1048360	1055460	il 18° congresso approva la relazione programmatica dell'onorevole Forlani
1055460	1062080	la cui proposta elezione a segretario politico
1062080	1066080	può esprimere la convergenza unitaria del partito
1067200	1071080	nell'impegno diretto a svilupparne la capacità di iniziativa
1072100	1076120	per rispondere alle esigenze del Paese
1076120	1083080	il 18° congresso riconosce che l'impegno continuo della democrazia cristiana
1083940	1088080	è stato quello di rilanciare il ruolo del partito popolare
1088660	1095440	di ispirazione cristiana in una società moderna in continua trasformazione
1095440	1101320	e che il partito in questi anni ha ripreso capacità di presenza
1101320	1104100	e di dialogo nel mondo cattolico
1104100	1109700	tra le forze sociali e interessi vivi della comunità civile
1109700	1114960	riscoprendo e riproponendo ragioni forti del proprio impegno
1114960	1120540	e recuperando ruoli istituzionali e consensi elettorali
1120540	1127900	è tuttavia consapevole che i risultati raggiunti non sono irreversibili
1127900	1133240	e che le grandi difficoltà che caratterizzano la politica italiana
1133240	1140840	sono una sfida alla quale la democrazia cristiana deve dare adeguata risposta
1140840	1146740	in una società nella quale la conquista di nuovi diritti esige
1146740	1152140	da parte di ciascuno e di tutti la coscienza dei doveri
1152140	1156840	è essenziale il passaggio ad una fase di grande responsabilità
1156840	1162960	che costituisce anche la condizione per tenere alte le posizioni dell'Italia
1162960	1167960	nel consesso dei popoli e nelle relazioni tra gli Stati
1167960	1174900	restano quindi fondamentali i temi istituzionali sui quali la democrazia cristiana
1174900	1180780	intende mantenere aperto il confronto con gli alleati e gli altri partiti
1180780	1189020	è necessario un riordino della Costituzione che, assieme ad una migliore efficienza
1189020	1196100	garantisca un più trasparente rapporto tra la gestione del potere e la base popolare
1197100	1206100	il congresso impegna il partito a realizzare nella chiarezza e nel rispetto delle prospettive di ciascuno
1206860	1212240	le intese raggiunte e consolidare le ragioni della solidarietà
1212240	1219760	con i partiti dell'alleanza di governo anche sul piano regionale e locale
1220760	1231000	il 18° congresso nazionale della democrazia cristiana riafferma la completa e fattiva solidarietà al Presidente del Consiglio
1231000	1241480	col preciso impegno di tutto il partito di garantire in modo coerente la stabilità e la sicurezza dell'azione del governo
1242480	1249240	il congresso impegna i rappresentanti del partito nel governo e nel parlamento
1249240	1257280	a sostenere in modo convinto ed efficace una politica di risanamento della finanza pubblica
1257280	1264480	che agisca sia sul versante delle entrate realizzando una politica di equità fiscale
1264480	1270960	sia su quello delle spese attuandone una revisione dei meccanismi
1270960	1278480	che porti ad una eliminazione degli sprechi e ad un deciso aumento dell'efficienza nei servizi pubblici
1279480	1284540	nel condividere le scelte già fatte dal governo in materia fiscale
1284540	1293820	il congresso impegna i gruppi parlamentari della Camera e del Senato ad una rapida approvazione dei relativi provvedimenti
1293820	1301120	il congresso ribadisce la permanente validità della scelta occidentale ed europea
1301120	1310820	ed apprezza le grandi novità che sono intervenute nel quadro internazionale che vanno seguite con la convinta ricerca di tutti gli spazi
1311520	1317180	che consentano di passare dal rifiuto della guerra alla costruzione della pace
1317180	1323560	il congresso ritiene che debba essere costante preoccupazione dell'Italia
1323560	1327180	ad operarsi per una politica di pace nel Mediterraneo
1328420	1332500	sviluppare la cooperazione con i paesi sottosviluppati
1332500	1337700	e seguire con speciale impegno le questioni dell'America Latina
1337700	1343360	dove in buona parte è affidata ai partiti democratici cristiani
1343360	1349400	la speranza della ricostituzione e della difesa della democrazia
1349400	1357580	il 18° congresso ritiene che in questa fase politica particolarmente importante
1357580	1364000	è necessario consolidare il più forte raccordo del partito con l'azione del governo
1364000	1373920	e a tal fine esprime l'auspicio che il Consiglio nazionale legga a suo presidente l'onorevole Ciriaco Demita
1373920	1386260	il 18° congresso impegna la nuova dirigenza del partito ad eliminare gli ostacoli che impediscono un più efficace modo di organizzarsi
1386260	1392760	e un più positivo raccordo con tutte le energie presenti nella società italiana
1392760	1399620	il congresso ribadisce l'impegno del partito sulle grandi questioni del Paese
1399620	1406760	con particolare attenzione alla tutela dell'ambiente, allo sviluppo del mezzogiorno
1407480	1413520	offrendo una risposta credibile alla crescente domanda di occupazione
1413520	1419760	in particolare giovanile e femminile, alla tutela della vita e dalla sua qualità
1419760	1426760	rimuovendo le cause di ogni tipo di emarginazione di nuove e antiche povertà
1427640	1433980	il congresso impegna il segretario politico e il Consiglio nazionale eletti dal congresso
1433980	1439760	a promuovere d'intesa con i partiti democratici cristiani degli altri Paesi
1440080	1445320	una grande assise ideologica da tenersi a Roma
1445320	1451080	per dare a tutti i democratici cristiani il senso dei loro doveri
