start	end	text
0	2040	Per esempio sull'energia accelera?
3820	10000	Beh sicuramente è il centrale nel dibattito che stiamo portando avanti in queste settimane
10000	14900	a livello soprattutto di consiglio europeo, ma credo che anche iniziative come questa
14900	21080	che come lei sa allargano diciamo il concetto d'Europa ai confini propri dell'Unione Europea
21080	26460	siano utili, io parlavo per esempio adesso ho avuto un bilaterale l'ultimo della giornata,
26460	32780	l'ultimo qui con il Primo Ministro Carney e con il Canada oggi ad esempio sia in termini di energia
32780	38580	ma ancora di più in termini di materie prime critiche che è un altro elemento essenziale della sovranità
38580	45540	della autonomia strategica, abbiamo discusso molto e stiamo facendo importanti passi in avanti
45540	50720	quindi sicuramente bisogna costruire una strategia nuova ma questo si fa soprattutto parlandosi
50720	56260	si fa allargando la propria cooperazione al proprio spazio geografico, ai paesi si dice like-minded
56260	63040	cioè ai tanti amici che continuiamo ad avere e chiaramente l'Italia cerca di fare la sua parte
64020	70000	perché io sto volando adesso come voi sapete in Azerbaigian dove c'è un altro partner strategico
70000	73260	per quello che ci riguarda dell'approvvigionamento tanto di gas quanto di petrolio
74040	79080	dopo il viaggio in Algeria, dopo il viaggio nel Golfo chiaramente anche questo fa parte di una diplomazia
79080	85260	dell'energia che serve a difendere i nostri interessi ma non a farlo semplicemente sul piano episodico
85960	91260	ecco a farlo su un piano strutturale di lungo termine quindi cerchiamo di fare la nostra parte
92840	98260	dopodiché giornata ampia nella quale si è discusso come avete visto di molti temi
98260	104040	dalla migrazione passando per l'energia, la sicurezza, la difesa, la droga dove come sapete
104040	110040	siamo promotori insieme alla Francia di una coalizione sulla lotta ai trafficanti di droga
110040	116660	l'Italia si propone anche per ospitare due eventi di alto livello su alcune delle priorità che questa coalizione si è data
116660	120040	il tema della prevenzione sicuramente, il tema della sicurezza nei porti
120040	123320	e quindi anche questa iniziativa sta andando avanti in maniera molto concreta
123320	129100	e poi molti incontri a livello bilaterale da quello che visitavo con Carni fino all'incontro
129100	134200	ho avuto con il presidente della Svizzera sulla questione annosa delle fatture ospedaliere
134200	138040	ho avuto per ora intanto la garanzia che non saranno inviate fatture alle famiglie
138060	142140	e poi vediamo come gestire la questione sul piano bilaterale
142140	146100	Presidente, i soldati americani lasceranno l'Italia, la preoccupa, la minaccia di Trump?
148100	153440	Guardi non le so dire cosa accadrà, come le ho detto tante volte noi sappiamo che da tempo gli Stati Uniti
153440	158060	diciamo discutono di un loro disimpegno dell'Europa che è la ragione per la quale penso che noi dobbiamo rafforzare
159180	167980	la nostra sicurezza e dobbiamo diciamo crescere ecco nella nostra capacità di dare risposte da questo punto di vista
169380	173980	dopodiché chiaramente è una scelta che non dipende da me e che personalmente non condividerei
176100	179980	però una cosa ci tengo a dirla, l'Italia ha sempre mantenuto i suoi impegni
180640	184100	l'Italia ha mantenuto tutti gli impegni che ha sottoscritto, l'ha sempre fatto
184100	189840	l'abbiamo fatto particolarmente in ambito NATO, l'abbiamo fatto anche quando non erano in gioco i nostri interessi diretti
189840	192180	l'abbiamo fatto in Afghanistan, l'abbiamo fatto in Iraq
192180	198580	e quindi diciamo alcune cose che sono state dette nei nostri confronti non le considero corrette
198580	206320	anche perché a livello di patto atlantico nessuno si è presentato in una sede formale a chiedere un sostegno degli alleati sulle scelte che stava facendo
208160	209320	penso di sì
214780	220040	no non in questa sede ma insomma come sapete vedo quasi più la Fonderlion
220660	221200	arrivederci
