start	end	text
0	6780	E ora è un onore, a seconda della gente del Protectorate di Albania,
7000	12160	di dare la piazza all'italiano prime ministero e protettore del nostro paese, Giorgio Melone.
16540	17720	Buongiorno a tutti, amici.
20540	24540	Mi chiedo di dire grazie a Eddie, non per essere un protectorate,
24840	29140	ma per la sua ospitalità calda e il suo sommet.
29140	38400	E anche per farmi sentire molto giovane di nuovo con quel video che ha mostrato in l'inaugurazione.
39920	47320	E voglio anche congratulare Eddie per la sua reelezione assolutamente inespettata
48100	52040	come leader del governo albanese.
53000	59880	Sono felice che l'Europa continui a raccontare il suo spirito e la sua determinazione.
60420	63700	Albania chiede alla comunità politica europea per la prima volta,
64220	73700	la valgo particolarmente significativa, non solo per questa nazione, ma per tutti noi.
74660	79880	Ho sempre considerato l'identità europea come un fattore,
80200	83960	fondamentale dalla storia, anche prima della geografia.
84140	91460	Un concetto che è più difficile di incontrare in una definizione che di capire con l'impulso.
92200	98900	Albania è ovviamente l'Europa, come l'Italia, la Serbia o la Norvega,
98900	104200	non importa se sono parte di questa o quella organizzazione.
104500	110340	Questo è il motivo per cui sono sempre felice quando qualcuno tenta di raccogliere il diritto
110340	112800	per decidere chi è l'Europa e chi non è.
113180	120980	Tra gli Stati che sono qui oggi, alcuni hanno deciso di non ingiuntare all'Europa,
121640	123260	altri sono ispirati a essere parte.
123260	126460	Inoltre, i Stati che sono qui oggi sono più o meno europei,
129900	134740	ma l'Europa è oggi la casa di Sandro Comandante,
134740	139000	per raggiungere il riuscito di unificatione europea,
139860	143500	attenzione ai mongoli, a persone che possono differenziare tra l'altro,
144060	149000	ma sono parte di un'altra, come le mani diverse di una mano.
149800	157860	Le persone che hanno battuto oltre i secoli sono in realtà una sola persona.
158860	163500	Inoltre, per questo motivo, sono qui oggi per fare un passo avanti
163500	165820	nel processo storico di unificare l'Europa,
165840	169660	perché se vogliamo costruire una nuova Europa in un nuovo mondo,
170440	173320	non possiamo immaginare di farlo senza i balcani stessi,
173960	177240	senza le loro persone, senza le loro identità e le loro background storiche.
178120	184620	I balcani stessi non sovrapponono il finger dell'Europa o del nostro continente.
184620	187820	Siamo al very heart del nostro continente.
188200	190500	Siamo la regione bridge tra l'est e l'est,
190720	196680	tra quello che St. John Paul II ha voluto chiamare i due lunghi d'Europa.
197740	200580	Per questo motivo, l'Italia è committa in Brasile
200580	203840	a servire un approccio strategico per i balcani stessi
203840	209060	per prendere into due account despite the complex challenges posed by the region.
210260	214740	They need to provide these countries with a clear EU integration perspective.
215740	218340	Of course, enlargement involves new challenges,
218440	221740	but I am convinced that the European integration of Western Balkans
221740	228020	as well as towards the East is also strategic investment on Europe's own security,
228600	233200	even more so in light of what is happening on our borders.
233840	238140	We live in an extremely interconnected world.
238940	242560	Our destiny is interdependence is fact.
243280	246040	What happens on European's eastern borders
246720	252860	is connected with what happens on its Mediterranean borders and vice versa.
254260	259280	The wound that Russia's wars of aggression against Ukraine has inflicted
260240	265760	on the rules-based international system still produces the stabilizing effects
266420	271540	well beyond the war borders and, like a domino,
272240	279120	this contributes to reigniting or detonating other crisis hotbeds, crisis hotbeds.
279700	284020	We have witnessed this in the Middle East and not only there.
285020	287880	That is why we will continue to stand by Ukraine
288440	292940	and to strive for this war to immediately come to an end
292940	298400	because our security and freedom depend on restoring the force of law
298400	300860	over the law of the strongest.
301880	304240	And speaking of Europe and freedom,
305400	309780	I believe it is nothing more European than a people willing to risk everything
309780	312260	to defend its own freedom and independence.
313560	317860	Every day the heroism and tenacity of the Ukrainian people reminds us
318760	324260	what Europe is and what the deepest aspect of our common identity is, freedom.
325400	327320	We defend our freedom and we want peace.
327580	334360	Volodymyr and the Ukrainian people want peace and we newly witnessed it yesterday.
335240	343280	The world saw who was really willing to sit at a negotiation table and who was not.
344080	347120	And this shows also with respect to certain propaganda
347880	350200	who looks for peace and who doesn't.
351300	355880	At the same time we must not interpret what happened yesterday as a setback
356520	358160	and throw in the towel.
358260	362020	Instead we must insist with determination to finally achieve
363020	366700	an unconditioned ceasefire and a true peace agreement
366700	370980	with serious security guarantees for Ukraine
370980	374500	and we are absolutely ready to do what is needed to reach this goal.
375540	381540	However, colleagues, I do agree with many things that Eddie said in his speech,
382920	388120	but building a new Europe in a new world as advocated by this session means,
388200	393900	in my opinion, before talking about what we have to do,
394400	402040	starting from our very foundations and reflecting mainly on who we are.
402600	408260	None of us is interested in strengthening any form of union amongst European states,
409360	414140	if not for protecting what we are and what we want to continue to be in the coming decades
414140	417600	and centuries in such a fast-changing world.
418660	422940	Because if Europe sometimes proves unable to face the great challenges,
423700	426100	it is no one else's fault.
426660	428560	It is our responsibility.
429780	436280	And it is up to us to choose whether to go along a decline or instead fight it.
437300	441040	And if we decide to fight it, first of all, we need to regain awareness,
441920	446080	which is mainly awareness of who we are, what the European civilization is,
446660	451600	of the great achievements it has accomplished across the history of humankind.
452560	458040	A synthesis of values resulting from the encounter between Greek philosophy,
458040	464480	Roman law, Christian humanism, a synthesis of values that allow the European civilization
464480	469780	to conceive a world in which the person's central life is sacred and human beings are free
469780	470780	and equal.
471460	476580	A civilization that respects the identities of the others without denying its own
476580	481280	and that builds peace where instead others see destruction.
481600	482600	We are this.
483500	485180	We are this before everything.
485980	489340	And I think we have, first of all, to remember it every day
489340	492540	if we want to build a Europe up to the role received from history.
492760	493020	Thank you.
