start	end	text
0	20180	Dunque buonasera a tutti, grazie di essere qui, voglio in primo luogo ringraziare il Presidente Lorenzo e il Presidente Youssouf per essere questa sera al mio fianco, la vostra presenza inorgoglisce me, inorgoglisce l'Italia,
20880	49440	Sottolinea ancora una volta la profondità della cooperazione che abbiamo costruito insieme in questi anni, un rapporto estremamente proficuo che ha posto le basi del successo del vertice di oggi, che per adesioni a livello di partecipazione ha superato l'edizione celebrata a Roma due anni fa, io penso che questo sia un dato molto importante da sottolineare perché dimostra che la fiducia che i leader africanici avevano dimostrato,
50540	79420	accogliendo allora il nostro invito a Roma dopo due anni non è stata tradita, è la prima volta nella storica che questo vertice si svolge in Africa, per di più alla vigilia di un appuntamento solenne come l'assemblea dei capi di Stato e di Governo dell'Unione Africana e non si è trattato chiaramente di una scelta protocollare, di una scelta di cortesia come a volte accade ma di una scelta politica ben precisa e cioè voler dare il messaggio che è là
79420	83120	in Africa la protagonista di questo nostro lavoro.
83860	97540	Consentitemi ovviamente di ringraziare ancora una volta il Primo Ministro Abbi per l'amicizia tra i nostri governi, per la calorosa accoglienza, per il contributo fondamentale che ha assicurato in tutte le fasi dell'organizzazione di questo significativo appuntamento.
97540	125000	Due anni fa a Roma noi ci eravamo assunti un impegno chiaro e cioè cambiare approccio nel rapporto tra Europa e Africa, superare schemi del passato che molto spesso erano stati inefficaci, costruire un modello di cooperazione nuovo da pari a pari fondato su interessi comuni, su responsabilità condivise, su risultati verificabili, rispetto e concretezza erano e sono le nostre due parole d'ordine.
125000	131040	Era chiaramente una scommessa ma oggi si direbbe che stiamo vincendo quella scommessa.
131040	156160	Oggi il Piano Mattei non è più una semplice visione, è una realtà operativa che coinvolge direttamente 14 nazioni africane e che è stata capace di creare sinergie strutturate con le Nazioni Unite, con l'Unione Europea, con i G7, con l'Unione Africana, innescando allo stesso tempo collaborazioni con moltissimi partner che condividono la nostra stessa visione, dall'Europa, il Golfo, l'Asia orientale.
156160	178420	In due anni abbiamo avviato o consolidato circa un centinaio di progetti in settori strategici dello sviluppo, abbiamo mobilitato risorse importanti, abbiamo rafforzato un'architettura finanziaria che sta dando i suoi frutti e che chiaramente ha consentito al Piano di rafforzare la sua dimensione internazionale e multilaterale.
179420	197900	Devo ringraziare ovviamente le Nazioni Unite, ma devo ringraziare soprattutto la Banca Africana di sviluppo e il suo Presidente, si risulta che è qui, e devo ringraziare la Banca Mondiale rappresentata qui dalla Vicepresidente Anna Abgerte.
197900	210720	La loro collaborazione è stata fondamentale e lo sarà ovviamente ancora di più in futuro, così come con le tante agenzie delle Nazioni Unite che ci hanno dato una mano.
210720	227720	Ma il Piano Mattei non esisterebbe neanche senza il contributo determinante del Sistema Italia, che ha sposato a pieno, senza esitazione dall'inizio questa causa, si sta muovendo con grande dinamismo e intraprendenza, mettendo a disposizione un know-how straordinario che l'Italia può avvantare.
227720	246220	Oggi abbiamo fatto il punto sullo stato di attuazione del Piano, ci siamo confrontati su ciò che può essere fatto per renderlo ancora più efficace, perché il Piano Mattei deve e vuole rimanere una piattaforma aperta in costante evoluzione.
246220	263380	Non abbiamo mai immaginato questa iniziativa come un pacchetto di progetti che venivano pre-costituiti e calati dall'alto, ma come progetti che nascevano dall'interlocuzione, dal confronto, dalla capacità di comprendere quali sono le esigenze reali dei territori ai quali ci rivolgiamo.
266120	289960	Oggi ci siamo concentrati su una questione che è centrale per l'Africa, che è quella del debito. Abbiamo lanciato un'ampia iniziativa di conversione del debito per progetti congiunti di sviluppo. A questo aggiungiamo oggi l'inserimento di clausole di sospensione del debito per quelle nazioni che sono colpite da eventi climatici estremi.
289960	309000	Abbiamo confermato l'impegno a rafforzare i pilastri principali su cui si posa l'ossatura del piano, energia, acqua, agricoltura e sicurezza alimentare, cultura, istruzione, formazione, salute, infrastrutture fisiche, ma anche digitale, innovazione tecnologica, intelligenza artificiale, spazio.
309000	329620	Ci siamo confrontati per fissare anche gli obiettivi per il 2026. Vogliamo ampliare il numero dei partenariati, rendere anche più rapida l'attuazione dei progetti, rafforzare ancora la leva finanziaria. Vogliamo intensificare il lavoro sulle interconnessioni energetiche, sullo sviluppo dei biocarburanti e delle rinnovabili.
329620	351640	Vogliamo continuare a investire nell'agricoltura e nella sicurezza alimentare, sostenendo le filiere locali e coerentemente con il tema dell'anno dell'Unione Africana che è dedicato alla gestione sostenibile dell'acqua, l'Italia vuole rafforzare in modo significativo i progetti legati alle infrastrutture idriche, alla resilienza climatica e ai sistemi di sanificazione.
352660	379680	Siamo impegnati a rafforzare la cooperazione nelle infrastrutture fisiche e digitali, perché chiaramente senza connessioni non c'è sviluppo. Nel corso della discussione di oggi è emersa anche la volontà di spendere ancora più energia in progetti strategici e di ampio respiro, come ad esempio il corridoio ferroviario e infrastrutturale di Lobito, dove l'Italia ha assunto il ruolo di guida insieme all'Unione Europea e agli Stati Uniti.
379680	394780	Ci concentreremo ancora di più sull'istruzione e sulla formazione, perché è dallo sviluppo, dalla valorizzazione del capitale umano, che bisogna partire per offrire opportunità e costruire società libere, prospere e che possano vivere in pace.
394780	415760	Abbiamo deciso di farlo con un focus specifico e dedicato ai bambini, a partire dalla copresidenza con la Nigeria, della campagna di finanziamento della Global Partnership for Education, la più grande piattaforma internazionale a sostegno dell'istruzione primaria, sulla quale a giugno presiderò un vertice insieme al Presidente Tinubu.
415760	430980	Nei prossimi giorni e nelle prossime settimane, sulla base delle indicazioni che sono immerse nel vertice di oggi, lavoreremo insieme per definire le linee operative, per strutturare le fasi successive del piano, ma chiaramente non intendiamo perdere tempo e non lo faremo.
430980	454880	Grazie ancora al Presidente Yousuf, al Presidente Lorenzo per l'amicizia, per la collaborazione e per questo lavoro molto importante che stiamo facendo insieme. Domani parteciperemo ancora insieme alla Sessione plenaria di Apertura dell'Assemblea di Capi di Stato e di Governo dell'Unione Africana e per l'Italia è un onore poter partecipare a questa iniziativa.
