start	end	text
0	6660	della zona rossa. Ora guardi, noi portiamo mercoledì il Consiglio dei Ministri un decreto
6660	10580	che si occupa in generale della questione dell'allumione e nello specifico della questione
10580	18840	di Niscemi, distinguendo le due questioni. Per Niscemi c'è un stanziamento specifico
18840	25160	che riguarda 150 milioni di euro, con la nomina di un commissario straordinario nella figura
25160	29800	del capo della protezione civile, il prefetto Fabio Ciciliano, perché non volendo perdere
29800	34940	neanche un giorno di tempo, così siamo già immediatamente operativi con la struttura.
35320	41540	Le risorse sono dedicate sostanzialmente alle tre grandi priorità soprattutto, e cioè
41540	46420	la demolizione delle case che devono essere demolite, la messa in sicurezza del territorio
46420	52120	perché è inutile che noi cerchiamo di risolvere i problemi se si possono ripresentare, e ovviamente
52120	58080	gli indennizi per chi ha perso le case, ovviamente anche per le attività produttive al netto
58080	63320	di quello che già è stato fatto, e al netto di quello che prevede il resto del decreto
63320	68560	che vale per tutte e tre le regioni che sono state coinvolte dal problema alluvionale,
68740	73840	ma incidono ovviamente anche per Niscemi. Sul resto del decreto noi prevediamo diciamo
73840	78520	diverse centinaia di milioni di euro per quello che riguarda il ripristino della rete infrastrutturale
78520	83580	e dei servizi, e quindi impatta ovviamente e riguarda anche la questione di Niscemi,
83580	89120	prevede l'indennizio e iniziative di sostegno per le attività economiche che sono state
90160	94340	coinvolte particolarmente per quello che riguarda il campo dell'agricoltura, anche qui sono
94340	101480	provvedimenti che sappiamo che sono provvedimenti significativi, c'è la sospensione dei tributi
101480	107420	e vale ovviamente anche per Niscemi, ma vale per tutti i territori che sono stati coinvolti,
107720	113040	i tributi dovrebbero essere sospesi alla fine diciamo fino a aprile vuol dire rimandare
113040	118120	pagamento almeno ad ottobre, ok, quindi c'è anche questo tema, ci sono ammortizzatori
118120	122560	sociali sui quali sta lavorando il Ministero del Lavoro, sia per i lavoratori dipendenti
122560	128280	sia per i lavoratori autonomi che non possono lavorare a causa ovviamente degli eventi che
128280	134520	ci sono stati, ci sono i Ministeri, si sono mobilitati e hanno messo da soli a disposizione
134520	142900	al netto diciamo delle risorse ulteriori insomma del Ministero delle Finanze circa 170 milioni
142900	147980	di euro, solo i Ministeri per Attività appunto che riguardano vari campi, quindi siamo cercando
147980	154840	di dare una risposta complessiva a tutti i territori coinvolti, chiaramente in raccordo
154840	159780	con i Presidenti delle Regioni che come voi sapete sono diciamo i Commissari per l'emergenza
159780	164320	delle tre Regioni, quindi il Presidente Schifani, il Presidente Occhiuto, il Presidente Todde,
164420	169120	su Niscemi c'è la nomina di un Commissario straordinario, capo della protezione civile,
169120	174740	di 150 milioni destinato solo al Comune e ovviamente abbiamo parlato con il Sindaco
174740	179740	ma anche con i Comitati diciamo che rappresentano i cittadini per cercare di avere anche da
179740	185180	loro elementi e vorremmo che fosse partecipato tutto il confronto che poi porterà ovviamente
185180	190280	a dover dare vita alle ordinanze, sapete che qui al netto di questo stanziamento, di
190280	197720	questo lavoro che riguarda la demolizione, la ricostruzione, gli indennizi ai cittadini
197720	202420	c'è tutto un lavoro che si sta facendo tanto sulla viabilità, quanto sulle scuole e quanto
202420	208020	intanto la sistemazione temporanea anche dei cittadini che poi dovranno cercare un'altra
208020	213440	casa e che verranno indennizzati per poter comprare un'altra casa, quindi lavoro molto
213440	218260	complesso ma che vorremmo che andasse in velocità, cioè per me qui è molto importante che non
218260	222680	accada quello che è accaduto con la prana della fine degli anni 90.
222680	230460	È stato molto importante incontrare i cittadini, penso che faccia la differenza sempre quando
230460	235760	ci si mette la faccia e si parla direttamente con le persone per capire anche quali sono le
235760	241980	loro paure ma anche quali sono le loro speranze, poi ci sono chiaramente le cose sulle quali si
241980	250760	può rispondere positivamente, altre sulle quali magari è più difficile ma se non si riesce a
250760	255420	Allora sulle tempistiche, il decreto arriva mercoledì, il decreto come lei sa è immediatamente
255420	261220	operativo, vuol dire che le risorse al giorno dopo ci sono. Poi il prefetto Ciciliano che
261220	265880	però parliamo della protezione civile quindi una struttura che di solito muove con velocità dovrà
265880	271480	fare le ordinanze. Chiaramente dove io chiedo, lo dico perché ne abbiamo parlato anche con i
271480	279500	cittadini, dove io chiedo di non forzare perché sarebbe un errore è nella definizione della
279500	284640	fascia di rispetto che è sul fronte di frana perché quelle non sono decisioni che si possono
284640	290520	prendere sul piano politico, quelle sono decisioni che si possono prendere sui dati tecnici e se io
290520	295980	forzassi delle decisioni magari perché voglio dare più velocemente delle risposte certe ai
295980	305440	cittadini e mettessi la loro sicurezza al repentaglio sarei una pazza, quindi questo
305440	313160	non lo voglio fare e penso che non si debba forzare per la sicurezza, per la salute e
313160	317760	per la certezza che quando diamo delle risposte diamo delle risposte che sono certe. Quindi su
317760	324260	questo io non posso e non voglio dare oggi una tempistica della quale non sono certa, posso dire
324260	330680	che oggi Niscemi credo che sia il comune più monitorato d'Europa perché ci sono tutte le
332460	336580	eccellenze che noi abbiamo da questo punto di vista, avete visto il genio militare, avete visto la
336580	343140	protezione civile stessa, i vigili del fuoco stanno lavorando tutti perché puntiamo a dare queste
343140	350140	risposte su quale sia la fascia che bisogna purtroppo considerare non sicura e quale
350140	355340	invece magari quella che si può recuperare. Per fare questo c'è bisogno del tempo che è necessario
355340	360800	e non è una decisione che secondo me si può forzare per assecondare politicamente, sarebbe il
360800	361460	responsabile.
