start	end	text
0	4320	La Spagna della NATO, le descrizioni che stanno circolando in questo momento da parte di Trump?
6080	12700	Non positivamente, penso che la NATO debba rimanere unita, penso che sia un elemento di forza che abbiamo nel contesto,
13000	19600	penso che dobbiamo lavorare per rafforzarla, penso che dobbiamo lavorare per rafforzare la colonna europea della NATO,
19820	26140	che è il lavoro che stiamo facendo ovviamente con tutte le questioni che voi conoscete relativamente alla difesa,
26140	34360	colonna europea che chiaramente deve essere complementare a quella americana, ma voi sapete che cosa penso sulla unità dell'Occidente,
34460	38440	il ruolo dell'Occidente, quindi penso, sono sempre dell'idea che vada a rafforzare.
38520	42420	Per esempio, ieri sull'energia avevano spingato una soluzione diversa sull'idilità,
42520	45400	dove uscire a ottenere una cosa a soddisfatto della discussione?
46620	53600	Sono soddisfatta della discussione, ma come lei sa, questo è un Consiglio Europeo informale, non ci sono delle decisioni che vengono prese,
53600	60060	c'è un dibattito che viene portato avanti, mi pare che la posizione italiana,
60220	67360	che è quella che io ho segnalato ieri a voi sul fatto che l'iniziativa della Commissione è sicuramente interessante,
67540	80440	un passo avanti che serve di più, che serve il coraggio di prevenire una crisi e non di rispondere quando la crisi si manifesta in tutta la sua intensità,
80440	86500	e mi pare di non essere sola all'interno del Consiglio, quindi vedremo poi come questo si svilupperà,
86680	95440	ma io continuo a ritenere che, ad esempio, quando si parla di allentamento delle regole sugli aiuti di Stato, questo possa essere sensato,
96740	101740	ovviamente le due questioni che ho posto sono quali sono i settori che vengono coinvolti,
101740	110200	perché su questo abbiamo degli interessi che vanno considerati, citavo ieri l'elemento degli autotrasportatori,
110880	115740	che chiaramente per noi significherebbe un aumento dell'inflazione, un aumento del prezzo di tutti i geni di prima necessità,
117040	122240	e la questione della capacità fiscale, che non è uguale nei diversi Stati membri,
122240	133280	e quindi se non si parte dall'allentamento dei vincoli, almeno per questi settori, ovviamente si parla di una misura che è buona per alcuni e non è buona per altri,
133380	139700	e noi di tutto abbiamo bisogno, forchè di creare in questo momento ulteriori disparità all'interno degli Stati membri,
139860	147520	e quindi su questo non sono la sola che chiede queste misure, c'è un dibattito, ci sono anche paesi che non sono d'accordo,
