start	end	text
7640	17380	Dunque, ovviamente parliamo di Corea. No. Volevo dirvi che la previsione di un aumento
17380	22900	dei dazi nei confronti di quelle nazioni che hanno scelto di contribuire alla sicurezza
22900	33280	della Groenlandia secondo me è un errore e ovviamente non la condivido. Condivido l'attenzione
33280	38680	che la Presidenza americana attribuisce, come vi ho detto molte volte, alla Groenlandia
38680	45760	e in generale all'Artico, che è una zona strategica nella quale chiaramente va evitata
45760	53780	una eccessiva ingerenza di attori che possono essere ostili, ma credo che in questo senso
53780	61880	andasse letta la volontà di alcuni paesi europei di inviare le truppe, di partecipare
61880	69680	a una maggiore sicurezza, non nel senso di un'iniziativa fatta nei confronti degli Stati
69680	74720	Uniti, ma semmai nei confronti di altri attori. Chiaramente mi pare che su questo ci sia stato
74720	81340	un problema di comprensione e di comunicazione. Per quello che mi riguarda continuo a insistere
81340	87800	sul ruolo della NATO, è la NATO il luogo nel quale noi dobbiamo cercare di organizzare
87800	95260	insieme strumenti di deterrenza verso ingerenze che possono essere ostili in un territorio
95260	101860	che è chiaramente strategico e credo che il fatto che la NATO abbia cominciato a lavorare
101860	108120	su questo sia una buona iniziativa e ha maggior ragione per questo, perché la NATO ha cominciato
108120	114740	a fare questo lavoro, credo che sia un errore oggi imporre nuove sanzioni. Credo che sia
114740	120220	necessario invece di prendere su questo il dialogo, evitare una escalation da questo
120220	125920	punto di vista ed è quello su cui sto lavorando. Ho sentito sia Donald Trump qualche ora fa,
126200	131120	al quale ho detto quello che penso, e ho sentito il segretario generale della NATO che mi conferma
131120	135000	un lavoro che la NATO sta iniziando a fare da questo punto di vista. Chiaramente nel
135000	138760	corso della giornata sentirò anche i leader europei, è convocata credo una riunione a
138760	144640	livello per ora di core per dell'Unione Europea, ma io credo che in questa fase sia molto importante
144640	150960	parlarsi e che sia molto importante evitare una escalation, perché si può lavorare insieme
150960	153540	per raggiungere un obiettivo che è utile e necessario per tutti.
156560	163500	Cosa ha detto Donald Trump quando le ha manifestato i suoi giudizi?
