start	end	text
0	1320	portato fino a qui e a primo
1320	2780	presidente del Consiglio Donna
2780	7320	Giorgia Meloni
19500	21380	dunque buon pomeriggio a tutti
21380	24120	grazie di essere qui grazie
24120	25580	grazie ovviamente al ministro
25580	27200	Roccella, al ministro Abodi
27200	29960	per aver voluto questa giornata
29960	32460	per averlo fatto in questo luogo
32460	35220	così affascinante grazie alle
35220	36620	tante rappresentazioni di
36620	39280	talento femminile che ci sono
39280	42620	in questa sala la straordinaria
42620	45040	macchia rappresentata dalle
45040	52120	donne che indossano la fascia
52120	53480	lisa l'orchestra davvero
53480	55660	complimenti il talento
55660	57160	ovviamente di tante altre
57160	58840	rappresentato in tanti altri
58840	62080	ambiti tra le persone che vedo
62080	64640	sedute in questa sala nell'ambito
64640	66060	dell'impresa nell'ambito
66060	70080	manageriale e insomma è una bella
70820	73740	sintesi di quello che stiamo
73740	76020	festeggiando noi siamo qui per
76020	78020	celebrare uno dei momenti
78860	81120	fondativi dell'Italia di oggi e
81120	83900	di quello che siamo in fondo
83900	87220	come nazione e cioè gli 80 anni
87220	88520	del primo voto alle donne lo
88520	89700	facciamo a pochi giorni
89700	91080	dall'anniversario di una data
91080	93320	che prima ancora del 2 giugno
93320	95600	ha assegnato la svolta e cioè il
95600	99120	10 marzo del 1946 il giorno in
99120	101040	cui si sono svolte le prime
101040	103560	elezioni amministrative in Italia
103560	104960	con la partecipazione dei uomini
104960	106920	e donne quindi con il soffraggio
106920	110500	universale e grazie a quella
110500	114580	tornata 6 donne al tempo hanno
114580	116680	potuto indossare per la prima
116680	119440	volta quella stessa fascia
119440	121280	tricolore che oggi vedo qui
121280	122560	rappresentata da tante altre
123200	126620	10 marzo del 46 è stato solo il
126620	129140	primo diciamo così fotogramma di
129140	131560	un viaggio che in fondo non si è
131560	134020	ancora concluso e che è stato
134020	136020	scandito da molte altre tappe
136020	137800	decisive tra le quali ovviamente
137800	139300	non possiamo non citare il
139300	140720	referendum istituzionale che ha
140720	142820	decretato la nascita della
142820	145560	Repubblica e l'ingresso delle
146140	148300	prime 21 donne nelle istituzioni
148300	149840	parlamentari in quell'assemblea
149840	151760	costituente che aveva il compito
151760	152760	di scrivere la nostra
152760	154620	Costituzione un momento
154620	157120	chiaramente fondamentale in
157120	160660	questo percorso che Anna
160660	163520	Garofalo infermiera volontaria
163520	164380	durante la seconda guerra
164380	165660	mondiale pioniera del
165660	168040	giornalismo al femminile suo il
168040	170900	libro l'italiana in Italia
170900	173020	seppede scrivere con parole
173020	175080	secondo me estremamente efficaci
175660	177580	le schede che ci arrivano a
177580	179240	casa e ci invitano a compiere il
179240	182020	nostro dovere hanno un'autorità
182020	185320	silenziosa e perentoria le
185320	186980	rigidiamo tra le mani e ci
186980	188480	sembrano più preziose della
188480	191060	testa del pane stringiamo le
191060	192840	schede come fossero biglietti
192840	195280	d'amore parole di chi era
195280	197080	consapevole che da quel momento
197080	198460	in poi l'italia non sarebbe più
198460	200480	stata la stessa perché quel voto
201460	202720	quello che è successo nel
203600	206200	1946 ha dato alla Repubblica
