start	end	text
10420	18320	Buongiorno a tutti, grazie di essere qui, è per me un onore intervenire alla venticinquesima
18320	25740	edizione del Global Summit World Travel and Tourism Council e dare il mio personale benvenuto
25740	34100	a Roma a tutti voi che rappresentate l'eccellenza e la qualità del settore globale dei viaggi
34100	40300	e del turismo. Voglio ovviamente salutare e ringraziare il segretario generale eletto
40300	46960	per il turismo delle Nazioni Unite, Shai Kalnowais, il presidente Lefebbre Dovidio, l'ex presidente
46960	52500	Oara, il sindaco Gualtieri, tutte le autorità, tutte le delegazioni presenti. È la prima
52500	59500	volta che questo summit si svolge in Italia e a me piace pensare che questo sia prima
59500	65920	di tutto, su tutto, un riconoscimento alla forza, al prestigio del settore turistico
65920	72360	italiano, ma anche una presa adatto dell'impegno di questo governo nel supportare una delle
72360	79420	industrie più dinamiche del mondo e più strategiche, più preziose per l'economia
80060	85980	e voglio ovviamente ringraziare il ministro Daniela Santanché non soltanto per aver voluto
85980	92340	fortemente che questo evento si celebrasse in Italia, ma anche soprattutto per il lavoro
92340	109400	costante e efficace a supporto del settore che sta portando avanti. Il turismo, voi lo
109400	116620	attrae e attiva investimenti, apre opportunità per milioni di persone, è uno straordinario
116620	122140	generatore di ricchezza, di benessere, il 13% del prodotto interno lordo per quello che
122140	128560	riguarda l'Italia, ma il suo valore va ben al di là del lato strettamente economico,
129040	135960	perché il turismo racconta ciò che sappiamo fare meglio, ci consente di promuovere i nostri
136030	142470	valori, descrive e rilancia il nostro stile di vita. Il turismo è uno degli strumenti
142470	148610	principi con cui il popolo italiano parla al mondo della sua identità, la fa conoscere
148610	156470	e la rende così ammirata nel mondo. Ciò nonostante in passato non sempre il turismo
156470	162870	è stato adeguatamente valorizzato, a volte è stato trascurato, a volte è stato persino
162870	170150	snobbato ed è il motivo per il quale, all'atto della formazione di questo governo, abbiamo
170150	177230	voluto che questo settore avesse piena dignità, potendo finalmente contare su un ministero
177230	183950	autonomo che avesse un proprio portafoglio, capace di porsi come una guida nelle scelte
183950	190970	strategiche, soggetto di coordinamento di quelle politiche intersettoriali che del turismo
190970	196590	sono chiaramente precondizione e opportunità per ulteriore sviluppo. Abbiamo scelto cioè
197130	204210	di investire proprio sul turismo come uno dei principali driver del nostro sviluppo,
204290	212430	della nostra affermazione. Quando questo governo si è insediato, il comparto affrontava la
212430	219230	lenta ripresa post pandemia, gli operatori chiedevano concretezza nelle risposte, chiedevano
219230	225550	coraggio di riforme che erano attese da tempo ed è quello che abbiamo fatto. Abbiamo accompagnato
225550	232870	il settore nel suo rilancio post covid, affrontando una dopo l'altra le sfide che si presentavano
232870	240170	e le criticità che c'era bisogno di superare. Ci siamo impegnati per restituire dignità
240170	245870	ai lavoratori, investendo nella loro formazione, nel potenziamento delle loro competenze. Abbiamo
245870	251770	detassato le mance, abbiamo stanziato fondi per il trattamento integrativo dei notturni
251770	256250	e festivi, abbiamo investito sulle staff house per migliorare la qualità della vita,
256270	262210	aiutare le imprese, abbiamo riformato ambiti importanti. Penso a quello delle guide turistiche
262210	271030	che sono una specificità tutta italiana che andava protetta e valorizzata. Abbiamo contrastato
271030	279370	l'abusivismo per fare emergere il sommerzo, difendere gli operatori onesti, dare maggiori
279370	285230	garanzie e migliore qualità ai turisti. Siamo stati apripista in Europa sul fronte della
285230	291250	regolamentazione delle false recensioni online, un fenomeno chiaramente odioso che danneggia
291250	299770	tutti, i turisti, le imprese e i lavoratori. Stiamo sfruttando le risorse del Piano Nazionale
299770	305510	di Riprese e Resilienza per riqualificare l'offerta turistica, consentire in particolare
305510	311050	alle piccole e medie imprese, che sono un pezzo fondamentale dell'economia italiana, di migliorare
311050	319610	le strutture ricettive e offrire così un'esperienza migliore. Abbiamo in sostanza deciso di puntare
319610	326650	sulla qualità per rafforzare la nostra industria, consapevoli come siamo che sulla qualità
326650	334870	d'Italia sa essere imbattibile. Abbiamo investito sulla destagionalizzazione, sulla diversificazione
334870	340590	dell'offerta, fattori decisivi chiaramente per avere un turismo sempre più dinamico
340590	346410	lungo tutto l'anno e sempre più diffuso su tutto il territorio, perché destagionalizzare
346410	352190	e diversificare l'offerta vuol dire anche, ad esempio, per una nazione come la nostra,
352190	359570	valorizzare e rivitalizzare gli stupendi borghi, le aree interne che custodiscono l'identità
359570	365470	più autentica della nazione e non hanno rivali per tutto quello che rientra nella definizione
365470	371190	di turismo delle esperienze, dai cammini religiosi ai luoghi della fede, dalle strade del gusto
371190	377550	agli itinerari del patrimonio naturale e paesaggistico. Abbiamo anche focalizzato l'attenzione sulla
377550	385110	montagna, troppo spesso penalizzata da una stagionalità forzata e da condizioni climatiche
385110	385970	avverze.
386070	392530	Senza ovviamente dimenticare le straordinarie opportunità che arrivano dai grandi eventi
392530	396930	globali che l'Italia ha l'onore di ospitare, stiamo vivendo l'esperienza storica del
396930	403470	Giubileo, ci stiamo preparando per le Olimpiadi di Milano-Cortina e per i giochi del Mediterraneo
403470	408830	nel 2026, per gli Europei di Calcio del 2032, non a caso c'è qui in platea anche il Ministro
408830	416190	Abodi che ringarazio, eventi che porteranno in Italia ovviamente ulteriori milioni di
416190	420930	turisti a cui vogliamo offrire esperienze di viaggio, un'immagine dell'Italia ancora
420930	426350	più straordinaria di quanto possano aspettarsi. Quindi un'offerta sempre più ampia, un'offerta
426350	431710	sempre più diversificata, accompagnata da interventi di sistema per offrire ai turisti
431710	436350	che scelgono di venire da noi l'opportunità di vivere un'esperienza unica, come unica
436350	441950	è questa nazione. Penso ad esempio al lavoro che stiamo portando avanti per rendere più
441950	448330	facile e più veloce arrivare in Italia, spostarsi all'interno del territorio nazionale, potenziando
448330	454350	i collegamenti già esistenti, creandone di nuovi sul fronte aereo, ferroviario, marittimo,
454390	460710	ma ci tengo a ricordare anche l'impegno per offrire servizi innovativi con gli investimenti
460710	467310	sulla digitalizzazione di agenzie e tour operator, il wifi gratuito nei porti turistici
467310	474170	pubblici tramite il portale italia.it, il potenziamento dell'Italia Destination Management System
474170	482470	che integra informazione, accoglienza e promozione. Un mosaico di scelte, di azioni, di interventi
482470	488550	concreti per dare al turismo italiano nuova forza e attrattività, garantire agli operatori
488550	493990	gli strumenti di cui hanno bisogno per essere davvero competitivi, rendere sempre di più
493990	498110	la nostra nazione un ambiente favorevole agli investimenti.
498430	505330	Abbiamo incentivato la nascita di gruppi che stanno cambiando e innovando il sistema turistico
505330	511510	italiano e mondiale. Guardiamo con molta attenzione alle evoluzioni del mondo croceristico, al
511510	516890	dinamismo delle nuove società d'incoming, dei servizi del benessere, delle cure termali,
516890	522950	così come non meno importanti sono i nuovi servizi di turismo ferroviario nei quali l'Italia
522950	526490	non è solo protagonista ma leader a livello mondiale.
526690	535210	Tutto questo lavoro insieme al genio, all'intraprendenza, alla determinazione dei nostri imprenditori
535210	540230	e dei nostri lavoratori ci ha permesso di essere ancora più competitivi, ancora più
540230	544530	innovativi, ancora più al passo con i tempi. I numeri lo confermano.
544530	550110	Oggi l'Italia è la prima nazione europea per competitività turistica regionale, la
550110	555210	seconda in Europa per presenze turistiche. Con quasi 58 milioni di arrivi internazionali
555210	561410	siamo al quinto posto nella classifica globale dei Paesi più visitati e ci apprestiamo a
561410	566050	scalare un'altra posizione. Numeri che ci rendono fieri del lavoro che abbiamo fatto
566050	572230	ma che ancora non ci bastano perché noi siamo italiani e non fa parte del nostro DNA a
572230	578250	tentarci. Siamo un popolo affamato di grandi sfide che sa come stupire il mondo perché
578250	583030	è ancora in grado di stupirsi e vede ogni giorno il mondo come una tela bianca su cui
583030	588730	dipingere un nuovo capolavoro e noi puntiamo a essere quel capolavoro, la destinazione
588730	594910	privilegiata per tutti coloro che cercano un sogno tra storia e fantasia, tra antichità
594910	598890	e futuro. Grazie per darci una mano, grazie per essere qui. Buon lavoro a tutti.
604170	608810	Grazie al Prime Minister Meloni per il suo messaggio potente.
