start	end	text
0	3680	Buongiorno a tutti, ragazzi.
3680	6920	Spero molto di non essere con voi oggi in Brasso,
7260	10220	ma non potevo perdere l'opportunità di contribuire
10220	14220	in modo remoto al lavoro della seconda conferenza internazionale
14220	17280	della Global Alliance for Counter-Migrant Smuggling.
18040	21000	Voglio condividere i miei saluti a tutti voi
21580	24920	e voglio spiegare i miei speciali grazie
24920	29140	al comissario Brunner e al Presidente von der Leyen
29140	32840	anche per l'importante annuncia che ha fatto.
34060	37340	Un'iniziativa, la quale celebriamo oggi,
37820	40500	basata su un'assumzione chiave
40500	44260	che maneggiare i fluori migrati sia possibile
44260	48240	e che un'alternativa concreta per la migrazione irregolare
48240	52480	e il traffico umano esiste e è fissibile.
52580	55640	È un'alternativa che mette la legalità prima,
55640	58720	che non ha il ruolo per un'organizzazione criminella
58720	61920	che profita dalle persone che vogliono
61920	65560	ottenere migliori condizioni e che consente di creare
65560	68120	un modello di cooperazione e di sviluppo capabile
68120	71040	di ridurre le cause irregolari della migrazione.
71580	74400	L'Italia fortemente crede in questa allianza
74400	78800	e la supporta fermamente perché i suoi obiettivi
78800	83120	coincidono con l'approccio che l'Italia ha avuto per qualche tempo.
83120	87340	Questo approccio richiede la cooperazione più brevi possibile
87340	89740	per ottenere risultati concreti.
90020	92480	E' per questo che l'unico nostro obiettivo
92480	94400	è sempre stato nella dimensione esterna.
96100	99120	Oggi, ad esempio, il Maté Plan per l'Africa,
100000	102740	un'iniziativa che il governo italiano
102740	106620	è iniziando, non è più solo un'iniziativa italiana,
107180	110440	ma è diventata una strategia europea e internazionale
110440	113540	che può contare con le sinergie strutturate
113540	115420	a diversi livelli.
115700	119300	Una strategia come quella che abbiamo consolidato,
119480	122340	e voglio di nuovo ringraziare Ursula von der Leyen
122340	125440	per il lavoro che abbiamo fatto insieme
126040	128760	con il Global Gateway della Unione Europea.
129120	132980	Questa cooperazione è già valuta di più di 1,2 milioni di euro
132980	135440	per implementare progetti e investimenti
136140	138900	sul continente africano che può generare
138900	141220	un sviluppo socio-economico stabilo e durato.
142360	144900	Ma è un committimento che l'Italia
144900	147900	è iniziando con il suo processo di migrazione e sviluppo,
148800	151360	per cui molti di voi sono già contribuiti
151360	154080	e che è provato ad essere un'attività molto efficace
154080	156000	per coordinare, ad esempio,
156340	159900	attività collettive sui ritorni volontari assistenti.
160300	163280	L'Italia ha anche lavorato per proporzare
164240	166380	soluzioni innovative che sono ora vista
166380	168040	come un modello che ha aumentato gli interessi
168040	170440	e che gradualmente è diventato una pratica comune.
171000	175240	Sto riferendo prima di tutto al protocollo che abbiamo signato con l'Albania.
175520	178040	Voglio ringraziare e ringraziare il ministro interiore,
178120	180840	Kocho, che è con voi in Brussels oggi,
181600	183600	per processare i richiesti dell'assilio
183600	185880	e i proceduri di repatriazione
185880	189860	fuori dall'Europa, ma sotto la giudizia europea.
190340	192320	Questo modello è stato passato
192320	195140	dal modo e dal livello europeo.
195700	198020	E questo è dimostrato da l'accordo
198020	199840	che è riuscito un po' di giorni fa
199840	204060	dai ministri dell'Europa sull'introduzione del concepto
204060	207420	di paesi sicuri e del listo europeo
207420	209960	sui paesi sicuri di origine,
210140	212480	in quanto alla nuova regolazione di ritorni
212480	215600	che proviene per la possibilità di realizzare
216320	218140	paesi sicuri di ritorni.
218140	221840	Abbiamo creduto in queste scelte da inizi,
222480	224560	perché siamo convinti
224560	227140	di assicurare i proceduri più veloci e più rilassati
227840	230220	a parte essere un effettivo deterente
230220	232600	a quelli che hanno fatto il traffico umano
232600	234080	un affidabile affidabile.
234960	238520	Questa logica ha anche impinguto la decisione
238520	241800	di lanciare una riflessione sui capaciti di convenzioni internazionali
241800	245140	per rispondere alle difficoltà
245340	249200	di migrazione moderna e irregolare e di sicurezza.
249640	252800	Questa proposta ha gradualmente ottenuto supporto
252800	256080	e è ora in forma di un dibattimento politico in iniziale
256080	258600	nel comitato dei ministri di Strasbourg,
259020	261060	formalizzato in una declarazione politica
261060	263380	promuotata da Italia e Danmark
263380	266340	e segnato da 27 nazioni,
267720	269200	esattamente più di mezzo,
269320	271020	del Consiglio d'Europa.
271020	274760	I risultati che abbiamo raggiunto negli ultimi anni
274760	277320	hanno incontrato la possibilità di passare avanti
277320	280260	e di raccontarci che siamo sul corso giusto.
280920	283480	L'immaginazione di migrazione irregolare
283480	284500	si tratta in Europa,
285040	287540	come i significativi gradi dei morti migratori
287540	290560	e di questa apparenza nel Mediterraneo,
