start	end	text
0	3960	Presidente, l'ultimo sconto tra Governo e Magistratura è sul caso al Masri.
4040	7340	Nelle ultime settimane si sono aggiunti anche altre vicende, penso a Milano con
7340	10920	Sala o Ricci a Pesaro. Secondo lei dietro tutto questo c'è un
10920	16880	disegno politico? Ma guardi io vedo un disegno politico intorno ad alcune
16880	20420	decisioni della magistratura, particolarmente quelle che riguardano i
20420	24340	temi dell'immigrazione, come se in qualche maniera si volesse frenare la
24340	28120	nostra opera di contrasto alla immigrazione illegale, cioè nonostante i
28120	32060	flussi di immigrati illegali in Italia sono diminuiti del 60% e lavoriamo per
32060	35660	fare ancora meglio. Sul caso al Masri ho detto quello che penso, considero
35660	40520	surreale la richiesta di autorizzazione a procedere nei confronti dei ministri
40520	44480	Nordio-Piantedosi e del sottosegretario Mantovano che hanno agito nel rispetto
44480	48080	della legge per tutelare la sicurezza degli italiani e considero ancora più
48700	52860	surreale il fatto che invece per me si chieda l'archiviazione, perché i miei
52860	56620	ministri non governano a mia insaputa, perché io non sono Alice nel paese delle
56620	60100	meraviglie, sono il capo del governo e non sono neanche, diciamo, c'era un
60100	65940	conte qualsiasi che faceva finta di non sapere che cosa facesse il suo ministro
65940	72880	degli interni, dopodiché ovviamente a me non sfugge che la riforma della
72880	78300	giustizia procede a passi spediti e diciamo così ho messo in conto eventuali
78300	82620	conseguenze. Senta, sui dazzi le trattative tra America e Europa non sono
82620	86500	ancora concluse, ci sono anche trattative bilaterali, lei come pensa, come spera di
86500	90260	tutelare maggiormente anche i settori come per esempio l'ago alimentare?
91680	95860	Guardi, lei sa che la competenza è della Commissione Europea, adesso la
95860	100760	Commissione Europea sta trattando eventuali prodotti che potrebbero
100760	104900	rientrare nelle esenzioni rispetto alle tariffe, ovviamente anche in questa
104900	110060	trattativa l'Italia farà del suo meglio per tutelare i suoi interessi nazionali
110060	113380	anche considerando che molti dei prodotti che sono simbolo dell'export
113380	118340	italiano in realtà sono impossibili da sostituire con produzioni interne
118340	122660	americane banalmente perché sono prodotti unici e ovviamente anche questo
122660	126180	lo stiamo facendo notare ma quello che dobbiamo fare noi e che stiamo facendo
126180	129600	noi soprattutto è continuare ad aiutare le nostre imprese e i nostri produttori
129600	133760	lo abbiamo fatto negli ultimi giorni ad esempio mettendo un altro miliardo di
133760	138860	euro sulla filiera sulle filiere agro alimentari e approvando un importante
138860	141860	pacchetto di semplificazioni che era quello che le nostre aziende chiedevano
141860	145160	quindi continuiamo soprattutto a stare a fianco dei nostri produttori
145160	149200	Sente a due giorni fa anche umbre e marche avete inserito queste regioni
149200	151980	nello ZES, un grande aiuto dire a queste regioni
151980	155680	Assolutamente sì, guardi la zona economica speciale che è stata fin qui
155680	159020	attivata nelle regioni del mezzogiorno ha dato dei risultati molto molto
159020	164540	importanti non cito dati miei, cito dati di Ambrosetti che faceva riferimento a
164540	169680	un volume d'affari complessivo generato dalla ZES nel mezzogiorno di circa 27
169680	174760	miliardi di euro decine di migliaia di posti di lavoro creati è ovviamente una
174760	178500	grande opportunità anche per una regione manifatturiera come le Marche
178500	182180	per una regione come l'Umbria mi dispiace che anche qui l'opposizione
182180	186280	riesca a fare polemica perché invece sono opportunità che mettiamo a
186280	189660	disposizione di tutti che mettiamo a disposizione dei nostri cittadini e che
189660	192520	soprattutto per regioni in transizione come Marche e Umbria possono fare la
192520	197420	differenza. Un aiuto anche per la capitale con la legge speciale no? Guardi
197420	202780	per decenni si è discusso della necessità di dotare la capitale d'Italia di dotare
202780	208500	Roma di uno stato speciale anche di una capacità legislativa poi non è mai
208500	212840	stato fatto sono fiera che lo abbiamo fatto noi finalmente così come sono
212840	217500	fiera che abbiamo fatto noi dopo decenni che se ne parlava siamo andati avanti
217500	223480	sul ponte sullo stretto di Messina è stata approvata oggi al Cipes il progetto
224080	226540	definitivo e quindi ora si potrà partire
226540	229560	insomma tutti i dibattiti che in Italia sono stati fatti per decenni poi è
229560	231860	arrivato un governo che si è messo a fare le cose delle quali gli altri
231860	235520	parlavano. Un dibattito anche sulle regionali perché in entrambi gli
235520	238360	schieramenti quindi centrodestra e centrosinistra la situazione è un po' in
238360	241900	alto mare caotica a tratti ecco lei pensa di riuscire a trovare la quadra nella
241900	245980	sua coalizione? Non ho dubbio sul fatto che troviamo la quadra abbiamo sempre
245980	249620	fatto guardi la differenza fondamentale tra noi e altri è che noi siamo insieme
249620	252440	per scelta non siamo insieme per costrizione non siamo insieme per
252440	256940	necessità non siamo insieme perché non abbiamo scelta stiamo insieme perché
256940	259960	condividiamo una visione del mondo abbiamo sempre trovato soluzioni e
259960	263280	troveremo le soluzioni anche stavolta. Presidente però gli economisti
263280	266080	annunciano diciamo un autunno un po' complicato ci dobbiamo aspettare
266080	270960	sacrifici? E' sicuramente un contesto internazionale molto complesso ma penso
270960	274120	anche che l'Italia abbia le carte in regola per affrontare questa stagione
274760	280020	noi abbiamo oggi un governo stabile abbiamo un sistema produttivo estremamente
280020	284280	solido abbiamo una strategia che abbiamo messo in campo i nostri
284280	290200	fondamentali dell'economia sono migliori di quelli di molte altre grandi nazioni
290200	293980	europee significa che la strategia che è stata messa in campo è una strategia
294640	299000	corretta non significa che abbiamo risolto tutti i problemi ma che dobbiamo
299000	303100	continuare a lavorare e a crederci perché in ogni caso per quanto possa essere
303100	307360	complesso lo scenario nel quale ci muoviamo l'Italia c'è.
