start	end	text
0	7960	E sono completamente d'accordo con questo approccio, che l'importanza strategica del Mediterraneo e del miglior Mio Oste,
8140	19680	promuovendo un approccio di 360 gradi tra l'estero e le flacche del sud, ma anche a diversi tipo di problemi comuni.
20240	24020	Uno dei problemi comuni che abbiamo è la migrazione.
24020	32940	In un ambiente molto complesso e internazionale oggi, come i paesi europei, come l'Italia,
33180	37120	potrebbero migliorare i prezzetti del miglioramento?
37620	43200	Abbiamo la crisi nel Mio Oste, quindi la migrazione è qui.
44360	50480	Inoltre, la migrazione, la stabilità e la sicurezza in Europa sono in contatto.
51360	60480	Grazie molto, Nikos. Buongiorno, amici, e grazie molto al Prime Minister Vashinian per questa fantastica organizzazione.
62780	69040	Siamo oggi parlando di una crisi polica, ma cosa significa una crisi polica?
69700	74320	Non è semplicemente che stiamo affrontando molte crisi insieme, è tutto.
74320	80340	Il problema è che tutte queste crisi sono rilasciate ad uno all'altro e aiutate l'altro.
81580	86280	E penso che sia molto importante capire questo, anche per affrontare il fatto
86280	92500	che non possiamo semplicemente affrontare una o due facette di questa crisi, ma dobbiamo affrontare tutte le facette.
93080	104280	E io utilizzerò esattamente, per cui Nikos chiedeva, la migrazione, l'esempio della migrazione.
134280	139200	L'esempio della migrazione è anche linkato all'energia, perché dobbiamo anche affrontare il fatto
139200	144540	che molte flotte vengono dalle regioni instable che sono la chiave dei nostri prodotti di energia.
145820	150660	Ultimamente, tutto questo effettua la qualità delle nostre democrazie.
151080	156180	Perché quando i cittadini pensano che le difficoltà importanti non sono governate,
156180	164500	si perdono la fiducia nelle istituzioni. E quando la fiducia è erogata, le persone si diventano più vulnerabili
164500	169660	alla manipolazione, inoltre all'uso maliccioso dell'intelligenza artificiale.
169800	178520	Quindi non è migrazione. È migrazione, è economia, è democrazia, è competitività, è energia, è sicurezza.
178520	184840	E se prendo uno degli altri problemi, posso linkarli tutti in modo stesso.
185800	192400	Quindi prima di tutto non possiamo affrontare solo un pezzo di questa crisi polica.
192740	195820	Secondo, la migrazione è parte integrale della crisi polica.
196160	202540	Terzo, nessuno può affrontarlo solo. Quindi la cooperazione su questo è una precondizione.
203480	210480	Abbiamo fatto dei passaggi molto importanti negli ultimi anni, al livello dell'Unione Europea,
211020	216320	dove ora abbiamo un nuovo Pacto di Assilio, abbiamo una nuova definizione dei terzi paesi sicuri,
217280	223440	stiamo andando verso una nuova regolazione sui risultati che ci aiuterà anche su, diciamo,
224020	229400	soluzioni innovative, come quelle che l'Italia sta cercando di provare.
229400	236640	Abbiamo fatto passaggi in avanti al livello dell'Unione Europea, dove stiamo lavorando per dare
236640	246520	una interpretazione più moderna delle convenzioni che abbiamo, ma le abbiamo scritte molti anni fa.
246780	252500	E al livello dell'EPC, con Cure, abbiamo promulgato un'altra declarazione,
262800	270720	con la proposta che abbiamo fatto con Cure, la posizione è abbastanza chiarissima,
270840	279180	dobbiamo combattere contro i trafici, dobbiamo evitare che una nuova crisi, come quella che abbiamo in 2015,
279180	288660	passi di nuovo, e dobbiamo cooperare con i paesi di origine e transito.
289400	294860	E questo mi porti alla prima e alla seconda parte della domanda che ha fatto Nikos.
296580	308000	Il problema è se abbiamo questa crisi poli, possiamo affrontare la crisi in modo che sia aderente?
309840	315340	La mia idea è che il livello dell'Unione Europea, per esempio, in anni recenti,
315700	319300	abbiamo mostrato la nostra capacità di rispondere alle emergenze.
320500	324580	Abbiamo fatto questo con la crisi della pandemia, abbiamo fatto questo con l'Ukraine,
325060	334060	ma penso anche che ora dobbiamo stoppare, passare dalla nostra capacità di reagire,
334060	336580	alla nostra capacità di anticipare.
336580	343900	Questo significa che dobbiamo concentrarci molto più sulla nostra strategia nel termine lungo
343900	348100	e queste discussioni sono molto utili per questo.
349380	354380	La nostra strategia, in mia opinione, deve essere più forte,
355760	359800	non solo sui paesi similari, ovviamente è molto importante,
359800	367040	ma anche nella nostra città geografica.
368760	374820	Ovviamente ciò che stiamo facendo ora con i paesi similari, con l'EPC, è molto importante
374820	378680	e dobbiamo migliorare e sono molto felice che Mark sia qui.
379820	384800	Ma penso che dovremmo anche concentrarci, per esempio dal punto di vista dell'Italia,
385000	389020	quindi penso che dovremmo concentrarci molto più, per esempio,
389560	392160	sulla nostra città mediterranea.
394480	400080	Penso anche che dovremmo lavorare su un forum come l'EPC, che è fondamentale,
400080	407740	ovviamente per noi in questi tempi, concentrati nella città geografica del mediterraneo.
407740	411400	Nel passato con l'Urzula, con gli altri Stati membri, con l'Unione Europea,
411400	415640	abbiamo provato a trattare la migrazione,
416300	422440	siamo stati forzati a pagare molto più attenzione ai paesi attraverso il Mediterraneo.
422680	426180	Ora, in mia opinione, il rischio è di ampliare questa approach,
426640	429560	di portare insieme energia di rivolto di sicurezza e sviluppo
429560	432300	nella nostra cooperazione con i paesi nello spazio.
433060	439440	Per questo è la migliore forma in cui dobbiamo rispondere a una crisi che non è solo una crisi.
439440	445940	Ci sono molte crisi insieme, ma infortunatamente sono parte della stessa crisi
445940	447080	e dobbiamo trattare tutto.
447340	447640	Grazie.
