start	end	text
0	6120	la via della violenza la via papalia la via tutte queste vie che non sono
6120	10540	affatto vie che fanno pensare a sembrare costituente al cambiamento
30600	35820	queste voci che sentite in sottofondo sono quelle di massimo d'alema di
35820	41600	alcuni giornalisti d'alema che non intende almeno subito dopo la
42300	47240	sospensione dell'aula a fare alcuna dichiarazione ma sentiremo tra poco
47240	53920	anche un incontro nel transatlantico con umberto bossi
60000	64780	poi il referendum sarà un referendum di indirizzo anche per la costituente cioè
64780	70380	sancirà in modo irreversibile il bipolarismo io spero il bipartitismo
70380	72480	italiano comunque la democrazia dell'alternanza
72480	75900	potrebbe essere questa una scelta di tutta alleanza nazionale?
75940	80280	questo non lo so la riflessione del partito sarà fatta solo alla fine di
80280	84880	questa fase di questa convulsa fase politica oggi sanciamo il fallimento
84880	90740	della bicamerale poi abbiamo ancora due turni elettorali la prossima domenica il
90740	95100	ballottaggio per cui siamo tutti impegnati come polo e poi le elezioni
95100	99360	proporzionali in friuli che comunque saranno un termometro importante sulla
99360	103960	forza sulla singola forza delle singole forze politiche
103960	107460	dopodiché apriremo una riflessione politica sugli obiettivi strategici di
107460	112080	alleanza nazionale ben sapendo che le prossime elezioni importanti sono
112080	117320	sono quelle europee e che poi abbiamo questo importante strumento del
117320	122520	referendum io personalmente sono per il referendum elettorale per rendere
122520	126860	appunto irreversibile la democrazia dell'alternanza per scongiudare ogni
126860	132000	ipotesi che li tengo malefica di ritorno al passato poi la costituente ne varrà
132000	136120	come conseguenza logica di quel referendum però il partito si deve
136120	140480	attrezzare per la campagna elettorale europea che è di un'importanza direi
140680	147200	vitale per la democrazia italiana bene così adolfo urso portavoce di alleanza
147200	151580	nazionale concludiamo questa registrazione sentendo alcune
151580	155520	considerazioni di massimo d'alema
155520	169260	credo che questa iniziativa qui sia innanzitutto un atto
169260	177280	autolesionistico questo mi sembra perché alla fine di questa vicenda diciamo c'è
178160	184040	un polo diviso una maggioranza di governo più unita per forza di costi
184040	190800	ovvio che sia così una prospettiva politica per loro si chiude perché non
190800	195740	credo che susciti consenso nel paese aver fatto fallire le riforme la
195740	201160	situazione politica si fa più chiusa per loro è un bilancio disastroso di
201160	207400	questa iniziativa difficile parte il danno che si è prodotto al paese
207400	212740	bilancio dal punto di vista del centrodestra è un bilancio
212740	218000	l'altro canto basta guardare in aula diciamo la freddezza dei rapporti
220060	225020	reciprocici quindi da questo punto di vista proprio è un'iniziativa di cui non
225020	230420	si capisce il senso però una cosa è chiara diciamo che loro ne ricavano un
230420	233680	grande danno adesso bisognerà riflettere su come
233680	237120	riprendere un cammino su che cosa bisogna fare certo si abbrano dei
237920	243620	problemi molto seri però tutto sommato diciamo noi abbiamo per affrontare
243620	246800	questi problemi degli strumenti che loro non hanno
249480	256540	penso proprio di sì è naturale che chi ha voluto giochiamo giocarsi
256540	260560	personalmente nella battaglia per fare le riforme non c'è riuscito si senta
262600	268780	celebrare celebrare le sconfitte è una cosa innanzitutto sciocca diciamo
268780	274160	ingannare gli altri è disonesto e ingannare se stessi è sciocco
276440	283080	non credo che ci siano vincitori non qui dentro non ho perché l'effetto è
283740	290520	sicuramente quello di una perdita di il cittadino normale medio deve dire
290520	294880	in quella ora non sono capace di fare nulla qual è il commento e quindi tutti
294880	299500	quelli che ci stanno secondo me ne traggono motivo di
