start	end	text
0	6400	Buongiorno a tutti, grazie al Ministro della Salute Horacio Schillaci per aver promosso la prima edizione degli Stati Generali della Prevenzione.
6780	15980	Saluto ovviamente le autorità e i rappresentanti delle istituzioni nazionali e territoriali, gli esponenti delle società scientifiche, delle professioni sanitarie, il mondo della ricerca e dell'università,
16240	22220	tutti gli esperti, gli operatori che parteciperanno a questa due giorni e porteranno ai tavoli il loro qualificato contributo.
22220	33360	Rivolgo un saluto particolare al Presidente della Repubblica Sergio Mattarella, che con la sua presenza a questo evento ricorda l'assoluta centralità che tutte le istituzioni a ogni livello riconoscono al diritto alla salute.
34000	42780	Questo governo considera fondamentale investire nelle politiche di prevenzione, è la ragione per la quale stiamo lavorando fin dal nostro insediamento per consolidare un cambio di paradigma,
43380	54000	con sempre maggiore determinazione l'adozione di stili di vita sani e la partecipazione ai programmi di screening che come sapete sono uno strumento decisivo per migliorare lo stato di salute,
54400	60340	per evitare l'insorgenza di malattie, per intervenire con tempestività dove è necessario.
60700	65580	Il nostro obiettivo è quello di passare da un sistema sanitario reattivo che interviene,
66380	75180	solo dopo l'insorgere della malattia, a un modello proattivo, capace cioè di anticipare e contenere i rischi prima che diventino emergenze.
75420	82680	Ecco perché siamo convinti che i programmi di screening debbano essere sempre più diffusi e radicati su tutto il territorio nazionale.
83100	94360	L'estensione in molte regioni, ad esempio dello screening gratuito mammografico alle fasce d'età 45-49 e 70-74 anni rappresenta un passo avanti che io considero molto significativo,
94360	102220	ma è un dato che ci sprona a fare ancora di più. Ci sono infatti molti margini di miglioramento, in particolare nelle regioni del Sud.
102600	110860	Ecco perché la scelta del Ministero della Salute di organizzare gli Stati Generali a Napoli non è casuale, ma rientra nella strategia più ampia che il governo sta portando avanti
110860	116960	per colmare i divari che esistono tra i territori, rendere il sistema sanitario nazionale più moderno, efficiente,
117060	122320	garantendo ai cittadini risposte sempre più adeguate e tempestive su tutto il territorio nazionale nello stesso modo.
122900	128500	Rientrano in questa strategia le tante azioni che il governo ha messo in campo in questi due anni e mezzo.
128820	136120	Penso alla scelta di destinare alla sanità stanziamenti record, che porterà il Fondo Sanitario Nazionale a 141 miliardi di euro nel 2027.
136960	142380	Ricordo la decisione di valorizzare il personale sanitario, assicurando anche le risorse per i nuovi contrattuali.
142540	152220	Mi riferisco inoltre all'entrata in vigore dei nuovi LEA, che si aspettava da oltre 20 anni e che consente di accedere a prestazioni coperte dal sistema sanitario nazionale.
152220	161120	E non dimentico, ovviamente, l'azione di sistema che abbiamo avviato per ridurre le liste d'attesa e assicurare ai cittadini risposte più veloci e tempestive ai loro bisogni.
161260	170060	La nostra nazione deve viaggiare sui binari dell'eccellenza in ogni territorio e questo vale ovviamente anche per ciò che riguarda la prevenzione.
170360	176120	Sfida che oggi riparte da Napoli con un evento che riunisce i principali protagonisti del sistema sanitario italiano.
176120	186040	Il mio auspicio è che questi strati generali possano rappresentare un nuovo inizio, sugellare la nascita di un'alleanza che riconosce nella prevenzione il primo obiettivo dell'agenda della sanità
186040	190720	e lo strumento per salvaguardare la sostenibilità del nostro servizio sanitario nazionale.
191100	200020	La cultura della prevenzione deve diventare sempre più patrimonio di tutti perché è il miglior farmaco che abbiamo a disposizione per vivere meglio e per vivere più a lungo.
200020	207440	Dobbiamo lavorare insieme per far crescere sempre di più questa consapevolezza ripensando il nostro modo di vivere, di curare, di prenderci cura degli altri.
207740	214900	Da oggi parte un nuovo impegno collettivo per mettere al centro la prevenzione, colmare le distanze, costruire una sanità più equa, più giusta, più moderna.
215060	229460	Un obiettivo che potrebbe sembrare ambizioso e lo è, ma ciò che penso è che sia alla nostra portata e che dobbiamo semplicemente essere determinati a raggiungerlo per il bene dei cittadini e il futuro della nostra comunità nazionale.
229460	231840	Vi ringrazio e ovviamente auguro buon lavoro a tutti.
