start	end	text
8240	15140	Vertice del Polo senza Buttiglione e senza Mastella, ascoltiamo una valutazione di Silvio
15140	17340	Berlusconi, leader di Forza Italia.
19240	28460	Stanti delle vicende che hanno riguardato le formazioni del CCD e del CDU, quindi stiamo
28460	41160	assistendo a una divisione tra loro e all'interno del CCD, ma io credo che questa divisione
41160	45260	non riguarda assolutamente gli elettori, anzi ne sono assolutamente convinto, avendo tra
45260	50340	le mani anche alcuni sondaggi che mi dicono come in effetti chi ha votato per il CCD e
50340	56820	per il CDU abbia scelto quei simboli, ma prima di tutto privilegiando l'appartenenza di
57080	64860	questi simboli alla coalizione del Polo della Libertà, sul piano degli elettori assolutamente
64860	70540	non credo che ci si debba preoccupare, non credo che ci siano spostamenti, questa è piuttosto
70540	83660	un'operazione di vertice, direi che quasi un'operazione da monopoly piuttosto che un'operazione
83660	87580	realmente radicata nell'elettorato.
87840	90860	Ed ora ascoltiamo Berlusconi sulla vicenda irachena.
92300	101040	Da l'inizio è una posizione molto chiara, riteniamo che la situazione dell'Iraq sia
101040	108920	veramente pericolosa per tutti, non si comprenderebbe altrimenti perché si dovrebbero vietare le
109520	115400	dispezioni alle commissioni dell'ONU se non con la volontà di progredire nella formazione
115400	121680	di un armamento atomico e batteriologico estremamente pericoloso non soltanto per i paesi e per le
121680	124160	popolazioni di circostanze ma per tutta l'umanità.
125420	130480	Recentemente ho avuto modo, ma credo che tutti siano a conoscenza di questo, di vedere l'elenco
130480	139820	del potenziale di armi chimiche, armi di distruzione di massa che sono state pubblicate, ricordate
139820	145240	tra gli altri da Tony Blair, ricordate dal governo australiano, ricordate e confermate
145240	152340	dai ritrovamenti da parte della commissione estesa dell'ONU e dalle dichiarazioni di
152340	154860	alcuni esuli dell'Iraq.
154860	161500	Credo quindi che la situazione sia una situazione veramente grave e credo quindi che si debbano
161500	167160	fare tutte le azioni diplomatiche possibili per ottenere che Saddam rispetti i patti nei
167160	173420	confronti dell'ONU consentendo di portare le ispezioni anche dentro quelle zone che
173420	179860	lui ha voluto designare come zone residenziali, come se fossero tutte abitazioni del presidente
179860	183860	dell'Iraq, zone che hanno delle estensioni anche molto grandi, tali da poter essere
183860	188860	delle vere e proprie basi di produzione e di conservazione delle armi di distruzione
188860	190200	di massa.
191060	197280	Spero fin in fondo che questa azione diplomatica supportata dalla minaccia di azione militare
197280	203580	possa avere un esito positivo, tuttavia se ciò non avverrà io credo che non ci si possa
204100	206400	distogliere da un intervento vero.
206540	213320	In questo caso è chiaro che il nostro Paese deve mantenere la fedeltà alla politica
213320	218300	atlantica, che è stata la fedeltà dei 50 anni di storia del Paese passati, che non
218300	223140	possa esporsi a delle figure con grave perdite di credibilità internazionale come invece
223140	230140	sta accadendo, per la sconcertante dichiarazione che Prodi ha sottoscritto insieme al presidente
230140	234680	Yeltsin, che corrisponde alla posizione della Russia del 90, che corrisponde a una posizione
234680	240140	antitetica alla posizione degli Stati Uniti d'America, del Regno Unito, della Germania
240140	247160	e di molti altri Stati. Io credo quindi che noi dovremo in Parlamento confrontarci con
247160	252260	la maggioranza e che la maggioranza su questo tema di politica estera così importante dovrà
252260	257860	dimostrare di essere una maggioranza. Se così non fosse, non vedo come possa continuare
257860	265100	a governare un governo che su un tema così importante non avesse più la maggioranza.
265100	269540	Uno Stato, e soprattutto uno Stato, si ha una politica estera. Uno Stato senza politica
269540	275800	estera non è uno Stato. L'onorevole Mantovano, coordinatore di alleanza
275800	280180	nazionale, onorevole Mantovano, oggi un vertice del Polo un po' diverso da quelli passati
280180	284740	senza la presenza di Botiglione e Mastella che hanno aderito alla nuova formazione di
284740	291660	Cossiga Lodiere, quali sono le decisioni emerse? Le decisioni sono state interlocutorie
291660	298680	al momento, nel senso che più che una decisione c'è stata una presa adatto che il Polo continua
298680	299940	ad essere una coalizione.
