start	end	text
0	6320	in altri ambiti, vivremmo in un paese e quindi sta sciupando l'occasione, ora il centrosinistra
6320	11540	rischia di sciupare a proprio avolto un'occasione che non ritornerà perché se le riforme strutturali
11540	16720	non si fanno ora, tra dodici mesi non si faranno, è una strada stretta, è una cruna
16720	22720	d'ago tutta evidenza, ma io credo che il compito delle persone sagge in questo momento sia
22720	32100	quello di provare a percorrerla e io porterò come dire un sassolino, diciamo, il mio sassolino
32100	38780	non solo di testimonianza ma di iniziativa politica con altre, ripeto, persone ragionevoli
38780	44280	di centrodestra e di centrosinistra e io sono convinto che se riusciremo, perché questa
44280	49820	è la sfida, in questi due mesi anche a poter comunicare questa cosa all'opinione pubblica
49820	54300	evitando che ci sia solo il gioco televisivo delle tre seggiole di qua, tre seggiole di
54300	60580	là e si litiga selvaggiamente, ma se si può provare a individuare un percorso, io sono
60580	68360	convinto che ci ritroveremo molto meno minoritari di quanto alcuni temono e forse chissà perfino
68360	70420	maggioritari. Grazie e buon lavoro a voi.
79820	87180	Grazie Onorevole, allora per le conclusioni invito il professor Monti.
94120	102800	Ringrazio a Solombarda il presidente Bracco per questa mattinata interessante e istruttiva,
103440	110160	ho trovato questa formula di testimonianze di tre imprenditori e testimonianze di due
110160	120440	personalità istituzionali e politiche molto utile e sono lieto che da base, da quadro
120440	129280	a questa mattinata ci sia stata una ricerca a Solombarda Università Bocconi, quella ricerca
129280	137800	che il professor Brunetti ha presentato e che ci dà tanti elementi informativi, è
137800	144680	un approccio molto solido nell'impianto scientifico e al tempo stesso molto fine nell'osservazione
144680	153140	empirica, si conferma utile l'intuizione avuta molti anni fa da Solombarda e dalla
153140	160280	Bocconi, ricordo che ero presente in questa sede nell'autunno del 1994 quando con il
160280	169040	presidente Afresuti abbiamo lanciato questa partnership e abbiamo gruppi di ricerca misti
169040	175240	con persone di Assolombarda, con persone della Bocconi e spesso, lo si è visto, le basi empiriche
175240	182240	sono fornite dagli associati Assolombarda che cortesemente si prestano allo scopo, c'è
182240	188260	un modello di riferimento esplicito, molto articolato, è un modello nel quale si fondono
188260	194000	le analisi tipiche dell'economia industriale e dell'economia territoriale con quelle tipiche
194000	201520	dell'economia aziendale, la serie di temi oggetto di approfondimento monografico nelle
201520	209140	varie edizioni annuali dell'osservatorio è interessante da ripercorrere, ovviamente
209140	220880	non lo farò, ma voglio solo notare come nel primo rapporto, dal 1996, si sottoposero
220880	227060	a particolare attenzione temi che si sono poi rivelati molto significativi, per esempio
227060	232100	l'intensità e la qualità della presenza dei grandi gruppi di imprese nell'economia
232620	238500	milanese, le strategie di localizzazione delle multinazionali estere e il loro impatto
238500	244700	sull'area milanese, i caratteri del contesto metropolitano milanese e i loro effetti sulla
244700	253120	competitività delle imprese milanesi. Le tre testimonianze imprenditoriali che abbiamo
253120	263100	ascoltato questa mattina le ho trovate impressive, non impressionanti, sia per come sono state
263100	272720	presentate, se posso dire così, sia per la realtà che hanno presentato. Quello che
272720	280960	ho colto, come il professor Brunetti ha sottolineato del resto, è l'innovazione come filo conduttore
280960	290720	e elemento chiave. Una delle imprese sforna 4-5 brevetti all'anno e quando la sua responsabile
290720	300180	dottoressa Kremalsky Sartor ha preso il timone nel 2001 ci ha spiegato, ha cambiato l'impostazione
300180	306480	della gestione delle risorse umane, delle persone come preferisce dire Brunetti, proprio
306480	320700	per renderle più adatte ad un processo di innovazione. Un'altra impresa, quella della
321340	331560	con 50 dipendenti, ne ha 20 adibiti alla funzione interna di laboratorio di ricerca e sviluppo
331560	342140	e ci sono 25 nuovi prodotti all'anno. Il dottor Cahimi infine ha affermato, con assoluta
342140	349620	non chalance, ma dicendo una cosa fondamentale, l'innovazione per essere veramente tale deve
349620	356540	attraversare la vita aziendale a 360 gradi. Una cosa che mi ha anche molto colpito sentendo
356540	366320	queste 3 testimonianze è stato l'atteggiamento di fiducia, di impegno e di serenità nei
366320	373680	confronti di certe innovazioni istituzionali che spesso sono state vissute o dipinte con
373680	383600	il vero errore. La dottoressa Cremaschi dice che loro erano stati chiamati cavalieri solitari
383600	389520	dell'euro. Nell'euro cosa hanno colto? Hanno colto un segnale, se ho capito bene, anche
389520	397940	psicologico di apertura dei mercati e su questo si sono orientati. E ha anche fatto un accenno
397940	402800	che mi è parso per nulla preoccupato, mentre per altri versi ci possono essere delle fondate
402800	411880	preoccupazioni a Basilea 2. La dottoressa Taffelli ci ha detto, la dottoressa Bracolet
411880	418060	non era ancora qui, meno male che c'è la Cina e ha spiegato i motivi. Non ha paura
418060	425020	né della Cina né delle majors. Le majors impiegano 2 anni più di loro per arrivare
425020	433000	sul mercato con prodotti nuovi e la Cina sarà nostra alleata, ha detto. Mi capita molto
433000	438700	raramente in un intervento ad un convegno di fare l'esegesi di cose che ho ascoltato,
438780	446040	in genere se hanno parlato professori non lo faccio, ma ho trovato veramente molto significative
446040	454960	queste testimonianze che danno molta fiducia e che smittizzano molti luoghi comuni. Non
454960	461420	meno interessante è stata la parte delle due testimonianze istituzionali sui rapporti
461420	472640	tra istituzioni e sviluppo economico. Mi sembra significativo che la competitività stia assumendo
472640	479720	e abbia assunto già da qualche tempo per la verità il ruolo di parola chiave nella
480030	486290	ricerca di un orientamento per le istituzioni. La Regione Lombardia, lo ha ricordato l'assessore
486290	492990	Corsaro, ha fatto della competitività il centro della sua azione di politica economico-istituzionale
492990	500150	e devo dire, avendone fatto parte, che ho molto apprezzato il modo in cui la Regione
500150	506150	e il suo Presidente e gli assessori hanno gestito questo contributo della società civile
506150	515390	ed economica della Lombardia sul tema della competitività. Forse qualcuno si aspetta
515390	521810	che io faccia qualche osservazione come alcuni questa mattina hanno fatto sulla legge finanziaria,
522030	535390	non lo farò perché non mi ero preparato. Quello che vorrei però sottolineare è che
536310	541170	la competitività alla fine è un problema culturale. Il Presidente, onorevole Cappezone,
541190	546110	l'ha messo molto molto bene in luce, è un problema culturale che però deve articolarsi
546110	552650	attraverso interventi concreti. Sono rimasto un po' scoraggiato, quando ho sentito l'assessore
552650	565370	Corsaro, dire che lo sportello unico forse è un concetto da rivedere. Io immagino, ma
565370	570750	è un concetto da realizzare meglio, più che da rivedere sul piano concettuale. Tante
570750	578570	volte abbiamo sentito vantare per l'Irlanda come fattore chiave delle scelte di localizzazione
578570	585830	in quel paese, delle multinazionali, il basso livello della pressione fiscale. Quello è
585830	593750	uno dei fattori, ma un fattore che ho sentito citare al primo posto dai capi di molte imprese
593750	598870	multinazionali, soprattutto a base americana, a parte il fatto che in Irlanda si parla in
598870	605030	modo non sempre molto comprensibile la lingua inglese, è proprio lo sportello unico, proprio
605030	612070	la semplicità, la fluidità di rapporto con la pubblica amministrazione. A proposito di
612070	619330	pressione fiscale non sopravvalutiamo, forse dico una cosa controtendenza in questo momento,
619330	627190	non dovremmo secondo me sopravvalutare l'importanza, come dire, assestante della pressione fiscale
627190	632810	tra le determinanti della competitività di un paese e delle scelte di localizzazione
632810	640770	delle imprese. Ci sono in Europa esperienze di crescita e di competitività importanti
640770	647610	e positive, sia in aree a bassa pressione fiscale come per l'appunto l'Irlanda o la
647610	654770	Gran Bretagna, certi nuovi stati membri, ma ce ne sono anche in aree ad alta pressione
654770	662090	fiscale come i paesi nordici, scandinavi, forse molto dipende da quello che lo Stato
662090	677590	fa con il denaro raccolto attraverso la pressione fiscale. La serie di variabili più complessive
677610	685410	cruciali, credo, per la competitività di un paese sono attinenti alle strutture, alle
685410	692050	strutture dei mercati, alle strutture del rapporto tra pubblica amministrazione e imprese.
692230	697010	I sette giorni per aprire un'impresa, onorevole Cappezone, credo che costituiscano un sogno
697010	704350	collettivo e fa piacere apprendere che una persona come lei è così determinata e alla
704350	713050	guida di questo processo, almeno in sede legislativa. L'impressione è che in questo
713050	719690	momento il dibattito si sia comprensibilmente molto focalizzato su ciò che c'è, cioè un
719690	725990	certo aumento per talumi della pressione fiscale, che naturalmente è un tema sensibile economicamente,
726350	733330	politicamente e socialmente, mentre forse non si guarda abbastanza al molto che non c'è
733330	738470	in termini di riforme strutturali. È stato fatto nell'intervento che mi ha preceduto
738470	741970	e credo che questo sia un punto chiave per la competitività.
