start	end	text
0	5760	semplice, non è semplice il compito per il Formez nei prossimi mesi, anche tenendo conto
5760	12300	che le tensioni elettorali si ripercuotono su un istituto così ampiamente partecipato.
13020	20560	Io ho iniziato l'intervento, conscio di un'emozione forte per la storia, ma l'emozione principale,
20560	28280	me ne accorgo, è quella dell'aver vinto tante sfide e quindi avere la responsabilità di
28280	34900	valorizzare questi risultati. Penso naturalmente a tutte le sfide per la sopravvivenza che
34900	41600	il Formez dopo la fine del mezzogiorno, l'intervento straordinario ha vissuto e addirittura allo
41600	49880	sviluppo internazionale e così via. In questo non sarebbe stato possibile senza che tutta
49880	54740	la pubblica amministrazione italiana centrale, regionale e locale ci avesse dato fiducia,
54740	60680	quindi quella fiducia che noi oggi mettiamo come un architrave generale del rilancio dell'amministrazione
60680	68040	del Paese verso di noi c'è stata. Non credo di andare lontano dalla verità affermando
68040	74880	che il cemento di questo sostegno, quindi di questa fiducia, non è stata la simpatia
74880	81660	per i vertici del Formez o le capacità relazionali o manageriali dell'Istituto, ma credo sia
82220	88380	ed è la condivisione di alcuni valori comuni, valori come la passione per la cosa pubblica,
88600	94740	l'alealtà alle istituzioni, la consapevolezza che collaborando e cooperando possiamo servire
94740	102780	tutti insieme lo Stato con professionalità, trasparenza ed entusiasmo. Queste stesse virtù
102780	109280	e questa stessa condivisione di valori comuni possono aiutare la nostra pubblica amministrazione
109280	115480	a superare tante difficoltà e a raggiungere importanti traguardi. Io spero che come ha
115480	121880	fatto negli 40 anni passati il Formez possa ancora dare il suo convinto e puntuale contributo.
122020	122620	Grazie.
139280	146020	Ti prego di rivolgere questo stesso applauso galoso al Presidente Andrea Otti, a cui c'è
146020	147020	la parola.
156280	167480	Io vi ringrazio per avermi invitato a questa manifestazione celebrativa e vi ricompenserò
167480	178480	con una brevità assoluta in questo saluto. Abbiamo sentito qui sfogliare pagina a pagina
178480	189500	tutta la storia della nostra vita pubblica nel dopoguerra. Un insegnamento che io ho,
189500	197460	spero di non scandalizzare nessuno, che spesso ha un po' di risultati.
197480	210420	Ha fatto del male l'ambizione dei Ministri a portare le riforme. Io stimo tanto i Ministri
210420	218500	che si sono curati della amministrazione, con modestia, cercando di vedere dove erano
218500	227220	punti di minor funzionamento, cercando di correggerli. Anche di recente, forse potate
227220	233220	dire che sbagli di uno o di due, ma io non potevo entusiasmarmi in Senato alla discussione
233840	241060	di una riforma universitaria, perché in 59 anni di Parlamento, se non sbaglio, è la
241060	250800	nona riforma a cui assisto, sempre con grandi certezze. I controriformatori arrivano scoprendo
250800	255860	il mondo. Che cosa vuol dire? Che non bisogna cambiare niente? No, non sono così imbecille.
256860	267940	Però devo dire che il fatto, sempre dal forma che ci è venuto, questa spinta a curarsi anche
267940	274860	dell'amministrazione, e anche adesso lo abbiamo sentito, io sono un po' più cauto nei confronti
275400	282200	di queste consultazioni della gente, perché in un sistema ordinato la gente si consulta
282200	287620	tramite gli organismi rappresentativi, tramite i comuni, tramite le province, perché stiamo
287620	295140	attenti, sennò non vorrei crearmi grane con nessuno, ma quando io per esempio sento tre
295140	303900	o quattro voci dispari da altrettante unioni dei consumatori, mi dico, chi dà la legittimazione
305060	309200	rappresentato organicamente i consumatori? Però questo non vuole essere assolutamente
309270	318510	per carità, cosa ci è servito a noi? Ci è servito intanto il punto di partenza, di rispettare
318510	324050	l'amministrazione. Ci fu una brevissima stagione in cui sembrava che bisogna se levare tutto,
324230	331450	l'epurazione con milioni di persone, che poi obbligarono, guarda, sigili, togliati poi a
331450	338410	fare una legge nella quale tutti venivano imbiancati salvo i responsabili di efferate
338410	346030	e quindi qualche sevizia tra un anno e l'altro si doveva pure passare sopra. Però fu invece
346030	353650	la sensazione precisa che l'amministrazione era determinante per noi, perché alcuni di
353650	360410	noi erano giovani, io nella mia vita ho saltato delle tappe intermedie, sono stato avventizio
361810	366090	all'ufficio imposto e sono stato amministro delle finanze, sono stato soldato di sanità
366090	372090	e sono stato ministro, quindi ho saltato e non faccio testo sotto questo aspetto. La
372090	378570	cosa importante era invece di servirci dell'amministrazione, di sentire che cosa era l'amministrazione
378570	384090	e questo voleva dappertutto. Certo, c'erano quelli che avevano fatto delle carriere
384690	390570	accelerate, i prefetti nominati direttamente dai federali e questi andarono a spazio, perché
390570	397330	era giusto che fosse così, ma la carriera invece forse proprio per questa competizione
397330	404510	interna si era affinata professionalmente. Noi trovammo dei prefetti, in generale un'amministrazione
404510	411690	civile dello Stato straordinaria che fu essenziale per quel momento e questo vale, uno pensa
411690	418650	a dei mitici dirigenti delle ferrovie dello Stato e così via, dobbiamo proprio tener
418650	428850	conto di questo perché pot'altro che sia giusto, sono sempre così cauto sia nel criticare
428850	437690	ma anche nell'applaudire, per esempio la famosa piramide, forse non era la perfezione,
437750	444050	ma aveva una certa regolarità, adesso il fatto di poter per esempio prendere dei dirigenti
444050	454430	dell'esterno con dei contratti a tempo determinato, con il system, a me non convince assolutamente
454430	466390	questo fatto, mi pare assolutamente, perché pot'arsi che questo possa servire anche ad
466390	472430	acquisire qualche elemento straordinario, quando si dice i laureati, il vedetto Croce
472430	481670	e così via, però non è che noi adesso abbiamo trovato tanti benedetti Croce da poter immettere
481670	489330	dell'amministrazione, però la linea guida è stata questa di rispetto dell'amministrazione
489330	495430	e un'altra guida è quella di fare delle innovazioni, la politica del mezzogiorno, in fondo questa
495490	504070	linea del mezzogiorno che straordinariamente poi è stata messa in circolo da non meridionali,
505370	510930	in fondo sito due nomi, oggi è fatto giustamente il nome di pastore, ma forse anche il nome
510930	517990	di De Gasperi, De Gasperi aveva un'attenzione, più volte parlando nel sud ha detto, banate
517990	522750	che dei miei predecessori meridionali, si riferiva in particolare a Orlando e a Nitti,
522750	529870	non è che non volevano fare per voi, ma non avevano una forza politica dietro e un sistema
529870	536750	che consentisse di fare qualche cosa e allora nacque questa politica degli interventi straordinari,
537330	543250	nacque quella cassa del mezzogiorno, sulla quale anche poi ogni tanto si parla così
543250	552730	con sufficienza e con molta superficialità, si era creato uno strumento che faccia un
552730	560850	seno alla comunità europea che stabilirono i contributi per lo sviluppo delle aree più
560850	567090	depresse dei singoli paesi, c'era un obbligo che bisognava presentare dei progetti esecutivi
567090	574230	entro una certa data e se non si presentavano si perdeva il diritto e si davano in aggiunta
574230	582170	a coloro che avevano presentato altri progetti, la nostra nazione ha beneficiato di questa
582170	590350	capacità di progettare e di presentare tempestivamente i progetti, questo non voglio dire perché
590350	598270	adesso certamente è niente eterno, niente privo anche di difficoltà, di cose che non
598270	604010	vanno, però noi dobbiamo essere, questo ci può essere sempre un po' il rischio di credere
604010	612150	di essere all'anno zero, come pure, altro aspetto e noi viviamo un momento adesso di
612170	619390	rischio delicato perché c'è un'ulteriore trasformazione costituzionale che chiama
620170	625730	federalismo, non so se nella storia ci sia stato mai un federalismo che nasce dall'alto,
626590	633330	però tutto si può anche innovare nell'umanità, questo può darti cura che possa dare un
633330	640130	buon risultato, però siamo in una fase estremamente delicata, allora proprio il vostro compito
640130	646550	ma direi di riflessione, di aiutare a capire, di attutire, perché sennò questi ricorsi
646550	653950	che adesso le ha citato alla Corte Costituzionale per le difficoltà di caper bene quali sono
653950	668770	stati i nuovi confini posti tra le Regioni e l'amministrazione centrale, dirò poi tra
675790	690410	le Regioni e l'amministrazione centrale.
690410	698750	Io credo veramente che bisogna dare delle prove di alfabetismo per chi non ha capito
698750	698750	
698750	698750	
698750	711350	che fa determinate proposte, perché naturalmente io ero lì, non l'ho votato, però abbiamo
711350	717090	il Presidente del mio gruppo che fra l'altro era un gran professore di diritto costituzionale
717090	722610	e quindi per carità io sono un lavorato che si è anche prescritto alla laba, sono del
722610	732610	41 quindi non posso pretendere assolutamente di poter dettagli, perché siamo adesso in
732610	737710	questa fase, dobbiamo aiutare, poi ci sono le controversie politiche, poterà che ci sia
737710	743330	anche un po' di sentimentalismo in noi in fondo reduci dall'Assemblea Costituente, che ci
743330	749610	sia anche un po' di romanticismo se si vuole, non voler vedere toccato questo edificio,
750770	756250	anche perché questo edificio ha stabilito degli equilibri straordinari, per esempio
756250	764190	tra pubblico e privato, determinando piuttosto bene i confini e gli obiettivi, quando invece
764190	770530	si spostano da una parte e dall'altra, abbiamo avuto una fase nella quale la politica pretendeva
770530	779730	di fare la programmazione obbligatoria, quindi ricordate una fase romantica, perché poi non
779730	787050	era nemmeno tale, però poi c'è una fase ricorrente nei quali i presidenti di Confindustria
787050	795210	pretendono di dettar loro la politica, ognuno invade i campi degli altri, questo è un altro
795210	809450	difetto che qualche volta abbiamo nel nostro ordinamento, abbiamo avuto una capacità di
809450	816830	poter entrare in un sistema qual è quello della Comunità Europea, oggi Unione Europea
816830	822630	con tanta fatica, ancora con tanti problemi aperti anche di modo di procedere, di regole
822630	831850	comuni, come si determina e come poi si aiuta a rispettarle bilanciandone effetti positivi
831850	839430	ed effetti negativi, però questo direi che siamo avviati in un sistema in cui ci sono
839450	839610	delle ognune che sono in un'opinione molto più potente, quindi il nostro sistema è
839610	844730	più potente, più piuttosto bene, anche la vostra collaborazione in più occasioni,
844770	849910	e del formato è stata una collaborazione preziosa per evitare di far qualche cosa che
849910	856110	magari risponde ad un impulso, ma non risponde poi a delle possibilità costruttive.
856110	867890	L'ultima cosa, se vuole dire il referendum al 1976, quando fu nominato Giochi, Marongio ha vinto una carta all'Universitale, quindi c'era una ragione di altro lavoro che doveva fare.
867890	887870	Beh, era un momento molto difficile. 1976 cominciò, a parte perché c'erano anche dei lati positivi, si passava dopo una controposizione politica così aspara e dalle 47 la sinistra va sempre votato contro tutti i governi,
887870	906230	si passava invece ad una forma di coabitazione, la famosa non sfiducia, però c'erano già nella società non solo dei germi, ma delle manifestazioni di corrosione.
906230	923130	E quello che poi si sviluppò, purtroppo con grande accelerazione, il brigatismo, non era solo un fatto così di presenza armata, un fatto che poteva essere risolto con la pubblica sicurezza.
923130	936970	Era una crisi proprio, vorrei dire, della identità della nostra nazione. Il compito che si affidava, e con molta fiducia alla Formez, era proprio questo, di aiutare.
937050	952350	Poi certo servivano anche le leggi di polizia, parte di questo difficilissimo nostro Paese, dove si vuole una cosa e l'opposto. Si vuole che lo Stato possa vigilare tutto, una polizia fortissima.
952350	959990	Poi si fa una legge, come si fece, per il fermo di polizia, consentendo per 48 ore di tenere...
