start	end	text
0	5600	Terminano ora i lavori di un G7 particolarmente importante, particolarmente complesso, per
5600	10360	il quale penso che innanzitutto si debbano fare i complimenti alla Presidenza canadese,
10920	19100	al Primo Ministro Carney per una leadership molto ben esercitata in un momento particolarmente
19100	25100	complesso. Molti sono stati i temi che abbiamo affrontato in questi due giorni, a partire
25900	32060	ovviamente dalla situazione in Medio Oriente, c'è convergenza diveduta nel G7, come avete
32060	38140	visto anche dalla dichiarazione congiunta che è uscita ieri da parte dei leader del
38140	43000	G7 sulla situazione medio orientale, siamo tutti ovviamente impegnati per la pace e la
43000	48300	stabilità del Medio Oriente, siamo consapevoli del fatto che la principale fonte di instabilità
48300	58680	nella regione è stato proprio l'Iran, siamo tutti d'accordo sul fatto che non possa esserci
58680	67460	un Iran che si dota dell'arma nucleare, chiaramente di fronte a una minaccia che è reale, voi
67460	73840	avete visto anche gli ultimi rapporti della IEA, siamo d'accordo sul fatto che Israele
73840	80200	abbia il diritto di difendersi, ma l'obiettivo al quale tutti lavoriamo è arrivare a negoziazioni
80200	87560	che consentano davvero di impedire che l'Iran diventi una potenza nucleare, voi sapete che
87560	93280	negoziazioni erano già state tentate dagli Stati Uniti, sapete che l'Italia lo sa bene
93280	98180	perché abbiamo anche ospitato due round di queste negoziazioni, non si era registrata
98180	103540	questa volontà, vedremo se con quello che sta accadendo chiaramente lo scenario cambierà.
105800	113500	Dopodiché allargando lo spettro regionale, io credo che questa sia il momento giusto
113500	119340	spingendo adeguatamente per ottenere un cessate il fuoco a Gaza, è un obiettivo sul quale
119340	123260	ho lavorato molto in questi giorni, è un obiettivo sul quale ho trovato convergenza,
123260	129760	il riferimento a un cessate il fuoco a Gaza è contenuto nella dichiarazione dei leader
129760	132380	e sono soddisfatta di questo risultato.
132660	137240	Abbiamo ovviamente parlato di Ucraina, ne abbiamo parlato ieri sera a cena, ne abbiamo
137240	141100	parlato stamattina col presidente Zelensky al quale ovviamente ho portato la solidarietà
141100	147020	del popolo italiano per i brutali attacchi che abbiamo visto anche nella notte di ieri,
147560	152360	rifletto con voi sul fatto che ogni volta che si cerca di fare qualche passo in avanti
152360	157820	la Russia provoca con attacchi di questo genere, con attacchi sulla popolazione civile, dopodiché
157820	164640	anche qui c'è convergenza di vedute, siamo tutti quanti d'accordo nel sostenere gli sforzi
164640	169940	degli Stati Uniti, del Presidente degli Stati Uniti verso una pace giusta e duratura, sappiamo
169940	175240	anche che rispetto al percorso necessario ad arrivare a un cessate il fuoco per aprire
175240	179920	negoziazioni serie, in Ucraina noi abbiamo avuto un'ampia disponibilità fin qui da
179920	184700	parte dell'Ucraina e zero disponibilità da parte della Russia e quindi è evidente che
184700	191460	il dibattito si concentra prevalentemente su quali siano le mosse per portare anche la
191460	196680	Russia seriamente a un tavolo delle trattative, chiaramente le cose da fare sono due, da una
196680	201880	parte continuare a sostenere l'Ucraina è stata una parte della nostra discussione e
201880	209340	dall'altra esercitare pressione sulla Russia particolarmente con le sanzioni, dopodiché
209340	214940	ovviamente al netto di queste sono due delle questioni centrali, il G7 come sapete era
214940	220380	convocato per parlare anche di molte altre questioni che ci stanno a cuore, abbiamo parlato
220380	225160	di commercio globale, abbiamo parlato di catena di approvvigionamento, anche qui non voglio
225160	230240	tediarvi ma è ovvio che quello che abbiamo sperimentato in questi anni quando sono arrivate
230240	237160	le crisi globali sul fatto, sul prezzo che paghi quando non controlli le tue catene d'approvvigionamento,
237160	242200	quando sei troppo dipendente, quando non hai autonomia strategica è un prezzo che ci ha
242200	246540	insegnato qualcosa e quindi noi dobbiamo ripensare le nostre catene d'approvvigionamento, abbiamo
246540	250860	bisogno di catene d'approvvigionamento che siano solide, che siano controllabili, abbiamo
250860	256480	bisogno di French shoring, abbiamo bisogno di linear shoring, abbiamo parlato anche di
256480	262600	materie prime critiche e un'altra delle grandi questioni sulle quali le nostre nazioni sono
262600	266220	troppo esposte, voglio ringraziare il Primo Ministro canadese per aver proposto su questo
266220	273900	un'alleanza del G7, un'alleanza proprio sui materiali primi critici, per la produzione
273900	281200	di materie prime critiche, credo che sia un ottimo risultato di questo G7, abbiamo parlato
281200	286160	di commercio mondiale, di troppi squilibri che continuano a esistere, della necessità
286160	291500	anche di aprire il dibattito sulla riforma delle organizzazioni legate al commercio
292180	297380	internazionale, abbiamo parlato di migrazioni e questo ovviamente mi soddisfa particolarmente,
297520	302580	voi sapete che è stata l'Italia a portare per prima il tema della migrazione nel G7,
302680	307400	è stato chiesto a noi chiaramente di guidare la sessione sul G7, a dimostrazione del fatto
307400	311380	che lo scorso anno abbiamo fatto una scelta giusta, la quale gli altri leader vogliono
311380	316720	dare continuità e a dimostrazione anche del fatto che tutti quanti riconoscono la leadership
316720	323240	italiana data anche dai risultati italiani in tema di contrasto all'immigrazione illegale
323240	328360	e oggi la ricetta italiana è una ricetta che viene presa a paradigma anche dalle altre
328360	335180	grandi nazioni con le quali ci confrontiamo, così come voglio dirvi che sono contenta
335180	339140	dell'interesse che gli altri leader hanno manifestato quando si parlava di economia
339140	344140	sulle performance che l'Italia sta registrando, come sapete a margine di questi lavori ho avuto
344140	350060	la possibilità di parlare praticamente con tutti i leader che erano presenti in varie
351640	357000	occasioni e quindi sono molte altre le materie anche di carattere bilaterale che abbiamo
357000	361420	avuto modo di sviluppare con i vari leader in questi due giorni. Mi fermerai qui così
361420	364520	se avete delle domande sono a disposizione.
365460	375160	Presidente, vorrei chiederle che pensa della dichiarazione del Cancellere Mertz che valutava
375160	382620	un intervento israeliano sull'Iran, lo valutava come una cosa che fa per tutti noi, che serve
382620	388000	a tutti noi, non va nel lavoro sporco che serve a tutti noi, come se non andasse nella
388000	391460	direzione di una de-escalation e non nella sua posizione?
391460	395960	Tutti quanti andiamo nella direzione di una de-escalation, credo che quello che il Cancellere
395960	400040	tedesco anche se non ritengo di dover interpretare le parole degli altri, credo semplicemente
400040	405140	che quello che il Cancellere tedesco volesse dire è simile a quello che le ho detto io
405140	411820	adesso, noi sappiamo che oggi c'è una minaccia e che bisogna lavorare per disinnescare quella
411820	416380	minaccia, dopodiché ovviamente siamo tutti convinti che quella minaccia vada disinnescata
416380	420520	con delle negoziazioni ma le ho anche detto e vi ho anche detto che un tentativo è stato
420520	425160	fatto e purtroppo non si è arrivato al risultato e quindi è possibile che oggi lo scenario
425160	425580	cambi?
425800	430820	Io penso di sì, penso che sia possibile oggi uno scenario diverso in cui si arriva a delle
430820	436600	negoziazioni e si arriva all'obiettivo che tutti condividiamo, che è la rinuncia da
436600	442260	parte dell'Iran a essere una potenza nucleare e sono d'accordo sul fatto che un Iran come
442260	447120	potenza nucleare non sarebbe una minaccia solamente per Israele, sarebbe una minaccia
447120	450040	anche per tutti noi, questo credo sia il senso delle parole.
454580	462820	Buonasera Presidente, benvenuta, buon ritorno, nella malcapitata ipotesi ma sempre più
462820	467860	vicina che il Presidente americano decida di intervenire nel conflitto, l'Italia che
467860	468420	cosa farà?
468660	471700	Presterà le sue basi agli americani?
471820	475880	Questa non è una risposta che posso dare adesso, questa è una risposta che quando accadrà
475880	480320	ovviamente convocheremo le persone che dobbiamo convocare e prenderemo le nostre decisioni,
480320	482240	non è una decisione che si prende così.
482720	489140	E sulla immigrazione, lei ha parlato di immigrazione e ha presiduto la sessione e Carney ha scelto,
489180	495440	ha voluto proseguire quella che è un po' stata l'agenda del G7 italiano, ecco come
496400	502580	procede l'agenda e l'esperimento trampiano anche se il draconiano ha dato i suoi frutti,
502720	507440	può essere di esempio a quella che è una prospettiva italiana?
508080	511200	Il sistema americano anche sul piano della legislazione è un sistema molto diverso dal
511200	515400	nostro, io sono contenta della strategia che noi abbiamo messo in campo, una strategia
516160	521880	basata come lei sa su molti livelli, c'è un tema che riguarda ovviamente il contrasto
521880	526560	alle organizzazioni dei trafficanti, c'è un tema che riguarda chiaramente norme più
526560	531320	stringenti contro la migrazione illegale, dopo di che c'è tutto un tema che riguarda
531320	534800	la cooperazione con i paesi di origine di transito che forse è quello anche uno degli
534900	538720	elementi che danno i risultati migliori, ci sono le soluzioni innovative sulle quali
538720	545000	continuo a registrare grande interesse, anche diverse richieste di collaborazione su questi
545000	548960	temi e c'è la questione dei rimpatri che ovviamente stiamo discutendo a livello di
548960	555640	Unione Europea, penso che dobbiamo stare diciamo nelle ricette che sono ovviamente compatibili
555640	560980	con le nostre legislazioni, con i nostri riferimenti ma mi pare che i risultati stiano arrivando
560980	567220	e mi pare che l'interesse che gli altri leader dimostrano verso un tema che l'Italia
567220	571760	ha messo al centro, con una ricetta che l'Italia ha messo al centro, dimostrino una leadership
571760	572980	che oggi è chiara per tutti.
574620	579820	Buonasera Presidente, volevo sapere, da quello che dice mi sembra che sia d'accordo
579820	585600	con Macron quando sostiene che sarebbe un errore che porterebbe al caos l'opzione
585600	589800	militare per il cambio di regime, volevo capire se è così e poi se è d'accordo
589800	595800	con il Presidente Trump che vorrebbe un ruolo di mediatore in Iran per Vladimir Putin, grazie.
597540	604720	Guardi, sul tema della possibilità che Putin medi, francamente dalle interlocuzioni
604720	610820	questi giorni non mi pare che fosse questa grande disponibilità da parte di nessuno
610820	616180	se devo essere onesta, dopo di che, per come la vedo io, affidare a una nazione in guerra
616180	622240	la mediazione su un'altra guerra non mi sembra l'opzione migliore da prendere in considerazione,
622300	627860	ma non è, le devo dire, un'opzione sul campo, anche dalle parole che ho ascoltato personalmente
627860	633520	in questi giorni, dopo di che, insomma, visti i rapporti che Putin ha con gli ayatollah,
633700	637280	se vuole convincerli a dismettere il programma nucleare, a meno che non lo sostenga, noi
637280	643640	siamo ovviamente disponibili da questo punto di vista, dopo di che, per quello che riguarda
643640	647480	le parole di Macron, guardi, io ho sempre pensato che lo scenario migliore fosse quello
647480	653620	di un oppresso popolo iraniano che riesce a rovesciare il regime, dopo di che, ovviamente,
653760	657680	si deve fare il pane con la farina che si ha, si deve operare nello scenario nel quale
657680	666120	si opera, per cui l'obiettivo è quello di impedire che l'Iran sia una potenza nucleare.
667840	671800	Con la negoziazione fino a ieri non si è riusciti, cambia lo scenario, è possibile
671800	675520	che oggi cambia lo scenario e noi dobbiamo guardare all'obiettivo, no a quella che è
675520	682440	la nostra idea perfetta per ottenere quell'obiettivo, è evidente che finché la minaccia esiste
682440	685900	Israele ha anche il diritto a muovere per difendere la sua sicurezza.
688600	693040	Buonasera Presidente, secondo indiscrezione il Presidente americano Trump avrebbe bloccato
693040	698800	una dichiarazione sull'Ucraina, era sul tavolo una dichiarazione, era prevista, che cosa
699360	706340	No, non era prevista una dichiarazione sull'Ucraina, durante la scena ieri anche con il Presidente
706340	712320	Trump il Primo Ministro Carney ha condiviso con tutti i leader quali sarebbero stati,
712320	720860	diciamo, i notes, i taking notes, i punti principali del suo report alla stampa sulla discussione
720860	723980	che c'era stata sull'Ucraina, che più o meno ricalcano quello che io vi ho detto adesso
723980	724960	e siamo stati tutti d'accordo.
727220	733260	Salve Presidente, le volevo chiedere, lei ha parlato, era scritto anche nel comunicato
733260	740600	di Dazzi con il Presidente Trump, però Trump poco dopo, come dire, non ha offerto molte
740600	746660	disponibilità visto che ha detto che sui Dazzi l'accordo, rispetto alle ipotesi presentate
746660	751580	dagli europei, non va assolutamente bene, pagheranno quello che devono pagare, ci può
751580	752220	dire qualcosa?
752220	758920	Guardi, è una negoziazione in corso, come lei sa, come immagino sappiate, francamente,
759080	763360	c'è stato anche un colloquio qui tra il Presidente degli Stati Uniti Donald Trump, la Presidente
763360	768740	della Commissione Europea Ursula von der Leyen, significa che si continua a parlare, a cercare
768740	775340	delle soluzioni e se io dovessi vedere, e probabilmente anche voi avete visto, anche
776340	784600	la costanza del dialogo, del rapporto che oggi c'è, la franchezza, ma anche la serenità
784600	789660	del rapporto che oggi c'è, direi che lo scenario è parecchio cambiato e direi anche che dobbiamo
789660	796360	essere come Italia fieri del lavoro che abbiamo fatto per costruire un dialogo che fosse
796360	804740	costante, franco, ma sicuramente sereno e aperto, quindi io sono, ovviamente sto facendo la
804740	809480	mia parte, ma so che il negoziato sta andando avanti, non voglio dirvi che sono ottimista,
809640	813480	ma penso che bisogna continuare a lavorare che alla fine una soluzione si troverà.
814200	818700	Presidente, buonasera, lei in questi giorni ha rilanciato più volte la proposta italiana
819300	823780	per un cessato del fuoco a Gaza, volevo sapere qualche dettaglio in più, in che cosa consiste
823780	829160	e se teme, scusa, vabbè, no, e basta… Le rispondo, le rispondo, corriamo! No, no,
829160	836960	non fa niente. Dunque, come io le ho detto, credo che il momento sia un momento nel quale
837600	844740	si può arrivare a un cessato del fuoco a Gaza. Ho condiviso questo mio sentimento, diciamo
844740	850840	così, con tutti, con tutte le persone con le quali ho parlato in questi giorni e con
850840	857540	tutte le persone che erano al vertice e ho trovato convergenza, tanto che questa comune
858300	863720	è nel documento finale del G7. Significa che siamo tutti convinti che bisogna spingere
863720	868260	per questo risultato. Dopodiché, come ho letto il piano di pace italiano, che cosa
868260	871680	penso io che dovrebbe accadere dopo se ci fosse un cessato del fuoco? Voi sapete che
871680	876540	io ho sempre sostenuto il piano di ricostruzione presentato dai paesi arabi. Credo che il ruolo
876540	887340	dei paesi arabi, segnatamente dei paesi del Golfo, in questa fase nella regione sia un
887340	892540	più possibile sostenere la responsabilità di questi paesi nel trovare, nell'aiutarci
892540	896720	a trovare una soluzione su Gaza. Quindi, nel caso ci fosse un cessato del fuoco, io ripartirei
896720	897560	da lì.
