start	end	text
0	6020	Dopo il mio intervento, ma vorrei anche ringraziare tutti voi per essere intervenuti in così
6020	11300	gran numero, devo dire che cercavo di vedere qualche faccia che non conoscessi e non ci
11300	18680	sono riuscito, quindi avrò la sensazione veramente di parlare in casa, ma vorrei subito
18680	24940	riallacciarmi alle importanti parole del Sottosegretario Pennacchi, è difficile pensare di fare una
24940	30340	prima volta in un governo del genere senza ricordare quello che è appena successo e come
30340	37660	la nostra realtà complessiva è cambiata al seguito degli eventi del fine settimana
37660	48140	scorso. Il fatto che questo forum avvenga all'indomani dell'attuazione, del lancio
48140	54920	dell'Unione monetaria europea di cui l'Italia farà parte e farà parte dal primo generale
55940	62760	del 1999, questo fatto certamente ispira le nostre considerazioni in tema di riforma
62760	71100	della pubblica amministrazione. In che senso? La parola chiave della nostra politica economica
71100	77360	per gli anni a venire sarà perseveranza. Perseveranza in che senso? Nel senso che non
77360	82900	esistono due fasi, non c'è stata la fase del risanamento e ora ci sarà la fase della
82900	90560	crescita. Fase del risanamento e fase della crescita sono interconnesse. Questo significa
90560	95340	che alcune delle riforme, di cui è una in particolare la riforma della pubblica amministrazione
95340	102700	di cui parliamo oggi, fanno parte delle riforme strutturali. La crescita come non può essere
102700	108660	sostenuta nel periodo medio lungo senza riforme strutturali. La stessa dichiarazione della
108660	114220	Commissione che liberava l'Italia dalla procedura dei deficit eccessivi riconosceva che l'Italia
114220	121220	aveva raggiunto un alto grado di convergenza sostenibile nel medio periodo. Quindi, perché
121220	127440	si abbia sostenibilità, occorrono riforme. Occorrono riforme strutturali. Questo governo
127440	132300	ne ha avviate, come ricordava l'onorevole Pennacchi un attimo fa, ne ha avviate molte,
132300	137400	ne ha avviate e queste riforme sono profonde, coinvolgono, direi, tutti gli aspetti della
137400	142200	politica economica. Tra queste la riforma della pubblica amministrazione è particolarmente
142200	148880	importante perché caratterizza quella concorrenza tra ordinamenti che si verrà necessariamente
148880	154980	a fare ancora più spinta negli anni a venire. Non c'è dubbio che la caduta delle barriere
154980	159900	di cambio tra le diverse monete aumenterà il grado di concorrenza nell'Unione Europea.
159900	165240	Questa concorrenza si esplica da un lato cercando di rendere i mercati, tutti i mercati più
165240	170340	efficienti e più flessibili, dall'altro cercando di rendere gli ordinamenti, tra loro, competitivi.
170640	174720	Gran parte dell'ordinamento che caratterizza la nostra vita economica è un ordinamento
174720	182700	della pubblica amministrazione. Quindi la pubblica amministrazione deve diventare, come dire,
183840	189380	deve essere percepita in maniera diversa e diventare una cosa diversa. Deve essere percepita
189380	193500	non più come oggi, come spesso è un elemento di ostacolo e di incremento dei costi per
193500	199800	i cittadini, deve invece essere percepita come elemento che rende la produzione più efficiente
