start	end	text
0	3760	Non più tardi di ieri ho commentato la surreale decisione della magistratura
3760	8320	di condannare il Ministero degli interni a risarcire con i soldi degli italiani
8320	12500	un immigrato irregolare con 23 condanne alle spalle che lo Stato aveva avuto
12500	16100	l'ardire di trasferire nel Cpr in Albania per l'espulsione.
16860	18400	Una notizia vergognosa
18400	21500	ma che sembra una sciocchezza rispetto a quello che è accaduto oggi.
21960	24180	Vi ricordate, caro la racchete,
24340	28800	che nel 2019 spero no una moto vedetta della Guardia di Finanza per
28800	32400	portare con la nave che comandava degli immigrati irregolari in Italia?
33320	37500	Non solo all'epoca la racchete è stata assolta perché secondo alcuni
37500	39440	magistrati è consentito
39440	43160	forzare un blocco di polizia in nome dell'immigrazione illegale di massa
43160	45240	ma oggi i giudici
45240	48960	prendono un'altra decisione che lascia letteralmente senza parole.
49580	51260	Hanno condannato lo Stato italiano
51260	55400	a risarcire con 76.000 euro, sempre degli italiani,
55400	59480	la ONG proprietaria della nave capitanata dalla racchete
59480	63200	perché dopo lo speronamento ai danni dei nostri militari l'imbarcazione era
63200	64600	stata giustamente
64600	67880	trattenuta e posta sotto sequestro.
68340	73360	Decisione della magistratura commentata felicemente dall'ONG che dichiara
73360	74280	testualmente
74280	79860	il diritto ancora una volta da ragione alla disobbedienza civile.
80820	82040	Allora la mia domanda è
82040	85240	ma il compito dei magistrati è quello di far rispettare la legge o quello di
85240	88020	premiare chi si vanta di non rispettare la legge.
88140	89660	L'altra domanda che mi faccio è
89660	93600	qual è il messaggio che si sta cercando di far passare con questa lunga serie
93600	96460	di decisioni oggettivamente assurde
96460	99120	che non è consentito al governo provare
99120	101440	a contrastare l'immigrazione illegale di massa
101440	105900	che qualunque legge si faccia e qualunque procedimento si costruisca
105900	109100	una parte politicizzata della magistratura è pronta a mettersi di
109700	110220	traverso?
110520	114560	Non lo so, ma in ogni caso mi dispiace se deluderò più di qualcuno
114560	116940	perché noi siamo particolarmente ostinati
116940	118480	e continueremo
118480	121200	e faremo del nostro meglio per
121200	125260	rispettare la parola che abbiamo dato agli italiani e per far rispettare le
125260	127580	regole e le leggi dello Stato italiano
127580	129740	e faremo tutto quello che serve
129740	132380	per difendere in particolare i confini
132380	133860	e la sicurezza dei cittadini.
