start	end	text
0	10040	Buonasera, Governo Panetta, Presidente Mbanga, Presidente Shanmugarrantnam, autorità.
11040	19340	Alcuni dei giorni difficili, non voglio perdere l'opportunità di chiudere questo dibattimento
19340	28620	dedicato a un tema che considero cruciale non solo per il futuro dell'Africa,
29380	32800	ma per il futuro di tutta l'Europa,
32800	41800	che è la costruzione dell'infrastruttura fisica e intangibile che rende la crescita, l'enterprezzo e l'uomo possibili.
42600	47220	Il titolo di questo evento, L'Emporio per i Giapponi,
47900	51560	ricorda una verità semplice ma incredibilmente spostata,
52220	57980	che i giapponi non sono creati, diciamo, con un semplice decreto.
57980	62980	Sono creati dove ci sono condizioni favoribili,
64520	76540	dove c'è l'infrastruttura fisica e digitale, l'energia rilassata, il capitolo umano, le istituzioni solide, i regolamenti crei e l'accesso alla finanza.
77540	82520	È questo semplice premiso che gira le azioni di Italia,
83400	86760	sia a casa che, ovviamente, internazionalmente,
86940	90980	in particolare con l'interno del continente africano.
91060	94000	Abbiamo implementato questo,
94320	99960	con il Maté Plan, un programma di investimento in paesi africani
99960	104040	che dice una strategia di cooperazione,
104100	106080	ma cooperazione tra i quali,
107400	110120	costruita su una visione chiarissima,
110400	114940	per aiutare a creare le condizioni strutturali per il sviluppo dei campi di produzione,
116080	117300	dei negozi locali forti,
118240	121360	e dell'apprendimento stabilo e dignificato negli africani,
122360	126480	così che l'Africa possa crescere e prosperare
126480	129300	dal processare le sue risorse,
129780	131560	di coltivare la sua terra
132360	135780	e di creare la maggior parte del capitolo umano.
136300	140100	In questo processo, la collaborazione con la Banca mondiale
140100	145420	è stata e continua ad essere più centrale,
145420	147140	con il Presidente Banga,
147140	150140	a cui vorrei sinceramente ringraziare
150660	153260	per la sua clarità e la sua readiness
153260	155060	nel lavorare insieme.
155560	158340	Abbiamo iniziato un dialogo intenso e concreto
159140	160820	dal inizio.
161560	164400	Abbiamo condiviso un approccio fondamentale a questo gioco comune,
165580	169700	mettere il sector privato al centro del sviluppo,
170220	173400	mobilizzare il capitolo, ridurre i rischi di investimento,
173400	178640	e fornire la capacità istituzionale dei partner nations.
179940	182000	La Banca mondiale è un giocatore key
182000	184640	nel creare ambienti business-friendly,
186240	187080	reforma regolatoria,
187160	189860	e fornire le istituzioni economiche.
190020	191160	E il governo italiano,
191740	192900	attraverso il MatteiPlan,
193880	195520	è un partner in questa missione,
195620	198800	vuole essere un partner in questa missione.
198980	201660	Uno dei mostri più concreti di questa collaborazione
201660	203080	in recenti mesi
203080	208220	è l'opertura dell'Office di Finanzie internazionale in Roma.
209200	212440	La permanente presenza dell'Office di Finanzie internazionale
212440	214640	nel nostro capitolo non è semplice.
215640	217620	È una scelta strategica.
218640	220760	Significa creare una bridge operativa
220760	223140	tra il sistema produttivo italiano,
225220	225880	i mercati africani,
226260	229920	e gli strumenti finanziari del gruppo di lavoro.
229920	232100	Significa facilitare incontri
232100	233760	tra i compagni, gli investitori,
234020	235880	e i progetti bancari.
236040	237640	Significa fornire la possibilità
