politician,speech_id,n_chars,self_sim,threshold,is_outlier
forlani,39460.0,39,0.004382961834488755,0.5285485636855317,True
amato,139345.0,2201,0.013084292490289523,0.6958575793325631,True
craxi,230045.0,4676,0.016491752222592037,0.21399311836283857,True
craxi,39939.0,284,0.01649175222259204,0.21399311836283857,True
prodi,248829.0,112,0.019618709178932967,0.5494158906605255,True
amato,158027.0,439,0.04381238259667616,0.6958575793325631,True
monti,201536.0,782,0.04965339937222075,0.6883838247262372,True
amato,162317.0,404,0.052748062548983274,0.6958575793325631,True
amato,44489.0,809,0.05274806254898328,0.6958575793325631,True
amato,162470.0,1187,0.05274806254898328,0.6958575793325631,True
amato,80924.0,1781,0.05274806254898329,0.6958575793325631,True
letta,147579.0,486,0.053642662076254274,0.6610842185581081,True
prodi,142976.0,1619,0.056793414500384914,0.5494158906605255,True
prodi,105433.0,134,0.05679341450038492,0.5494158906605255,True
prodi,89372.0,1592,0.05679341450038493,0.5494158906605255,True
conte,156269.0,351,0.057215655498760246,0.41487603651783356,True
letta,154530.0,863,0.05826582103963773,0.6610842185581081,True
letta,143432.0,431,0.05826582103963773,0.6610842185581081,True
letta,74665.0,431,0.05826582103963773,0.6610842185581081,True
letta,151325.0,917,0.05826582103963773,0.6610842185581081,True
letta,121291.0,998,0.05826582103963774,0.6610842185581081,True
dini,106222.0,782,0.05902666657230757,0.5438047711838553,True
dini,246615.0,485,0.05902666657230757,0.5438047711838553,True
d'alema,116242.0,134,0.06369136954541513,0.6541717992406154,True
d'alema,143895.0,1133,0.06369136954541514,0.6541717992406154,True
d'alema,157908.0,4778,0.06369136954541514,0.6541717992406154,True
d'alema,124913.0,890,0.06369136954541514,0.6541717992406154,True
d'alema,146104.0,1160,0.06369136954541516,0.6541717992406154,True
d'alema,105561.0,917,0.06369136954541517,0.6541717992406154,True
d'alema,107312.0,377,0.0636913695454152,0.6541717992406154,True
andreotti,23204.0,53,0.06630769157891146,0.5949400521546582,True
andreotti,150839.0,1079,0.06630769157891146,0.5949400521546582,True
andreotti,148546.0,1592,0.06630769157891146,0.5949400521546582,True
de mita,117174.0,1052,0.0663769150215427,0.6566228235722846,True
letta,129801.0,1891,0.06847695911143419,0.6610842185581081,True
andreotti,13196.0,378,0.07177452726905738,0.5949400521546582,True
letta,138408.0,984,0.07387020146879872,0.6610842185581081,True
amato,79601.0,439,0.07390546865551166,0.6958575793325631,True
berlusconi,105434.0,106,0.07444656424387988,0.5774101407240816,True
fanfani,75293.0,323,0.07772449306466044,0.57930082557577,True
andreotti,13204.0,807,0.07896024961744108,0.5949400521546582,True
berlusconi,129585.0,53,0.07913934889895312,0.5774101407240816,True
berlusconi,165008.0,1673,0.07913934889895312,0.5774101407240816,True
berlusconi,112642.0,215,0.07913934889895312,0.5774101407240816,True
berlusconi,390627.0,836,0.07913934889895312,0.5774101407240816,True
berlusconi,163004.0,458,0.07913934889895313,0.5774101407240816,True
berlusconi,75146.0,269,0.07913934889895313,0.5774101407240816,True
berlusconi,24271.0,566,0.07913934889895315,0.5774101407240816,True
forlani,32272.0,242,0.08082795805354638,0.5285485636855317,True
forlani,58745.0,2969,0.08082795805354641,0.5285485636855317,True
prodi,205750.0,275,0.08399253327054611,0.5494158906605255,True
berlusconi,84269.0,1515,0.08467942692299232,0.5774101407240816,True
d'alema,254557.0,307,0.0855984968959682,0.6541717992406154,True
d'alema,145295.0,175,0.0855984968959682,0.6541717992406154,True
berlusconi,60754.0,1642,0.08890111103820846,0.5774101407240816,True
amato,250513.0,1046,0.08943960768065036,0.6958575793325631,True
meloni,261981.0,439,0.08978460476822404,0.5394966071212911,True
meloni,207064.0,615,0.08978460476822404,0.5394966071212911,True
meloni,,571,0.08978460476822404,0.5394966071212911,True
andreotti,91404.0,219,0.09024617555275921,0.5949400521546582,True
degasperi,228.0,2468,0.09054086167269454,0.47938160068583846,True
d'alema,31022.0,834,0.09110140536120806,0.6541717992406154,True
dini,151890.0,10810,0.09157729182649595,0.5438047711838553,True
ciampi,116242.0,26,0.09294060633557194,0.5154356082000339,True
ciampi,129584.0,134,0.09294060633557195,0.5154356082000339,True
meloni,735406.0,1603,0.09380504843324221,0.5394966071212911,True
renzi,290276.0,2239,0.09423155482511959,0.6171134762943974,True
letta,135495.0,608,0.09510817188075886,0.6610842185581081,True
monti,110197.0,1703,0.09676781546829927,0.6883838247262372,True
prodi,410793.0,34511,0.09689033355960826,0.5494158906605255,True
de mita,30119.0,131,0.09771123399401786,0.6566228235722846,True
berlusconi,102364.0,219,0.1017946639171168,0.5774101407240816,True
berlusconi,150655.0,175,0.10179466391711682,0.5774101407240816,True
berlusconi,317479.0,43,0.10179466391711682,0.5774101407240816,True
forlani,43017.0,87,0.10232188305148743,0.5285485636855317,True
prodi,90291.0,10090,0.1061855255977233,0.5494158906605255,True
goria,58734.0,2772,0.11116104036184678,0.4647971470165935,True
amato,267125.0,8742,0.11120040952709602,0.6958575793325631,True
prodi,243008.0,683,0.1141670318298612,0.5494158906605255,True
amato,236715.0,3956,0.11432496753740348,0.6958575793325631,True
amato,159611.0,3023,0.11480681950099007,0.6958575793325631,True
