start	end	text
15760	22280	Grazie, innanzitutto vi avverto che sulla sinistra del desk lì c'è un tavolo al quale
22500	40140	prendono le richieste di intervento, se siete a posto prendiamo bene diamo inizio i nostri
40140	46200	lavori innanzitutto benvenute e benvenuti un'occasione straordinariamente importante per il nostro
46200	59360	partito questa una giornata che ricorderemo e che apriamo sperando che non sia distratto
59360	64620	con l'intervento del Presidente dell'Assemblea Costituente Romano Prodi.
117940	119340	Grazie, innanzitutto vi avverto che sulla sinistra del desk lì c'è un tavolo al quale
138800	148920	prendono le richieste di intervento, se siete a posto prendono le richieste di intervento
148920	156580	ma come se la pazienza fosse la virtù non fosse la virtù più necessaria al metodo
158160	166660	democratico. Questa frase dell'Elogio della pazienza non è mia ma è di De Gasperi del
166660	181120	novembre del 48 di 60 anni fa ma questa frase mi sembra tagliata per l'oggi anche se la
181120	191140	frenesia della campagna elettorale non si concilia facilmente con il concetto di pazienza.
192840	208720	Credo invece credo invece per favore la stampa. Grazie, lasciate.
242880	244280	Ecco.
249820	257720	Care democratiche, care democratici, dicevo prima la pazienza, ecco un rimprovero che
257720	264540	sovente ci rivolgono nel nostro lavoro politico come se la pazienza significasse mancanza di
264540	272860	volontà come se la pazienza non fosse la virtù più necessaria al metodo democratico. Questa
272860	284360	frase non è mia, questa frase di Alcide De Gasperi del 20 novembre del 1948 60 anni fa ma essa mi
284360	293260	sembra scritta per oggi anche se la frenesia della campagna elettorale non si concilia facilmente
293380	303980	con il concetto di pazienza. Credo invece che questo sia l'approccio giusto con il quale aprire
304780	322160	questa nostra importante assemblea. Una pazienza che abbiamo esercitato nel perseguire il nostro
326420	334400	obiettivo fin dal 1995, una pazienza messa alla prova in due esperienze di governo,
335440	352140	essa fa parte intrinseccamente del progetto e dell'idea che ci hanno unito, che ci hanno
352140	381320	unito. Adesso basta. Ci vuole proprio pazienza, va.
388860	394160	Essa fa parte intrinseccamente del progetto e dell'idea che ci hanno unito, che ci hanno
394160	400580	portato fin qui. Il progetto di una grande forza di centrosinistra, una forza che fa
400580	406300	appello alla maggioranza del nostro Paese, che raggiungerà la maggioranza del nostro
406300	415220	Paese, una forza che affronta con serietà, con lo spirito nuovo e con idee nuove i problemi
415860	424260	dell'Italia, una forza che si chiama Partito Democratico. Il contributo di innovazione
424260	430920	del Partito Democratico nella politica italiana è enorme. Dalle primarie fino alla costruzione
430920	437560	al basso di un vero partito abbiamo introdotto una ventata di freschezza e di novità che
437560	445480	in Italia non si era mai visto. Oggi io sono qui al fianco di Walter e di tutti voi per
445480	451100	rispondere alle domande che la difficile realtà internazionale e la crisi del nostro sistema
451100	459200	politico ci pongono. Abbiamo lavorato in questi anni per mettere insieme culture politiche
459200	464820	che affondono le loro radici in una storia diversa ma che fanno riferimento a un terreno
464820	472740	comune, il terreno del riformismo. Il nostro è un riformismo che affonda le proprie radici
472740	480900	nella pace e nell'Europa, un'Europa unita che non si esaurisce certo nel rispetto dei
480900	487480	parametri di Maastricht. Essere europei significa infatti lavorare per una democrazia matura,
487480	494760	una democrazia dell'alternanza, una democrazia in cui autorità non significa autoritarismo
494760	502280	ma capacità e potere di prendere le necessarie decisioni. Una democrazia in cui le nuove
502280	508460	generazioni si possono riconoscere nella maestà della legge e nell'esempio dei genitori, degli
508460	515280	insegnanti e dei politici che ci rappresentano. Una democrazia che trova la propria forza
515280	521380	soprattutto nell'interpretare il nuovo e nel costruire il futuro. Questa democrazia e questo
521380	529140	riformismo ci orientano e ci guidano anche nelle scelte economiche che oggi devono far
529140	535060	fronte alla sfide della globalizzazione e di una nuova concorrenza. Sono sfide che
535060	540740	si vincono solo col cambiamento, che nella società italiana significa rompere le incrostazioni
541340	550620	che da tempo ne hanno impedito progresso, sviluppo ed equità. Il nostro riformismo si fonda perciò
550620	556980	sulla ricerca del nuovo e sulla promozione del cambiamento per riprendere con vigore la
556980	565220	via della cresita economica e sociale del Paese. Noi tutti, noi tutti che siamo qui, abbiamo il
565580	572160	di non voltarci indietro di fronte alle nuove sfide nazionali e internazionali, un dovere che
572160	578420	chiama in gioco la politica, le istituzioni, le comunità locale e i singoli cittadini. Il nostro
578420	585500	riformismo deve essere proiettato verso il futuro, ma non può non fondarsi sulle grandi virtù della
585500	593000	libertà, della tolleranza, del dialogo e del confronto, virtù che rappresentano i punti più
593000	600540	alti della nostra storia e della nostra memoria. Queste virtù debbano guidare tutti i comportamenti
600540	608520	individuali e collettivi della società a partire dal delicato rapporto tra cattolici e laici.
609880	619120	Chi come me si è formato nel clima del concilio Vaticano II dava per superata, per quasi risolta,
619120	626560	la questione della laicità. Vedo invece riemergere il conflitto sulla laicità con forza,
627740	637140	quasi con violenza. È importante oggi interrogarsi sul perché, senza schematismi e senza
637140	644860	strumentalizzazioni e soprattutto è necessario rivisitare in profondità il rapporto tra una
644860	653340	costruzione statale ormai secolarizzata e l'emergere di nuovi fenomeni religiosi. Non ci sono solo
653340	661720	gli integralismi, vi sono anche nuove, autentiche domande e inedite sfide etiche che meritano
661720	667820	nuove risposte. In Italia noi troppo spesso crediamo di essere di fronte a un problema
667820	676440	non componibile, a uno scontro inevitabile. Noi troppo spesso crediamo di essere all'inizio
676440	682360	della storia, ma non è vero perché ancora di recente il tema è stato affrontato positivamente
682900	689720	anche a livello europeo. Il trattato di Lisbona ha riconfermato integralmente il precedente
689720	696320	articolo 52 del trattato costituzionale europeo, uno dei testi più avanzati in tema di dialogo
696320	705240	aperto, trasparente e regolare tra le comunità religiose, gli Stati e l'Unione. In esso l'Europa
705240	711180	riconosce per la prima volta l'identità e il contributo specifico delle chiese e delle
711180	717660	comunità religiose. Io ho lavorato molto insieme a Giuliana Amato perché quell'articolo
717660	723900	fosse scritto e perché quell'articolo fosse approvato. L'ho voluto perché ero e sono
723900	730060	convinto della necessità di riconoscire uno spazio pubblico alla dimensione religiosa,
731520	737220	perché ero e sono convinto che la laicità sia un luogo di comunicazione positivo tra
737220	744560	le diverse tradizioni spirituali e la nazione, perché ero e sono convinto che il rapporto
744560	751440	tra lo Stato e le comunità religiose devono essere improntate al dialogo e non a una neutralità
751440	761240	negativa o alla reciproca indifferenza. Questa è la mia laicità. E allora mi chiedo perché
