start	end	text
7580	19440	Buon pomeriggio a tutti, grazie per l'invito, grazie per l'attesa, è stata una giornata
19440	29720	abbastanza intensa, però ci tenevo ad essere qui per partecipare e portare il mio contributo
29720	35900	ai lavori di questa due giorni che si prefigge un obiettivo tanto concreto quanto ambizioso
35900	41200	e cioè tracciare le prossime sfide di un settore che è sempre più centrale per la
41200	45040	nostra vita, per la nostra economia, per la nostra identità, aggiungo per la nostra
45040	50520	sicurezza, perché sono d'accordo su questo. E chiaramente approfitto anche per salutare
50520	57740	le molte autorità che sono qui presenti, il sindaco Sala, il presidente Fontana, ministri
57740	65840	parlamentari, saluto tutti. Dicevo, l'agricoltura per noi rappresenta molto per noi come nazione,
66720	72540	rappresenta chiaramente ricchezza, rappresenta benessere, rappresenta tradizione, rappresenta
72540	80160	tutela del paesaggio, rappresenta cultura, perché agricoltura e cultura particolarmente
80160	85740	sono intimamente connesse, come del resto dimostra l'etimologia stessa della parola
85940	95920	cultura che viene dal latino colere, coltivare. E noi e voi condividiamo di fatto questo obiettivo,
96040	103820	e cioè coltivare, far crescere, valorizzare quello che ci rende unici al mondo e che nessun
103820	111360	altro è in grado di fare così come lo facciamo noi. Ma colere, coltivare, ha anche un altro
111360	117240	significato, anch'esso profondamente connesso al lavoro che gli agricoltori portano avanti
117240	125820	ogni giorno, che è avere cura. Ogni buon agricoltore ha cura del proprio territorio,
126940	131420	considera quello che ha ricevuto in eredità come qualcosa di sacro che deve trasmettere
131420	137580	integro e sano a chi verrà dopo di lui. Lo dico per ricordare a me stessa e non solamente
137580	144340	a me stessa, che voi siete i primi custodi dell'ambiente, che il vostro contributo va
144340	150480	ben oltre il dato economico. Banalmente senza gli agricoltori il meraviglioso paesaggio
150480	156520	che tutto il mondo ci invidia sarebbe molto meno ricco di quello che è. E lo dico per
156520	161300	ricordare a me stessa e non solamente a me stessa che sono tra coloro che rifiutano il
162520	172420	di agricoltori come nemici della natura o come avversari della natura. Racconto in forza
172420	179740	del quale da anni venite ormai additati come un pericolo da contrastare, da limitare con
179740	185160	vari mezzi a disposizione. A partire ovviamente, lo citava il Presidente Gianzanti, ci tornerò
185280	191960	sopra dai regolamenti, dalle direttive più astruse e paradossali, lontani anni luce dalla
191960	198920	realtà e dalla concretezza della produzione. Però questa lettura ciecamente ideologica
199600	205640	è dal nostro punto di vista inaccettabile ed è la ragione per cui l'abbiamo contrastata,
205660	213160	la contrastiamo convintamente. Sappiamo che i nostri agricoltori sono i primi alleati
213160	218260	della natura che non è possibile proteggere l'ambiente senza l'opera responsabile dell'uomo.
219260	225420	È una visione quella che è, anche con il nostro lavoro cerchiamo di contrapporre ai
225420	233640	sacerdoti del culto, della decrescita felice che tiene insieme sviluppo e tutela, innovazione,
233780	240400	tradizione, produzione ed ecologia che non pretende di riscrivere l'uomo e la natura
240400	245500	secondo schemi astrati o imponendo sacrifici inutili o addirittura controproducenti, ma
245500	250460	che promuove scelte consapevoli basate sul buon senso e sulla realtà.
251900	258560	Con questa impostazione culturale, quando tre anni e mezzo fa abbiamo assunto la responsabilità
