start	end	text
0	10040	mi pare da sottolineare in questo frangeno, perché se per caso si ritenesse che al di
10040	15500	là delle difficoltà attuali, al di là di ostacoli quali quelli che abbiamo ricordato
15500	20640	sono molto difficili da superare, nel tempo lungo, perché questi sono ragionamenti da
20640	27840	tempo lungo, il commercio mondiale, anche dei prodotti agricoli, dovesse a come poter
27840	33280	segnare presenze soprattutto, ma non solo, sotto questo profilo dell'agricoltura italiana
33280	39520	in ragione di una progressiva apertura dei mercati.
40320	46320	C'è però un ostacolo, e è la seconda riflessione che volevo proporvi, c'è però un ostacolo
46320	54480	che riguarda un po' tutti, io non so se vi appaia banale il ricordarlo, a me sembra
54500	60440	più importante, che è, non saprei come definire altrimenti, una certa mentalità, che nel
60440	67980	rapporto internazionale privilegia il commercio rispetto all'investimento, e ci sono, come
67980	75160	dire, casi anche clamorosi, uno fa riferimento per esempio alla mia esperienza, io un giorno
75160	84080	in ragione di una presenza anche economica e commerciale del Paese, immaginai di dare
84080	92980	un segnale al quale io credevo e credo, verso un'area del mondo nella quale a mio giudizio
92980	99160	c'è molta parte del futuro di tutti sud-est asiatico, organizziamo un po' di bravissimi
99160	106760	imprenditori, andiamo certo non dappertutto, ma insomma a mettere qualche bandiera, e
106760	112060	bene io ricordo le critiche di allora, dice ma noi dobbiamo investire in Italia, come
112060	117240	se non andando noi a investire dove ci sono buone opportunità non ci andasse nessun altro,
118060	124020	l'idea è che se non andiamo noi, tranquilli, ovviamente plettore di giapponesi, di americani,
124020	135060	ma la cosa secondo me più clamorosa è quella che, fatte le debite eccezioni, non ci mancherebbero
135060	141420	tanto, si sta manifestando nei confronti per esempio di quella altra straordinaria opportunità
141420	147340	complicata, tormentata, tutta da chiarire ma certo importantissima che l'est europeo,
148930	155570	se non ho registrato male il nostro occhio è prevalentemente commerciale, cioè noi vorremmo
155570	161290	andare a vendere, forti del fatto che hanno bisogno di tutto, dimenticando che sono senza
162370	169070	soldi e dimenticando soprattutto che solo innescando un processo di sviluppo si crea
169070	176790	anche un mercato e quindi non considerando che li due risultati possibili, quello di guadagnare
176790	182890	sull'investimento e quello di guadagnare sulla creazione di un mercato aperto poi anche
182890	191710	ai manufatti nostranei. Ecco io credo che qualche riflessione in più, certo accompagnata da qualche
192270	200230	tutela, promozione e assistenza, potrebbe servire. C'è però ancora un altro aspetto,
200230	207370	il penultimo che rapidamente vorrei richiamare alla vostra attenzione, qui Santini non lo vedo
207370	215310	più, si potrebbe aiutare a ragionare, è per investire perché internazionalizzare in prima
215310	222590	battuta vorrebbe dire investire poi si può anche realizzare informe diverse, ma per investire
222590	231870	validità ancora oggi del vincolo estero, avendo una bilancia dei pagamenti strutturalmente impassivo,
232130	241850	non è che si cumulano risorse, non è che si crea una buona condizione per pigliare mezzi
241850	249830	e andarli ad investire all'estero e io non credo che sia del tutto casuale che tra i più vivaci
251890	258370	operatori all'estero rispetto al loro paese troviamo i giapponesi con avanzi di bilanze
258370	264030	i pagamenti mostuosi, i tedeschi lo stesso e gli americani che fanno un po' eccezione perché in
264030	269050	realtà il disavanzo di bilanze i pagamenti americano è un po' curioso perché titolandolo
269050	276230	nella loro moneta finisce di non avere, Santini ha ragione, facciamo attenzione che lo squilibrio
276910	282350	commerciale o comunque soprattutto lo squilibrio complessivo non è altro che indice di un paese che
282350	289230	vive al di sopra delle proprie risorse quindi non si dota di quei mezzi che gli servono poi per
289230	296790	crescere la loro presenza, certo sotto questo profilo la integrazione europea può essere
296790	306730	risolvente perché nessuno fa drammi sulla diversa posizione rispetto agli andamenti
306730	315210	valutari della Lombardia piuttosto che la Sicilia proprio perché entrambe con tutte le altre
