start	end	text
25800	27200	Sottotitoli creati dalla comunità Amara.org
47460	48860	Sottotitoli creati dalla comunità Amara.org
88580	89980	Sottotitoli creati dalla comunità Amara.org
106880	108280	Sottotitoli creati dalla comunità Amara.org
128260	132120	Sottotitoli creati dalla comunità Amara.org
173080	174480	Sottotitoli creati dalla comunità Amara.org
208240	209740	Sottotitoli creati dalla comunità Amara.org
231040	237200	Sottotitoli creati dalla comunità Amara.org
266680	269920	Sottotitoli creati dalla comunità Amara.org
294820	299500	Sottotitoli creati dalla comunità Amara.org
324080	325740	Sottotitoli creati dalla comunità Amara.org
357320	358660	Sottotitoli creati dalla comunità Amara.org
382920	383580	Sottotitoli creati dalla comunità Amara.org
415140	416700	Sottotitoli creati dalla comunità Amara.org
449020	449780	Sottotitoli creati dalla comunità Amara.org
479380	479760	Sottotitoli creati dalla comunità Amara.org
502840	504700	Sottotitoli creati dalla comunità Amara.org
535980	536120	Sottotitoli creati dalla comunità Amara.org
564480	564640	Sottotitoli creati dalla comunità Amara.org
570540	577000	Per questo la sua morte ha creato tanta indignazione in tutto il mondo, per questo fa tanto riflettere.
577980	584480	Voi conoscete la sua storia, andava nelle università per affrontare i dibattiti con chiunque volesse farlo.
584860	590280	Il titolo delle sue iniziative era Prove Me Wrong, cioè dimostrami che ho torto.
591000	598260	Chiunque, chiunque poteva prendere quel microfono e dibattere con lui di qualsiasi tema.
599580	608360	Rispondeva a tutti, era efficacissimo, perché era convinto delle sue tesi, sapeva argomentarle.
608660	614020	Però non smetteva mai di sorridere, non smetteva mai di rispettare il suo interlocutore
614020	619760	e chiunque gli si parasse di fronte alla fine lui diceva grazie per aver portato il tuo punto di vista.
621000	626920	Perché faceva così paura? La risposta ce l'hanno data quelli che hanno festeggiato la sua morte.
626920	635100	Ho visto gente che ha fatto stampare delle magliette con disegnata la faccia di Charlie Kirk
635100	642380	il sangue che sgorga dal collo e sotto scritto Windy's Debate, vinci questo dibattito.
643480	651980	Charlie Kirk faceva paura perché era bravo a dimostrare quanto fossero irragionevoli alcune tesi che vogliono imporci a forza.
