start	end	text
780	5560	Avevate, o a lei era arrivata notizia che forse la missione poteva essere cancellata?
6460	11140	Guardi, non le nego che in questi giorni ci ho ripensato, ho cercato di fare a mente locale.
11360	20000	A mia memoria non ricordo di aver avuto, diciamo, la percezione che potessimo addirittura annullare la missione.
20820	24540	E siccome sono missioni che si preparano, che gli uffici preparano con molti mesi,
24660	28240	a me non sembra di ricordare che avessimo avuto il rischio di annullamento.
29780	33240	Sicuramente avevamo uno scopo in più, ecco, per fare quella missione.
34620	42040	E quindi arriva prime ore del 3, e adesso capito la parte dei suoi collochi con Al Sisi,
42080	47440	ma le chiedo se aveva anche avuto altri collochi con altri interlocutori egiziani.
47840	52100	Credo che quell'incontro fosse il primo della giornata, mi sembra di ricordare che fosse il primo.
52720	54500	Cioè col Presidente Al Sisi?
54500	57760	Mi sembra, però ripeto, io non ricordo l'agenda esattamente,
57920	62640	ma mi sembra che io appena atterrata, forse passai velocemente in albergo forse neanche quello,
63140	67560	feci sicuramente il punto con l'ambasciatore Massari, però poi credo che...
67560	68820	Anche sulla situazione di Giulio?
68900	72520	Anche sulla situazione di Giulio, mi spiegò un po' meglio, naturalmente,
72580	79280	che cosa avremmo dovuto chiedere al Presidente Al Sisi, però mi sembra che quello fosse il primo appuntamento istituzionale.
79500	81040	E lei cosa chiese e cosa le rispose?
81900	88760	Allora, parlammo della missione, di quello che sarebbe successo di lì a qualche minuto,
89100	93920	e poi io ribadì che il Governo italiano, insomma il Presidente Renzi, ovviamente,
93960	98520	eravamo tutti molto preoccupati per la sparizione del Dottor Reggiani,
98740	107180	e chiesi ad Al Sisi di occuparsene personalmente, insomma, chiesi che anche lui personalmente si occupasse
107180	111600	di farci sapere dove fosse Giulio Reggiani.
112000	112800	E cosa le rispose?
113440	122520	Allora, rispose, c'era una traduzione dall'arabo, quindi io ricordo che c'era una persona insieme al Presidente Al Sisi,
122680	130200	non so se fosse, non so dire se fosse, non me lo ricordo neanche esattamente il nome, però credo fosse una sorta di portavoce.
130200	137540	E quando arrivamo al punto della richiesta su Reggiani, ricordo che lui per qualche minuto parlò in arabo con questa persona,
138620	146200	poi per due o tre volte mi rassicurò dicendo che avrebbe fatto tutto quello che era il suo potere per darci delle informazioni, per aiutarci.
