start	end	text
20820	26880	Buonasera, chiudiamo stasera con il Presidente del Consiglio onorevole Craxi la serie delle
27150	33990	missioni dedicate al referendum domenica si vota sì o no credo sia superfluo chiederlo
33990	38010	a lei Presidente perché mi sembra che in questi giorni lei abbia dato un'indicazione
38010	45350	molto precisa e molto ferma ma tutta la vicenda degli ultimi giorni sembra molto paradossale
45350	51190	quando i comunisti dovevano giustificare il rifiuto alle proposte del governo nella mediazione
51190	56970	del Ministro de Michaelis dicevano che non erano in gioco quelle 3000 lire di differenza
56970	63550	ma era in gioco la politica complessiva del governo e quasi facevano capire la sua presidenza
63550	68890	oggi invece dopo che lei ha dichiarato che non esiterebbe un solo minuto a dimettersi
68890	74550	nel caso vincessero i sì dicono ma per carità loro partito d'opposizione paradossalmente
74550	79030	dicono ma che dimissioni ma non c'è bisogno non è in gioco Craxi non è in gioco il
79030	85330	governo è in gioco soltanto un atto di imperio del governo come giudica questo che io ho
85330	93830	chiamato paradossi non è in gioco un atto di imperio del governo ho visto che uno degli
93830	100050	slogan di questa campagna referendaria usata di comunisti è non si governa l'italia con
100050	108750	la cetta io non ho mai usato la cetta e governo non ha mai usato la cetta il famoso decreto
108750	118950	dell'anno scorso non era che la risposta che dove il governo doveva a un arco di forze
118950	124190	sociali assai vasto e che comprendeva tutto un movimento sindacale salvo la componente
125230	131370	comunista è un gran numero di organizzazioni sociali e produttive che avevano stipulato
131370	138290	un'intesa tra di loro e con il governo e che chiedeva al governo di renderla valida
138290	146930	nei confronti di tutti se il governo allora si fosse rifiutato di adottare con un decreto
148270	156630	di rendere valide queste intese con un decreto avrebbe affermato il principio che senza il
156630	162130	consenso e l'approvazione del partito comunista in italia non si può decidere di nulla e
162130	166970	questo noi onestamente non lo potevamo fare non si trattò certo di un atto autoritario
166970	174190	si trattò di un decreto del governo che il parlamento successivamente approvò confermando
174190	179990	ripetutamente la fiducia al governo secondo le regole della democrazia parlamentare è
179990	185630	una introduzione che contiene già tutti gli spunti della polemica che ha animato le nostre
185630	191370	giornate politiche anche le serate dei telespettatori stasera sono qui con me per interrogarla presidente
191370	196350	due giornalisti di grande prestigio piero stellino direttore del correre della sera
196350	202610	e francesco damato editorialista della nazione la prima domanda è piero stellino e qui vorrei
202610	208430	restare un momento nel tema suscitato da letta cioè lei ha detto che si dimetterebbe un
208430	213010	minuto dopo se vincessero i si e credo che lei abbia ragione perché un presidente del
213010	217810	consiglio che si trovi di fronte ad un referendum negativo di questo genere non potrebbe restare
218370	224090	in carica però mi è sembrato di capire che nel paese ci sono cittadini che sono globalmente
224090	230270	favorevoli al governo ma magari contrari al decreto e viceversa come si può spiegare
230270	237170	a questi cittadini che invece non è soltanto un voto specifico su quel particolare decreto
237170	242330	ma sull'intera politica economica del governo perché io ho constatato appunto che c'è gente
242330	246510	che è favorevole al pentapartito ma contrari ad esempio alla politica dei redditi quindi
246510	252670	ci sono contrari al decreto come la spieghiamo loro provocherà conseguenze che deneggeranno
252670	260030	tutti i cittadini i vi compreso quelli che sono contro il governo perché sono diciamo partigiani
260030	266870	dell'opposizione gli effetti negativi sono destinati a colpire tutti i lavoratori dipendenti
266870	273410	lavori autori lavoratori autonomi pensionati e la generalità dei cittadini quindi orovescio
273410	282090	ragionamento credo che tutti siano interessati a far sì che questa operazione mal congeniata
282090	288670	e mal combinata che che francamente ad un esame anche superficiale dovrebbe essere
288670	297730	considerata da tutti assurda viziata da una strumentalità politica sia bocciata nell'interesse
297730	305110	più economico del conto familiare di ciascuno perché la promessa di una restituzione di
305110	310710	denaro è assolutamente illusoria ed apparente come non sarà difficile dimostrare se approfondiamo
310710	316430	l'argomento mi consente presidente di aggiungere un codicillo forse banale alla domanda invece
316430	321970	intelligente di ostellino deve essere chiaro i telespettatori che chi è favorevole al
321970	328110	governo deve votare no mentre chi è contrario deve votare sì questo per quei bistici e quelle
328110	332830	contraddizioni che sono normali nei nostri referendum o perlomeno nel modo di porre i
332830	337550	quesiti lei conferma che chi è favorevole al governo e alla formula dipende partito
337550	342850	deve dire no no io dico di più dico che colori quali sono favorevoli ai propri interessi li
342850	348950	hanno valutati bene e sanno fare bene sanno fare bene i conti indipendentemente dal fatto
348950	353710	che siano contro il governo devono votare contro questo referendum perché nel loro
353710	360730	interesse presidenti io vorrei ricordare a lei ma soprattutto ai telespettatori quello
360730	368750	che l'unità scriveva nel 1978 a firma di reichlin era il direttore e reichlin è lo
368750	374210	stesso che capeggia adesso la campagna referentaria del partito comunista come responsabile del
374210	381630	partimento economico in quell'anno dovendo il parlamento approvare un altro provvedimento
381630	387010	non dico analogo ma simile al suo che aveva toccato la contingenza aveva scuso della contingenza
387010	393510	alcune voci di stipendio sempre per combattere l'inflazione ed essendo ci state le proteste
393510	399030	allora di tutti i sindacati non soltanto della componente comunista l'unità scriveva che
399030	404650	si trattava di una leggina e che anche il parlamento cito testualmente anche il parlamento
404650	412050	ha il pieno diritto anzi il dovere di legiferare in questa materia ancora 30 agosto questo
