start	end	text
29360	29740	Sottotitoli creati dalla comunità Amara.org
59360	59740	Sottotitoli creati dalla comunità Amara.org
85100	89820	Sottotitoli creati dalla comunità Amara.org
114320	115720	Sottotitoli creati dalla comunità Amara.org
149520	149980	Sottotitoli creati dalla comunità Amara.org
179780	179980	Sottotitoli creati dalla comunità Amara.org
206220	207100	Sottotitoli creati dalla comunità Amara.org
234380	235800	Sottotitoli creati dalla comunità Amara.org
263500	264900	Sottotitoli creati dalla comunità Amara.org
294400	295800	Sottotitoli creati dalla comunità Amara.org
300220	301500	Sottotitoli creati dalla comunità Amara.org
301500	303040	Sottotitoli creati dalla comunità Amara.org
317040	327000	Sottotitoli creati dalla comunità Amara.org
349280	350680	Sottotitoli creati dalla comunità Amara.org
381720	383120	Sottotitoli creati dalla comunità Amara.org
412540	412680	Sottotitoli creati dalla comunità Amara.org
443380	444780	Sottotitoli creati dalla comunità Amara.org
473740	474000	Sottotitoli creati dalla comunità Amara.org
491240	492640	Sottotitoli creati dalla comunità Amara.org
492640	493420	Sottotitoli creati dalla comunità Amara.org
493420	496820	Sottotitoli creati dalla comunità Amara.org
498800	500640	Sottotitoli creati dalla comunità Amara.org
500640	502780	Sottotitoli creati dalla comunità Amara.org
502780	508960	Gli incontri ce ne sono una infinità più o meno insomma in ogni formato ma
508960	511260	questa è una fase nella quale chiaramente tutti parlano con tutti
511260	514040	tutti si incontrano insomma è normale giusto che sia così
514040	518320	noi avremo domani chiaramente penso che probabilmente faremo un punto stasera
518320	522120	all'esito di quello che accade telefonico prevalente perché poi siamo tutti in
522120	527500	viaggio per cui non facilissimo. Domani mattina ci sarà con i leader europei
527500	533920	presenti al vertice Europa-Africa un coordinamento martedì ci sarà in VTC una
533920	538380	riunione della coalizione dei volenterosi insomma sono ma immagino che
538380	541820	ci saranno anche altre riunioni poi vediamo come prosegue ovviamente il
541820	546060	lavoro degli Ischerpa dopodiché io non credo che il tema sia lavorare su una
546060	550500	totale controproposta ci sono molti punti che sono condivisibili nel piano che
550500	555420	noi stiamo leggendo penso che diciamo anche per un fatto di tempo di energia
555420	560360	e più senso lavorare sulla proposta che c'è insomma e concentrarci sulle
560360	562660	questioni che sono davvero dirimenti
596680	613260	non è previsto qualcosa di specifico nel vertice di domani sul Sudan è vero
613260	617800	che l'italia può giocare un ruolo molto importante in parte lo sta già facendo
617800	622860	chiaro che noi dobbiamo avere diciamo chiari gli obiettivi l'obiettivo
622860	627260	principale deve essere quello di arrivare ad un cesta del fuoco e di
627260	630860	favorire l'accesso degli aiuti umanitari poi bis poi si può riprendere il
630860	633780	processo politico ma questi sono i due elementi secondo noi dirimenti
634520	641000	chiaramente l'italia c'è su tutti e diciamo su tutte le parti di questo di
642480	646700	voglio ricordare tra l'altro che sul fronte gli aiuti umanitari anche qui
646700	649340	siamo leader noi abbiamo lanciato un'iniziativa che è
649340	653520	italia per il sudan che è insomma sicuramente un'iniziativa con la quale
653520	659400	sono state consegnati molti aiuti a port sudan ma anche nelle nazioni
659400	662540	limitrofe perché poi è accaduto ovviamente che molti sudanesi si sono
662540	667260	spostati nei paesi limitrofi in chad per esempio e quindi noi siamo inviando una
667260	671360	parte di questi aiuti anche in questi paesi ma sicuramente insomma tra i
671360	676800	mille dossier che stiamo affrontando c'è anche questo per quello che riguarda i
676800	681720	temi della presidenza americana guardi io non ho un motivo di credere che si che
681720	684960	ci sia la parte della presidenza americana la volontà di fare dei passi
684960	690120	indietro rispetto al tema dell'africa perché quello che vedo non si muove in
690120	694520	questo senso intanto noi dobbiamo ricordare che il sudafrica come
694520	699640	presidente uscente farà parte della cosiddetta troica del g20 e quindi avrà
699640	703460	un ruolo comunque dirimente nella definizione anche delle priorità della
703460	707180	prossima presidenza come sempre accade in queste questioni per dare continuità al
707180	710680	lavoro che viene fatto ma quello che io vedo con il piano mattei per esempio con
710680	714160	il lavoro congiunto che noi continuiamo a fare anche con gli stati uniti che non
714160	718520	hanno cambiato posizione con la nuova presidenza sul corridoio di lobito che è
718520	721720	una delle infrastrutture più imponenti sulle quali lavoriamo quindi investimenti
721720	726520	importanti e che c'è una volontà di lavorare diciamo e di comprendere il
726520	731300	ruolo strategico geopolitico per varie ragioni che abbiamo discusso tante volte
731300	736100	che non è solo utile o interessante o importante per l'italia lo è per
736100	739580	l'europa secondo me lo è per l'occidente nel suo complesso e credo
739580	740600	che lo capiscano tutti
753720	757680	non sono analisti anche politici
759280	764800	stamattina rubio ha fatto un tweet in cui sembrava dire che c'era molto di
764800	774000	russo e poco di americano così corretto della proposta e ci sono molte
774000	779240	polemiche sul fatto che il piano sia parecchio sguadrangiato sulle richieste
779240	781340	russi addirittura
781340	786620	qualche giornale lo sanno ha detto sempre accoppiato da un testo russo e la
787300	794320	seconda questione che poi è la stessa e ieri voi in qualche modo le detto si
794320	799240	hanno una base di partenza ma ci sono degli aspetti migliorabili ma cosa ne
799240	805060	pensa le fonte di funte l'europa non era stata informata o comunque non è
805060	813120	in volta c'è comunque magari buona è un passavanti ma l'europa non ha avuto
813120	820380	per cercare di imporre la polivisione guardi l'europa evidentemente insomma non
820380	824100	ha avuto diciamo non è stata tra gli estenzori del piano il tema di chi
824800	828140	abbia diciamo scritto il piano mi interessa meno mi interessa qual è il
828140	833420	piano e quale arriviamo non quello dal quale partiamo però molte questioni che
833420	838700	sono inserite in questo piano riguardano l'europa cioè riguardano nel senso che
839380	843860	necessitano dell'europa ok un pezzo di questo piano ha bisogno dell'europa per
843860	847400	essere realizzato e questo riguarda il tema del garanzie sicurezza riguarda il
847400	851880	tema della ricostruzione riguarda il tema dell'accesso dell'ucraina all'unione
851880	856300	europea cioè ci sono una serie di cose che riguardano noi e che altri
856300	860340	chiaramente hanno bisogno di negoziare con voi e per carità possiamo discutere
860340	865140	di tutto però io non penso che sia come posso dire particolarmente utile in
865140	869020	questa fase andare su questi dettagli io penso che dobbiamo guardare all'obiettivo
869020	872060	perché la fase è molto delicata ok la fase delicata quindi quello che
872060	876080	dobbiamo fare noi in questo momento credo che sia anche una prova di
876080	879900	maturità no come posso dire per noi per l'europa no di dimostrare che può fare
879900	884420	la differenza con proposte serie con proposte che fanno fare dei passi avanti
884420	890080	no quindi non semplicemente dicendo sì va tutto bene no va tutto male che
890080	893360	sarebbe diciamo un approccio un po' infantile per la fase nella quale ci
893360	898260	troviamo e mi pare siamo tutti d'accordo a fare questo lavoro cioè capire dov'è
898260	903540	che si può dare un contributo per arrivare al punto che tutti condividiamo
903540	908980	perché tutti condividiamo che vogliamo una pace in ucraina io penso che sarebbe
908980	912940	per esempio una buona cosa lo dicevamo nella telefonata col
912940	917840	presidente trump capire se si riesce a ottenere almeno non c'è stato il fuoco
917840	920860	temporale sulle infrastrutture strategiche che i russi continuano a
921400	925100	bombardare in maniera totalmente indiscriminata anche perché parliamoci
925100	929200	chiaro qui tutti stiamo dimostrando dall'inizio la nostra buona volontà salvo
929200	933260	uno che sono i russi che non hanno fatto un passo in avanti dall'inizio e penso
933260	937140	che ma questo io lo ho detto varie volte anche al presidente degli
937140	941140	stati uniti penso che anche i russi debbano dimostrare qua debbano dare
941140	945620	qualche segnale concreto di volere effettivamente arrivare alla pace perché
945620	949240	tutti gli altri americani ucrani europei tutti tutti gli altri sanno
949240	953340	turchi tutti quanti stanno facendo la loro parte salvo i russi e quindi per
953340	958040	esempio penso che il segnale di un cessato del fuoco per fermare
958040	964280	temporaneamente i bombardamenti delle infrastrutture civili strategiche con i
964280	968540	quali con le quali insomma bombardando le quali la russia da sempre punta a
968540	972820	piegare un popolo ucraino che non riesce a piegare sarebbe penso un segnale un
972940	974020	passo in avanti importante
1005420	1008620	allora diciamoci la verità è stata fatta pressione anche sull'aggressore
1008620	1013080	perché quello che sta accadendo con le compagnie petrolifere russe insomma dei
1013080	1015500	segnali sono stati dati anche in questo senso
1017380	1021060	chiaramente io io so che noi dobbiamo distinguere ho sempre detto che noi
1021060	1023860	dobbiamo ovviamente distinguere l'accredito dall'aggressore ma la
1023860	1027380	pressione in questo momento sta facendo su tutti si sta facendo su l'europe si
1027380	1031960	sta facendo sull'ucraina si sta facendo sulla russia il punto è capire dove ci
1031960	1037360	porta ok il punto è il punto vero e sono d'accordo su questo con voi e l'ho già
1037360	1043720	detto non è quanta pressione si fa si fa su chi il punto vero è che ad oggi la
1043720	1047580	pressione ha portato massima disponibilità la parte dell'ucraina
1047580	1051160	massima disponibilità la parte dell'europe zero disponibilità la parte
1051160	1056500	della russia e quindi sì in questo caso io penso e continuo a dire ai miei
1056500	1060700	interlocutori a tutti i miei interlocutori compreso il diretto interessato che di
1060700	1065100	risconte a questa indisponibilità la pressione bisogna aumentarla per
1065100	1070580	arrivare a una disponibilità perché è ovvio che altrimenti la possibilità di
1070580	1077120	costruire una pace diventa più difficile no io penso da tempo che
1077120	1082480	putin in buona sostanza non abbia una reale volontà di chiudere la guerra di
1082480	1086700	farlo in tempi brevi penso che questo bluff si debba andare a vedere però
1086700	1091000	sicuramente il modo migliore per vederlo e fare una proposta seria sensata e
1091000	1094860	metterla sul tavolo e capire chi ci sta e chi non ci sta e io sono certa che di
1094860	1097980	fronte a una proposta seria sensata all'europe c'è l'ucraina c'è gli
1097980	1102200	stati uniti ci sono e speriamo che ci sia anche la russia ma potrebbe anche
1102640	1103040	mancare
1117960	1133980	però le chiedo se non penso che sia questo l'obiettivo penso che chiaramente
1134660	1141640	non non su questo non è quello che vedo nel senso che voi siete stati testimoni
1141640	1146240	sono state testimoni di tutte le volte in cui gli ucranini zelenski hanno
1146240	1151920	chiaramente ringraziato gli stati uniti del resto guardi è endemico nel senso
1151920	1160160	che il bisogno di diciamo continuare a lavorare con i nostri alleati
1160160	1164840	statunitensi deriva ovviamente anche dall'importanza del loro ruolo in questa
1164840	1169080	vicenda no quindi se si fosse irriconoscenti nei loro confronti non
1169720	1172720	ci sarebbe neanche probabilmente bisogno di loro nel senso che non si
1172720	1175680	comprenderebbe l'importanza che hanno avuto nel conflitto invece la capiscono
1175680	1180380	tutti e la capiscono benissimo così come sul tema dell'europa che continua a
1180380	1183660	comprare casa la russia io per prima ho spiegato al presidente degli stati
1183660	1186440	uniti che per esempio l'italia dall'inizio della guerra ha fatto un
1186440	1191920	lavoro pazzesco per al tempo la nostra dipendenza era sicuramente significativa
1191920	1197700	quindi forse diciamo qualcosa di quello che è accaduto dopo non è arrivato nella
1197700	1201520	comunicazione ma noi ad esempio abbiamo totalmente diversificato come voi sapete
1201520	1205280	benissimo e non dipendiamo più dalla russia per niente quindi l'europa ha
1205280	1209400	fatto da questo punto di vista un lavoro molto importante ma penso sì che
1209400	1212900	sicuramente insomma alcune cose che vengono dette servano alla fine a
1213960	1217780	generare diciamo come dire pressione negli interlocutori ma mi pare che si
1217780	1221680	faccia un po' di qua un po' di là insomma il metodo un po' di lavoro lo
1221680	1225860	conosciamo in alcune in alcuni casi è stato anche efficace come abbiamo visto
1225860	1229360	in medio oriente dopo di che il punto vero ripeto secondo
1229360	1233460	me non sono le dichiarazioni stampa il punto vero è che cosa alla fine finisce
1234300	1239060	sulla proposta che con la quale americani ucraini europei decidono di
1239060	1241220	mettersi al tavolo con i russi
1264580	1269020	e se visto che molti esponenti del centro-est hanno spiegato le sue
1269020	1269740	dimissioni
1271240	1275640	allora sui partner europei penso che sia stato chiaro con il comunicato che è
1275640	1279940	stato fatto ieri no nel quale in buona sostanza si è detto esattamente quello
1279940	1284660	che io ho detto a voi adesso che la consideriamo un punto di partenza e che
1284660	1288300	siamo pronti a lavorare per migliorare la proposta questo in una riunione nella
1288300	1294960	quale partecipavano tutti i leader europei presenti al g20 più i partner g7
1294960	1299260	quindi anche più ampio e mi pare che siamo tutti in linea e del resto la
1299260	1304680	presenza di italia francia germania gran bretagna unione europea nato oggi a
1304680	1308080	ginevra racconta questo cioè che vogliamo metterci a lavorare sul testo
1308080	1311160	per quello che riguarda la vicenda carofani lei sa che io ho parlato
1311160	1314120	direttamente col presidente della repubblica ho chiarito con il presidente
1314120	1320920	della repubblica tutta la questione aprofitto per ribadire diciamo l'ottimo
1320920	1325360	rapporto che da sempre ho con presidente mattarella non penso che sia
1325360	1327140	il caso di tornare su questa vicenda
1344780	1348540	sì per noi stiamo lavorando su un 12 come lei sa su un dotticesimo pacchetto
1348540	1353080	d'aiuti e stiamo lavorando è cosa che io continuo considero da sempre
1353080	1356840	particolarmente importante l'ultima volta che ho incontrato presidente
1357760	1361680	zelensky non ricordo più a quale recente vertice perché sono talmente tanti
1361680	1366920	presidente zelensky poneva la questione di questi generatori di elettricità
1366920	1371780	perché appunto come dicevamo si sa consiglio europeo vi ringrazio perché
1371780	1377980	ormai uno se li perde presidente zelensky chiedeva al nostro aiuto su
1377980	1381980	questi grandi generatori di elettricità perché come ci dicevamo
1381980	1385800	soprattutto quando arriva l'inverno la russia privilegia attaccare
1387100	1389820	infrastrutture strategiche infrastrutture che servono alla popolazione
1389820	1393620	civile e ci ha chiesto un aiuto in questo senso e noi siamo insomma ho
1393620	1396940	parlato con i ministri competenti un ministro giorgetti e stiamo operando in
1396940	1400560	quel senso penso che sia ma lo dico per l'italia che ci guarda per gli italiani
1400560	1405080	penso che sia una cosa molto bella che ci occupiamo diciamo di una popolazione
1405080	1408820	civile che alcuni cercano di piegare con il freddo e con il buio
1410820	1419720	Presidente buonasera, a proposito dei aiuti, lei crede che l'Italia debba aderire al programma di acquisto di armi americane da girare all'Ucraina
1419720	1425600	ente nominato pearl e con che tempi pensa che l'Italia sceglierà questa riserva e poi
1425600	1429460	crede che questo scandro per la produzione scoppiato nel governo
1429460	1434080	ucraino possa essere un ostacolo rispetto a questo piano perché questa è la
1434080	1438560	posizione che ha espresso il vicepremier Matteo Salvini dicendo temo che questi soldi
1438560	1443340	dei nostri pensionati possano finire in mani non giusti
1443340	1447900	allora guardi per quello che riguarda il pearl non abbiamo una deadline nel senso
1447900	1452500	noi lavoriamo per priorità adesso come vi ho detto stiamo lavorando per un
1452500	1457640	pacchetto di aiuti e quindi ad ora non stiamo aderendo in futuro si vedrà ma
1457640	1461180	non abbiamo e non ci siamo dati delle deadline per quello che riguarda il tema
1461180	1464900	della corruzione chiaramente incide ovviamente ma incide anche rispetto alla
1464900	1471180	nostra opinione pubblica è legittimo voglio dire che considero in ogni caso
1471180	1474640	importante che l'Ucraina abbia dimostrato di avere gli anticorpi
1474640	1479140	alla fine dobbiamo sempre ricordare che questi arresti arrivano sulla base di
1479370	1484450	delle istituzioni ucraine quindi c'è probabilmente un problema ma ci sono
1484450	1487530	anche gli anticorpi per gestire quel problema quindi il vicepremier salvini
1487530	1491590	c'è una cosa corretta cioè dice i soldi e gli italiani non possono andare a
1491590	1495250	finire nelle mani di persone corrotte e ovviamente noi dobbiamo vigilare perché
1495250	1499870	questo non accada ma ripeto mi pare che il governo ucraino abbia dimostrato di
1499870	1504130	avere piena volontà di le istituzioni ucraini abbiano dimostrato piene volontà
1504130	1507410	di combattere insomma eventuali fenomeni corruzione che a maggior ragione sono
1507410	1511850	molto gravi per loro atteso che hanno della gente che sta morendo al fronte
1512750	1519710	Riella c'è al tema di salvini lei ovviamente ha posto una questione del ruolo dell'Europa
1520390	1524230	di altri paesi insieme agli Stati Uniti per quanto riguarda il processo di
1524230	1528270	pace però salvini sembra fare sempre il controcanto perché
1528910	1532950	continuamente dice che l'Europa si deve fare i fatti suoi
1532950	1537810	entarciare il lavoro di Trump come una cosa bellicista questo continuo
1537810	1540750	controcanto non potrebbe diventare un problema non potrebbe diventare un
1540750	1544390	problema prima o poi oppure pensa che invece soltanto e poi volevo chiusare
1544390	1547910	soltanto una cosa su garofani so che ha detto che non vuole trovarci però e
1547910	1552230	doveva so chiederglielo se era a conoscenza della nota del comunicato che
1552230	1557730	ha fatto no non era a conoscenza della nota che ha fatto Galeazzo Bignami anche
1557730	1562490	se io continuo a ritenere come vi ho già detto che la nota in realtà servisse
1562490	1568690	proprio a fucare i dubbi dal Quirinale non a diciamo concentrare l'attenzione
1568690	1572990	sul Quirinale dopodiché per quello che riguarda salvini guardi io non lo
1572990	1576330	considero un controcanto penso che noi siamo una coalizione non siamo una
1576330	1580890	caserma penso che all'interno della mia maggioranza sia un bene che tutti
1580890	1584170	esprimano chiaramente le loro posizioni perché questo aiuta anche me
1584170	1590550	chiaramente a ragionare quindi io non la vedo come la vedete diciamo come
1590550	1595470	delle volte la leggo sulla stampa non la vedo come una contraddizione salvini
1595470	1598770	ieri rispetto per esempio a come lei legge le parole salvini ieri che ho
1598770	1604770	letto salvini ieri dice l'europa non blocchi quindi diciamo fa un monitor
1604770	1608330	rispetto però a un atteggiamento che oggi l'europa non sta prendendo e se
1608330	1612330	l'europa avesse preso quell'atteggiamento avesse detto irricevibile
1612330	1615350	noi continuiamo a mandare le armi e non vogliamo parlare in pace io avrei
1615350	1618230	pensato esattamente quello che ha detto salvini avrei detto quello che ha detto
1618230	1621330	quindi salvini ha fatto un monitor su qualcosa che però ringraziando il dio
1621330	1627170	non si è materializzato dopo di che ripeto per me io ascolto sempre con
1627170	1631330	grande grande attenzione quello che dice la maggioranza parlo con loro
1631330	1635750	quotidianamente di tutti i dossier le decisioni che prendiamo sono decisioni
1635750	1639930	condivise a me alla fine interessa una cosa sola mi interessa la postura
1639930	1644330	internazionale dell'italia mi interessa che l'italia continui a essere percepita
1644330	1648510	come una nazione seria come una nazione credibile come una nazione che ha una
1648510	1652590	chiara linea di politica estera e oggi l'italia così viene percepita e viene
1652590	1657410	percepita così perché questo governo ha una maggioranza stabile che le ha
1657410	1661910	consentito di avere votando sempre in modo compatto questa linea di politica
1661910	1665690	estera e quindi diciamo non mi posso assolutamente lamentare dei miei alleati
1674790	1678710	inoltre dite e dille all'estero forse magari come tonico
1678710	1683670	qualcosa questo diciamo però non mi permettono di bacchettare i toni degli
1683670	1685170	altri signori vi ringra
1693370	1697270	questa cioè però la questa consideriamo una conferenza stampa o no perché voi
1697270	1701310	fate sempre un posto ciò che ha se non vi mettete seduti non va bene
1701310	1706030	no loro sì quindi le loro domande valgono le vostre no però la sua si
1706030	1710670	perché c'è un ginocchio sulla sedia si poteva sedere perfetto andiamo avanti
1710670	1715830	la serie ha visto formate 3 e poi anche ieri prima la prima distretta poi aperta anche
1715830	1721370	l'italia e anche forse non era inizialmente prevista la presenza italiana
1721370	1727570	a ginevra si era cercata da questa voce lei oggi ha parlato insieme con il
1727570	1730690	filo andese con il presidente trump c'è un po' di variazione in questo senso
1730690	1733450	qualche problema politico c'è una ragione per cui non procedere
1733450	1738850	la prego allora la prego perché veramente questa fase molto delicata
1738850	1743670	allora questo lavoro in una fase come quella che viviamo di fare la conta di
1743670	1747710	chi non c'è e non c'è ogni volta che qualcuno si parla che io francamente
1747710	1752110	considero un po' infantile ma che diventa pericoloso se dovesse contagiare i
1754410	1758930	leader sinceramente in questa fase non va affatto ok allora lì c'è sicuramente un
1759150	1763830	formato e 3 che nasce da Minsk non è che ciò siamo inventato oggi no e quindi
1763830	1767770	tendono a vedersi dopo di che io l'altro giorno ho parlato con Mertz e
1767770	1771690	quando ho parlato con Mertz non c'erano la Francia, la Gran Bretagna e nessuno ha
1771690	1774470	chiesto perché non ci stanno la Francia poi ho parlato con la costa del
1774470	1777710	von der Leyen e non c'erano nella Francia, la Gran Bretagna nella Germania e perché
1777710	1781330	non c'erano la Francia poi ho parlato con Trump insieme a Stubbe perché non
1781330	1785670	c'erano macroni e quando Keir Starmer ha parlato adesso con Trump perché non
1785790	1792250	c'erano macroni vi prego cioè vi prego non leggete se posso dire in questa
1792250	1797670	fase nella quale è importante che noi possiamo parlarci tutti con tutti come
