start	end	text
0	6360	e che noi ci siamo. Noi siamo un interlocutore. Noi siamo un governo che vuole parlare meno
6360	13000	e ascoltare di più. Vi preghiamo di farvi sentire. Una politica di riforma e di rilancio
13000	18600	del Paese la si costruisce mettendo insieme tutte le risorse sociali, civili, politiche,
19400	24500	intellettuali, economiche. Dimentichiamo un po' la stagione della politica urlata, dei
24500	30960	social, degli anatemi, dello scontro. Ricostruiamo una politica fondata sul dialogo e sulla coesione
30960	38440	e siate protagonisti di questo rilancio e rinnovamento dell'Italia. Grazie.
38840	47000	Grazie Ministro. Grazie anche a te Ministro. La ringraziamo per l'intervento che ci ha
47000	51640	dedicato. Siamo davvero grati al Presidente del Consiglio dei Ministri Giuseppe Conte
51640	60760	per essere qui con noi anche quest'anno. La pregarei di salire sul palco per il suo intervento. Grazie.
74120	79940	Saluto i Ministri. Abbiamo sentito il Ministro Gualtieri, la Ministra Catalfo, c'è anche
79940	87940	la Ministra Pisano. Saluto tutte le autorità presenti, cari sindaci, saluto tutti voi e
87940	92900	vi ringrazio. Quest'anno siete anche più numerosi rispetto all'edizione precedente.
94760	103720	Con la ricchezza di questo tricolore, colorate questa sala. Rispondo subito al Presidente
103720	117880	De Caro, al sindaco anche lui. Non mi piace girare intorno alle questioni. Sindaco, ha
117880	123020	un invito. Raccogliamo il suo invito. Sapete che stiamo seguendo con molta attenzione
123020	132340	la proposta legislativa, liberiamo i sindaci. Ma quest'anno, credo per la prima volta, correggetemi
132340	142440	se sbaglio, abbiamo un tavolo che si aprirà il 7 novembre in prospettiva, in coincidenza
142440	148840	con la manovra. Sarà aperto fino a fine manovra con tutti gli enti locali presso il Ministro
148840	154320	degli Affari regionali per coordinarci meglio, per raccogliere le vostre stanze.
155760	163540	Apriamolo questo tavolo permanente. Valutiamo insieme le vostre richieste. Anche io, come
163540	171480	anticipato il Ministro Gualtieri, sono assolutamente sensibile al fatto che chi si assume delle
171480	181240	precise responsabilità amministrative, giuridiche, debba oggi avere anche una minima corrispondenza
181240	194040	sul piano economico, minima, che non è tantissimo, ma questo è giusto. Questo tavolo permanente
194040	200340	potremo discutere tutte le vostre richieste, le stanze, potremo valutare anche la riforma
200340	205960	del testo unico degli enti locali per quanto necessario e anche tra le varie questioni,
206780	212460	caro Presidente De Caro, sono anche personalmente sensibile alla questione dei Secretari comunali.
213320	223760	Nella mia esperienza i Secretari comunali hanno contribuito, non solo vi facilitano
223760	230880	il lavoro, non solo sono il vertice dell'amministrazione e danno un contributo in termini di competenza
230880	237740	legale che vi è necessario, ma non raramente contribuiscono anche alla natalità, se non
237740	244280	fosse stato perché un Secretario di prima nomina si fosse trovato nel piccolo comune
245450	262590	conoscendo mia madre io non sarei nato. Gentile Presidente Farina, gentile Dottor Delfante,
262690	268450	quindi io vi ringrazio per questo invito a un evento che reputo molto significativo.
269450	276730	Qui mi avete detto quasi quattromila sindaci, quattromila sindaci per lo più di piccoli comuni,
277730	286470	per piccoli attenzione, per dimensione territoriale, per densità demografica, ma grandi per la
286470	296650	ricchezza, perché la ricchezza, la tradizione, la cultura che voi continuate a tramandare e
296650	301870	il territorio della nostra penisola, la forza anche della nostra penisola è dovuta proprio
302630	310510	a questo paesaggio, a questi agglomerati urbani formati da un esigo, da grumi di abitazioni
310510	317450	che però hanno una ricchezza infinita di storia e di cultura. Direi forse questo, dicevo,
317610	323550	il tratto forse più tipico della nostra civiltà che nei secoli si espressa per lo più nei
323550	331530	borghi, piccoli comuni oltre che nelle città. Se risaliamo sino ai tempi antichi, al Medioevo,
331770	340730	vediamo che qui i cittadini hanno appreso e quindi poi sviluppandolo nel corso dei secoli il senso
340730	346910	dell'appartenenza a un comune destino, il dovere di solidarietà nei confronti di coloro che versano
347690	353470	in condizioni maggiori difficoltà i vicini, i prossimi, il valore della partecipazione anche
353470	360130	della vita della civitas, la responsabilità anche, e vi riguarda direttamente, di assumere,
360130	368210	cosa significa assumere un unus publicum agli occhi degli altri cittadini in vista della piena
368210	373870	realizzazione del bene comune, in vista della cura, dell'attenzione per il proprio territorio.
375230	381590	E se noi rileggiamo gli statuti degli antichi comuni, noi rinveniamo modelli di governo,
381590	387470	forme di gestione della azione pubblica che possono ispirare, ancora oggi sono attuali,
388370	394770	di ispirazione attuale per l'azione politica. Dicevo io sono nato in un piccolo comune e quindi
394770	400970	a questa particolare dimensione della vita collettiva sono particolarmente legato per
400970	411570	l'averla sperimentata, per l'averla vissuta, quindi non solo per ragioni affettive. Nei piccoli
411570	418290	italiani sono all'incirca il 16 per cento della popolazione, oltre 2 milioni sono anziani,
418810	425970	ma vi sono anche poco meno di 4 milioni di residenti che sono pieno dell'età lavorativa,
427390	435130	e ci sono anche circa un milione di ragazzi con meno di 15 anni. I piccoli comuni sono un
435470	443050	deposito di preziose testimonianze artistiche, culturali, sono ancora oggi centro propulsivo,
443090	449630	delle volte lo si dimentica o comunque non lo si rimarca abbastanza, centro propulsivo di attività
449630	457450	economiche e produttive in grado di contribuire alla creazione di valore. Il contributo ad esempio
457450	466630	maggiore in materia in tema enogastronoico viene proprio dai piccoli comuni, il 92 per cento delle
466630	473750	produzioni tipiche nazionali nasce all'interno dei piccoli comuni, e questo è un dato che non si
473750	480990	sottolinea mai abbastanza, con meno di 5 mila abitanti. Anche la densità imprenditoriale dei
480990	488050	piccoli comuni non è da trascurare, e in linea con la media del Paese basti ricordare che sono
488050	495990	quasi 890 mila le imprese attive in queste realtà, nelle quali risiedono il 10 per cento
495990	503450	delle imprese manifatturiere d'Italia e oltre il 15 per cento delle attività di costruzioni.
504090	512930	Ecco allora, è importante sottolineare come i piccoli comuni hanno tantissimi problemi,
513710	519770	sono a rischio spopolamento, ma danno un fortissimo contributo alla realtà nazionale,
520170	526590	e danno un forte contributo all'eccellenza italiana che ci rende ammirati e orgogliosi
526590	533430	in tutto il mondo. Dobbiamo allora sviluppare delle politiche ben calibrate come Governo,
533430	539710	ben calibrate anche sulle realtà locali, sostenere e favorire la fioritura dell'eccellenza
539710	544310	di più diversi ambiti, migliorare le infrastrutture, materiali in materiali,
545310	551650	sono le nostre priorità e soprattutto ci servono questi obiettivi, raggiungere questi
551650	558410	obiettivi è assolutamente necessario per ridurre le fratture territoriali che persistono vedete non
558410	564010	solo tra il nord e il sud del paese, sicuramente lì c'è una grande frattura complessiva,
564370	570410	ma persistono anche all'interno delle varie aree del nord, del sud, del centro, dell'isole,
571290	576510	alle quali poi si affiancano le diseguaglianze che in diversi ambiti sussistono fra i grandi
576510	582930	centri, più facilmente raggiungibili, meglio connessi solitamente, ai piccoli centri,
582930	589330	soprattutto quelli collocati nelle zone più disagiate, in particolare diverse aree
589330	595910	dell'interno del nostro territorio soffrono di un gap tecnologico, dobbiamo impegnarci,
596050	602270	cara ministro Pisano, per colmare questo divario digitale, perché oggi le possibilità,
602290	608410	le opportunità di sviluppo, la possibilità di fruire di servizi consumi, la possibilità
608410	613430	di accelerare i processi produttivi passa anche da questo, quindi dobbiamo lavorare
613430	627870	per rendere connessa tutta la penisola. Nel lavoro che stiamo facendo, teneremo in particolare
628570	633430	considerazione per quanto riguarda le infrastrutture digitali, lo sviluppo delle infrastrutture
633430	640330	digitali, la realtà dei borghi, dei piccoli centri, in modo da poter ridurre nel prossimo
640330	650510	futuro quelle fratture territoriali attualmente presenti e in modo da poter innescare o accelerare
650510	658190	il processo di sviluppo di questi territori e di ripopolamento. Io lo dico anche con riguardo,
658190	667190	con riguardo alle aree terremotate. Dobbiamo accelerare la ricostruzione, perché il rischio
667190	673130	è che una volta ricostruiti quei territori, nella loro bellezza anche architettonica,
673670	678990	non ci siano più comunità che vogliano abitarli, quindi dobbiamo affrettarci. Questo è il più
678990	683870	grande rischio che stiamo attraversando in alcune aree, in particolare un pensiero ancora
683870	702070	alle aree terremotate. Vedete, l'impegno capillare, l'impegno articolato sul territorio del gruppo
702070	709470	post-italiane, si inserisce e diventa strategico in questa direzione. Possiamo dirlo e riconoscerlo,
709470	717210	tutti insieme, che post-italiane è un prezioso presidio a tutela dell'unità nazionale e della
717210	723070	coesione territoriale. Non lo dico in modo enfatico, ma è proprio così. E questa, quindi,
723090	729230	è l'occasione anche per ringraziare Poste, per la presenza viva, costante, anche nei comuni a
729230	738350	bassa densità di popolazione. Nei comuni a bassa densità, il presidio dello Stato qual è? Della
738350	745170	caserma, ma anche lì, ovviamente, rischiano di scomparire le caserme, e l'edificio scolastico,
745210	751230	l'ufficio postale, la farmacia. Voi siete un grande contributo per mantenere coesa,
751330	755270	per mantenere i servizi essenziali a favore delle piccole comunità.
764610	772270	Quindi, quando vi siete impegnati a raggiungere quei dieci obiettivi – io l'anno scorso sono
772270	781150	stato molto felice di questo passaggio e, come sapete, vi ho appoggiato, vi ho sostenuto – perché
781150	790430	una precisa scelta di indirizzo economico e sociale, una scelta che si integra perfettamente
