start	end	text
2320	6820	Intanto io penso che sia questa una giornata importante. Dopo tre anni e mezzo in cui noi
6820	16140	abbiamo avuto una Russia che non dava alcun segnale di dialogo, che pretendeva la capitolazione
16140	21620	di Kiev, oggi finalmente si aprono degli spirali di dialogo. Perché? Si aprono degli spirali
21620	26460	di dialogo perché c'è una situazione di stallo sul campo e noi lo dobbiamo ricordare
26460	30760	perché quella situazione di stallo sul campo è stata costruita chiaramente dal coraggio
30760	36700	degli Ucraini ma anche dal sostegno unito che l'Occidente ha garantito in questi anni
36700	42080	alla nazione aggredita. Ce lo dobbiamo ricordare perché l'unità dell'Occidente, dal mio punto
42080	49000	di vista, è anche lo strumento che abbiamo per costruire pace e garantire giustizia.
49400	52920	Ovviamente l'Italia c'è, come c'è sempre stata in questi tre anni e mezzo, noi siamo
52920	57080	al fianco dell'Ucraina, sosteniamo gli sforzi di pace del Presidente degli Stati Uniti,
57240	62880	siamo stati chiamati per il nostro contributo di proposte, di diplomazia e siamo contenti
62880	66560	che sulle garanzie di sicurezza si parta da una proposta che è stata italiana, che è
66560	71940	quella di costruire garanzie di sicurezza efficaci ispirate a quello che è l'articolo
71940	78320	5 della NATO, insomma del trattato di Washington. Chiaramente su questo bisogna costruire, bisogna
78320	84440	lavorare. Io penso che il lavoro che faremo oggi sarà, da questo punto di vista, un lavoro
84440	89640	importante. Chiaramente non ci sono soluzioni facili quando si tratta di fermare una guerra,
89660	94460	di costruire la pace. Io penso che dobbiamo esplorare tutte le soluzioni possibili per
94460	98540	garantire pace, per garantire giustizia, per garantire la sicurezza delle nostre nazioni
98540	102840	e l'Italia porta tutto il contributo di idee e di proposte che ha già dimostrato di saper
102840	103780	garantire in questi mesi.
