start	end	text
6540	12900	Buonasera a tutti, grazie dell'invito, grazie sinceramente dell'invito a questa cerimonia.
13420	19840	Saluto ovviamente tutte le autorità, particolarmente il presidente della Repubblica, Sergio Mattarella,
21060	28960	ma voglio salutare e ringraziare davvero con il cuore, soprattutto chi ci ha consentito
28960	36600	di essere qui oggi per scrivere insieme una pagina di storia del Parlamento.
37040	43740	E quindi voglio salutare, abbracciare con affetto Lucia e Manfredi Borsellini,
43920	50040	loro familiari che sono qui oggi. Voglio mandare anche un pensiero a Fiammetta
50040	54980	che non ha potuto essere qui oggi ma sono certa che ci stia seguendo.
54980	64060	Voglio ringraziare il maresciallo Canale e sua figlia Manuela che con il loro grande gesto di amore,
64060	74760	di generosità, ha permesso che uno degli oggetti più importanti, più cari al signor procuratore Borsellino,
74800	82280	quindi la sua borza da lavoro, potesse trovare collocazione nel cuore della nostra democrazia
82280	89880	e quindi diventare un simbolo visibile e quindi essere anche il monito che merita di essere.
90960	100520	Io ho raccontato molte volte di aver cominciato il mio impegno politico all'indomani della strage di Via Danelio,
101700	111300	sono passati 33 anni, conservo ancora un'immagine estremamente nitida di quel giorno, di quel momento
112180	119800	del caldo, del tinello di casa di mia madre, delle immagini al telegiornale, di quella devastazione
120660	132180	e di quell'improvviso senso di urgenza, di quella sensazione che non avesse senso
134020	138100	provare rabbia se non si riusciva anche a trasformare quella rabbia
140560	143380	in qualcosa, in un gesto, in un impegno, in una mobilitazione.
147520	153560	Quel giorno inizia il cammino che mi ha portato due anni e mezzo fa ormai a essere presidente
153560	158180	del Consiglio dei Ministri, che forse è una delle emozioni più grandi che ho provato,
160280	167740	è stata, quando sono recata dal Presidente della Repubblica per sciogliere la riserva,
167760	178820	presentare la lista dei Ministri, dopo questo passaggio si va dai Presidenti di Camera e Senato,
179860	184380	e quindi io sono venuto a trovare il Presidente Fontana, eppure ringrazio e saluto, sono andata
184380	191960	anche dal Presidente della Russia, ovviamente, prima, e quando sono entrata, davanti a me si è
191960	198160	parata una gigantografia di Paolo Borsellino, perché la Camera stava ospitando una mostra
198160	204280	dedicata agli eroi dell'antimafia, e per me è stata un'emozione straordinaria, perché era come se
204280	211820	si chiudesse un cerchio, la persona alla quale io dovevo il mio impegno politico, che era lì,
212030	221550	nel momento in cui si arrivava a forse l'impegno più significativo che quella mobilitazione
221550	230810	politica possa regalare, sarebbe una parola non adeguata, rispetto alla quale possa impegnarti,
231130	241070	impegnarti, e questa è la mia storia personale, però il sacrificio di Paolo Borsellino, dei
241070	248290	servitori dello Stato che erano al suo fianco, quel 19 luglio 1992, Agostino, Claudio, Emanuela,
248550	257210	Walter, Vincenzo, non ha motivato solo me, la mia è la storia di tantissime persone in quegli anni,
257870	269550	è la storia di tanti altri che da quelli stragi di mafia hanno deciso di impegnarsi, perché la cosa
269550	277430	che noi dobbiamo ricordare è che da quelli stragi ha avuto un movimento di popolo che per la prima
277430	287070	volta ha detto visibilmente no, ha detto visibilmente no alla violenza, al ricatto, all'omertà,
287150	295310	all'illegalità in cui la mafia avrebbe voluto condannare l'Italia, una grande sottovalutazione
295310	303410	da parte della Cosa Nostra, la reazione che il popolo italiano ha avuto a quella che volevano
304270	311410	fosse, diciamo, terrore, a quello che si voleva fosse terrore. Milioni di italiani a quel punto
311410	316470	hanno preferito l'impegno all'indifferenza, il coraggio alla patia, il senso del dovere agli
316650	325310	apia hanno scelto cioè di percorrere la strada dell'onore della nazione contro il finto onore
325310	332850	di uomini che si auto proclamano d'onore. Paolo Borsellino ci ha insegnato che avere paura è umano,
335010	340530	ma che quando si combatte per difendere ciò in cui si crede, il coraggio può essere più forte di
340560	348400	quella paura. Ed è così che è stato la scintilla di un incendio di speranza, di giustizia, di amore
349240	357720	per l'Italia. A 33 anni di distanza il suo testimone è ancora saldo nelle mani di tanti che anche nel
357720	363920	suo insegnamento continuano ogni giorno a combattere la mafia. Quel testimone trova forma e sostanza
363920	368880	nell'impegno che le istituzioni a ogni livello portano avanti contro la criminalità organizzata,
368880	375220	nella difesa, nel potenziamento di quella legislazione antimafia che porta il nome suo e
375220	379940	di Giovanni Falcone che è diventata un modello a livello internazionale. Io vado in tutto il
379940	386000	mondo, torno ora dal G7. Al G7 c'è una dichiarazione, delle sette dichiarazioni del G7,
386360	392480	parla di combattere le organizzazioni criminali seguendo il principio di follow the money,
392480	401940	seguire i soldi. Oggi è di domenio pubblico a livello internazionale ma è partito da qui e poi
401940	407360	nella ricerca instancabile per fare luce sulle pagine ancora buie di quegli anni della nostra
407360	414160	storia, il popolo italiano ha il diritto di conoscere la verità. Ogni sforzo per conoscere
414160	420160	quella verità deve essere sostenuto come quello che sta portando avanti la commissione parlamentare
420460	425320	antimafia che con coraggio, con determinazione sta lavorando in questa direzione. Grazie presidente,
425500	434900	grazie a tutti i membri della commissione. Questa tega contiene la borsa da lavoro di un magistrato.
435880	441060	Oggi noi sappiamo che la borsa da lavoro è stata sostituita da mezzi un po' più tecnologici,
442520	450980	insomma il portatile, altri strumenti simili. 40 anni fa in quella borsa per qualsiasi magistrato
450980	457800	c'erano le carte importanti che voleva dire c'erano le paure, c'erano i sacrifici, c'era il lavoro che
457800	468820	ti portavi a casa fuori dall'orario, c'era quel pezzo di vita molto ampio che decidevi di regalare
468820	478660	qualcosa in cui davvero credevi. Per molti oggi può sembrare una specie di reperto, però penso
478660	484420	che anche per i giovani magistrati di oggi sia qualcosa di più, il simbolo del dovere dell'attaccamento
484420	493660	al servizio in ogni momento della vita anche quando la toga non si indossa, perché la verità è che
493660	503360	Rosario Livatino non faceva il magistrato, era un magistrato, un magistrato innamorato della giustizia,
503460	510200	della verità, della libertà. Io penso e concludo e vi ringrazio che la cosa più giusta e più bella che
510200	516980	noi possiamo fare per onorare questo uomo straordinario, questi uomini straordinari sia
518750	525010	combattere per affermare gli stessi valori con la stessa determinazione, con lo stesso coraggio e
525010	528870	come hanno fatto loro ogni minuto di ogni singolo giorno. Vi ringrazio.
