start	end	text
58080	59500	Sottotitoli creati dalla comunità Amara.org
88240	89660	Sottotitoli creati dalla comunità Amara.org
118200	119660	Sottotitoli creati dalla comunità Amara.org
149180	149740	Sottotitoli creati dalla comunità Amara.org
178580	179980	Sottotitoli creati dalla comunità Amara.org
209540	209720	Sottotitoli creati dalla comunità Amara.org
238580	239980	Sottotitoli creati dalla comunità Amara.org
268580	269980	Sottotitoli creati dalla comunità Amara.org
298160	299720	Sottotitoli creati dalla comunità Amara.org
329580	329720	Sottotitoli creati dalla comunità Amara.org
358220	359620	Sottotitoli creati dalla comunità Amara.org
389520	389740	Sottotitoli creati dalla comunità Amara.org
418580	419980	Sottotitoli creati dalla comunità Amara.org
448240	449660	Sottotitoli creati dalla comunità Amara.org
478240	479700	Sottotitoli creati dalla comunità Amara.org
509560	509700	Sottotitoli creati dalla comunità Amara.org
538300	539720	Sottotitoli creati dalla comunità Amara.org
539980	539980	
