start	end	text
2980	12420	Allora, sicuramente è una giornata storica e sono ovviamente fiera che l'Italia ci sia.
12880	17280	Mi piace pensare che sia anche un ringraziamento al lavoro che abbiamo fatto in questi mesi,
17440	21720	particolarmente, come sapete, sul piano umanitario per la popolazione di casa, ma anche sul
21720	28280	piano politico, in un supporto costante e silenzioso a tutti gli sforzi che venivano
28840	31520	fatti verso una cessazione delle ostilità.
32220	35760	È un grande successo di Donald Trump, credo che Donald Trump abbia ragione nel dire che
35760	39080	il suo più grande successo è diplomatico, anche se noi gli auguriamo di raggiungerne
39080	43440	altri a partire dall'Ucraina, ma penso che dobbiamo anche ringraziare i mediatori che
43440	48280	hanno lavorato per questo risultato, quindi c'è i Cotami-Maltani, il Presidente Erdogan,
48360	55200	il Presidente Sisi che ci ospita oggi e tanti altri che hanno spinto e hanno dato una mano.
55900	61460	Chiaramente è un percorso molto lungo, noi oggi abbiamo una prima fase, ma è anche un'occasione
61460	68980	che non si vedeva da tantissimi anni per arrivare a una pace seria, duratura, giusta, in Medio
68980	73260	Oriente, che per me si fonda sempre sulla prospettiva dei due Stati, è un lavoro lungo
73260	78120	nel quale l'Italia vuole dire, ed è qui per dire, che c'è, che è pronta a fare la sua
78120	84140	parte su tutti gli aspetti, c'è un aspetto chiaramente che riguarda il piano umanitario,
84140	88740	noi andremo avanti con la nostra iniziativa Food for Gaza, ce n'è particolarmente bisogno
88740	93040	oggi, ma penso che l'Italia possa fare la differenza anche sul piano sanitario, non soltanto
93040	96900	continuando a evacuare le persone, particolarmente bambini che hanno bisogno di essere curate
96900	104360	nei nostri ospedali, ma anche portando strutture sanitarie sul posto, c'è da questo punto
104360	109300	di vista tanto la protezione civile, la Croce Rossa, i nostri militari che sono già pronti
109300	114900	a muoversi, sul piano della sicurezza, voi sapete che i nostri carabinieri già da anni
114900	119420	a Jerico formano la polizia palestinese, così come sapete che noi siamo impegnati anche
119420	126180	nella missione UE a Rafah, possiamo implementare e siamo pronti a implementare questa presenza,
126260	132780	tra l'altro già prevista nel decreto missioni, fino ad arrivare a una partecipazione, una
132780	136400	forza di stabilizzazione che richiederebbe in questo caso chiaramente anche un passaggio
136400	141280	parlamentare sul quale spero che una volta, tanto e sono certa che stavolta si potrebbe
141280	150080	anche votare all'unanimità, e poi ovviamente sul piano della ricostruzione dove siamo pronti
150080	154380	a fare la nostra parte, tanto con la cooperazione allo sviluppo quanto perché chiaramente la
154380	159460	mole di lavoro che sarà necessario fare è enorme coinvolgendo il nostro settore privato
159460	166540	e sul piano politico ovviamente, quindi tutti sanno che la nostra è una nazione rispettata,
