start	end	text
0	4920	Buongiorno a tutti, grazie ancora al Presidente Carluccio Sangalli per l'invito, mi spiace
4920	10140	davvero non essere riuscita a essere con voi in presenza, ci tenevo in ogni caso a esserci
10140	15900	pur da remoto per farvi arrivare il mio saluto e partecipare ai vostri lavori, che quest'anno
15900	20280	hanno peraltro un valore particolare perché ConfCommercio compie i suoi primi 80 anni
20280	25720	e quindi prima di tutto auguri. Oggi non celebriamo solo i primi 80 anni di storia di ConfCommercio
25720	31080	ma anche 80 anni di storia nazionale perché ConfCommercio ha vissuto le profonde trasformazioni
31080	35660	della società italiana, ha accompagnato l'Italia sia negli anni del boom economico del dopoguerra
35660	40820	sia nei momenti più complicati e ha interpretato questo ruolo guardando sempre al futuro riuscendo
40820	45760	ad anticipare i cambiamenti, a trasformare le crisi in opportunità. Lo ha fatto con il
45760	50740	commercio online attraverso la progressiva integrazione tra fisico e digitale, lo sta
50740	55740	facendo con l'intelligenza artificiale, supportando le imprese nel processo di digitalizzazione
55740	61240	e innovazione. Lo ha fatto allargando la sua rappresentanza anche ad altri ambiti fondamentali
61240	66180	della nostra economia, penso ai trasporti, la logistica, le professioni, la cultura. Oggi
66180	71080	le imprese del terziario di mercato contribuiscono per circa la metà del prodotto interno lordo
71080	76060	e dell'occupazione. Siete in sostanza uno dei motori dell'economia nazionale ed è
76060	80100	solo grazie al vostro dinamismo, alla vostra capacità di intraprendere che l'Italia sta
80100	85740	registrando indicatori macroeconomici estremamente positivi. Nel primo trimestre di quest'anno
85740	93580	il PIL è cresciuto dello 0,3% rispetto al trimestre precedente e dello 0,7% rispetto
93580	99420	al primo trimestre del 2024, facendo meglio di Francia e di Germania. È un dato incoraggiante,
99560	103880	soprattutto se teniamo conto della complessa situazione geopolitica internazionale e del
103880	109600	quadro delle relazioni commerciali. L'economia sta sostanzialmente dimostrando la sua solidità,
109720	114860	la sua resilienza anche e soprattutto sul fronte dell'occupazione. Negli ultimi due
114860	119940	anni e mezzo è stato creato quasi un milione di posti di lavoro e abbiamo toccato diversi
119940	124200	primati. Abbiamo raggiunto il record di numero di occupati, la disoccupazione ai minimi da
124200	129160	18 anni a questa parte, il precariato diminuisce, i contratti stabili aumentano, dati che ci
129280	134140	rendono chiaramente orgogliosi e soprattutto sicuri della strategia che abbiamo messo in
134140	139100	campo ma che non sono merito del governo, sono soprattutto merito vostro delle imprese
139100	143360	dei lavoratori di questa nazione. Il governo si è limitato a fare la parte che gli spetta
143360	148100	e cioè creare le condizioni migliori per la crescita e la competitività. Fin dal primo
148100	152060	giorno a Palazzo Chigi ci siamo schierati al fianco di chi crea ricchezza e di chi crea
152060	156460	occupazione, stiamo creando un ambiente favorevole per chi vuole investire in Italia e allo stesso
156460	161140	tempo siamo impegnati per aiutare le nostre aziende a rafforzare l'export e la loro presenza
161140	165500	sui mercati internazionali. Abbiamo approvato quella riforma fiscale che era attesa da 50
165500	170520	anni e ne stiamo dando rapidamente attuazione con l'obiettivo di abbassare le tasse a tutti,
170640	175160	di costruire un rapporto più giusto ed equilibrato tra lo Stato e il contribuente. Stiamo rimettendo
175160	179880	al centro gli autonomi e i liberi professionisti, i lavoratori per troppo tempo disprezzati
179880	185200	considerati a torto figli di un dio minore. Questa è la strada che continueremo a seguire
185200	189720	ovviamente per consolidare la tendenza economica positiva che stiamo registrando, rafforzare
189720	194100	la domanda interna, proseguire nel percorso di riduzione della pressione fiscale con un'attenzione
194100	202400	particolare al ceto medio. Sono i nostri obiettivi, so che sono anche i vostri obiettivi. Di chi
202400	209500	ha a cuore questa nazione lavora ogni giorno con un solo grande target di riferimento, rendere
209500	214860	l'Italia sempre più grande, più forte e più rispettata nel mondo e so che per farlo ho
214860	219520	bisogno di voi, ma so anche che per farlo posso contare su di voi. Ancora tanti auguri, buon assemblé.
