start	end	text
0	5980	e poi convolgeremo ovviamente il nostro amministrato delegato e il saggista Giuliano D'Empoli.
6740	13000	Grazie, credo che ci siano molte ragioni per considerare utile questo lavoro,
14240	20340	innanzitutto perché effettivamente svolge un servizio, un servizio importante,
20560	26740	perché questo può essere tranquillamente un viatico per chi vuole cercare
26740	32920	e chi vuole capire che esistono opportunità importanti oggi fuori dal nostro Paese.
33600	41560	Credo poi però accanto a questo che vi siano alcune sollecitazioni importanti da sottolineare
41560	44920	e sicuramente sono sollecitazioni molto attuali, tutte molto attuali,
45080	51040	perché sono legate a un dibattito che è in corso, ad alcune decisioni che sono appunto in corso.
51040	55980	La professoressa Fornero citava prima alcuni fatti proprio di queste ultime ore
55980	61940	e quindi entra dentro una situazione in evoluzione.
63460	69200	Vi sono alcune valutazioni che Rita Fatiguso fa su questa situazione in evoluzione.
69860	80380	Io voglio commentarne alcune di queste, proprio perché doper buona e sottolineo l'importanza della funzione di servizio
80380	85740	e ovviamente però bisogna che questa funzione di servizio trovi un ambiente favorevole a coglierla,
85920	93440	nel senso che purtroppo, è stato citato prima, ancora troppo scarsa è la mobilità del lavoro
93440	99620	e soprattutto ancora troppo poco si capisce che queste opportunità sono opportunità
99620	109240	che poi diventano una ricchezza, un valore assolutamente fondamentale nel curriculum che ogni lavoratore si crea
109240	113220	e nel bagaglio di conoscenza che ognuno si porta dietro.
113580	122140	Una prima considerazione che mi è venuta in mente leggendo è che effettivamente si coglie un elemento che ho sempre considerato molto importante,
122280	131940	cioè l'effetto moltiplicatore che l'arrivo della moneta unica ha e avrà sempre di più su tutti gli aspetti del lavoro,
131940	139940	perché molto spesso si è dato un approccio al tema della moneta unica un po' troppo limitato o tecnicistico come impatto.
141100	150120	La moneta unica ha effetti monetari, lo dice la parola stessa, ma ha effetti tra virgoletti psicologici
150120	156200	di impatto sul comportamento delle persone molto significativi e molto forti.
156200	166900	Rita fa riferimento per esempio al paragone tra gli stipendi che è un altro degli elementi che ovviamente sul breve non dà effetto,
167300	175940	ma sul medio lungo darà molti effetti perché nel momento nel quale le frontiere si abbattono e la moneta è la stessa,
176940	186800	quindi la trasparenza e la capacità di verificare il valore reale dello stipendio di una stessa funzione,
186860	195940	di una stessa professione in un Paese e in un altro è un elemento non da poco e credo che soprattutto chi ha responsabilità
196500	202960	dentro una multinazionale può capire e può rendersi conto benissimo che si trasforma tutto,
202960	212460	perché le stesse persone che fanno la stessa lavoro in un Paese o in un altro dell'Europa non hanno più quella barriera
212460	219940	che è data dalla moneta diversa e dalla prezzatura diversa nel paragone tra il compenso del proprio lavoro.
220060	230060	Questo effetto trasparenza avrà sicuramente sul concetto di lavoro e sul concetto di retribuzione del lavoro degli effetti molto forti,
230060	238120	che secondo me non sono ancora stati abbastanza sottovalutati e non si è ancora entrati nella logica invece del fatto
238120	248000	che questo sarà uno dei temi forti del prossimo futuro, così come immediatamente legato a questo e mi viene in mente dal motivo dell'assenza di Cerfeda
248000	256060	il fatto che l'altro grande tema è che piano piano ci si renderà conto che gran parte delle cose di cui si parla
257100	266200	sono decisioni applicate in Italia in cui esiste, come tutti quelli che sono qui sanno, una margine di discrezionalità nelle forme di applicazione,
266960	277880	ma diciamo il mainstream è assolutamente fissato a Brucelle, quindi è lì che bisogna influire per far sì che le decisioni vadano in una certa direzione o in un'altra.
277880	286000	Questo vale ovviamente per le istituzioni, ma vale soprattutto per i corpi sociali, per le parti sociali.
286900	293880	Mi viene molto da riflettere sulla polemica e sui dibattiti che sono in corso in Italia in questi mesi.
294780	306220	Mi viene molto da riflettere perché la conseguenza immediata che tiro è che parte del contendere è fuori dalla disponibilità delle parti stesse
306220	315520	e se guardano soltanto dentro un'ottica nazionale le cose di cui stiamo parlando, perché la buona parte delle cose di cui si parla
315520	324560	alla fine sono un'applicazione di scelte, di regole che sono state fatte e si dovranno fare a livello europeo
324560	331220	in cui certo sarà fondamentale la posizione che l'Italia assumerà, ma sarà soprattutto fondamentale la posizione che i sindacati europei,
331220	337920	la confindustria europea, le parti sociali a livello europeo assumeranno lì.
338000	347920	Sarà molto difficile per esempio, faccio soltanto questo esempio, per un sindacato proclamare uno sciopero a livello nazionale
347920	357220	nel momento nel quale la propria rappresentanza europea decidesse o avesse deciso precedentemente di accedere a un accordo
358080	364140	in modo tale da portare a una certa direttiva che poi porta ad alcune conseguenze nazionali
364140	375320	e la stessa cosa vale ovviamente per la parte datoriale, sarebbe molto complicato poi una contraddizione tra il livello nazionale e il livello europeo
375320	383040	e quindi qui cito anche quello che Piero Badaloni citava nella sua introduzione, un tempo di grandi cambiamenti in Europa
383040	395940	io ho l'impressione che questo sia un tema sottovalutato dentro il lavoro della convenzione per esempio, il tema dei luoghi della concertazione a livello europeo
395940	405840	che a me sembra essere uno dei grandi temi, perché la commissione su questo ha dato un segnale importante col documento del 22 maggio scorso
405840	418280	che è un documento che indica alcune strade su alcuni temi che sono legati a queste materie, per esempio attorno al tema del percorso di legittimazione democratica
418280	427900	e di controllo e di responsabilità delle decisioni che stanno alla base del coordinamento delle politiche economiche dell'Unione
427900	436080	perché è evidente che il percorso europeo è un po' da questo punto di vista carente di controllo e di responsabilità
436080	447300	perché se tutto viene affidato ai dodici governatori delle banche centrali, che come è noto in Italia soprattutto il controllo democratico ne hanno molto poco
447300	461600	addirittura in Italia c'è una nomine a vita, quindi figuriamoci, pensiamo che cosa vuol dire aggiungere a questo un meccanismo fatto solamente da responsabilità dei governi nazionali
461600	471940	quindi leco fin e tutto questo tenendo fuori il Parlamento europeo e automaticamente anche i Parlamenti nazionali perché è questo quello che succede
471940	482340	rischia di creare probabilmente maggiore efficacia delle decisioni, io non ho alcun dubbio, ma alla fine crea un meccanismo che ha una contraddizione
482340	495360	che presenterà il conto a un certo punto di questo meccanismo perché poi alla fine il consenso tra i cittadini si crea anche attraverso queste forme di coinvolgimento
495360	504700	quindi citavo questo aspetto perché su questo la Commissione nel documento del 22 maggio alla Convenzione ha posto questo tema come uno dei temi della Convenzione
504700	513520	io credo che parallelamente quest'altra questione va citata, va toccata, mi è venuta in mente leggendo questo lavoro
514940	525220	quindi vi è un'altra riflessione secondo me importante da fare, l'altra riflessione importante da fare è sulla, qui vi è un capitolo abbastanza molto interessante
525220	535260	in cui si citano una serie di studi sulla paragone tra le regidità o le flessibilità dei mercati del lavoro nei diversi Paesi, credo che sia molto importante anche questo
535260	546520	è molto importante che in Italia ci sia più informazione su questo, lo dico perché troppe volte si va a discutere di queste materie un po' in modo poco informato
548060	556260	esistono diversi mercati del lavoro in Europa ed esiste secondo me oggi una grande opportunità che è quella di cogliere il meglio da ogni esperienza
557140	566340	e cogliere il meglio da ogni esperienza oggi è effettivamente possibile e lo è possibile sia a livello individuale che a livello di Paese
566340	579260	a livello individuale mi viene in mente il lavoro che Giuliano da Empoli ha fatto sui nomadi, sulla guerra del talento dei nomadi, quindi individuali che vanno
579260	588760	e sono in condizione di scegliere da fiore in fiore perché hanno la forza di farlo e la forza di scegliere, ma questo può valere anche a livello di sistema Paese
588760	597980	perché a livello di sistema Paese la possibilità oggi di andare a vedere che alcuni strumenti in Olanda hanno funzionato non si vede perché non si possono applicare anche in Italia
597980	610940	e la stessa cosa con altri Paesi, penso al caso britannico, l'Italia si è firmato un documento Italo-Britannico che però alla fine finisce per essere una cosa a metà
610940	618640	nel senso che io credo che della Gran Bretagna bisogna portare molte cose in Italia sul terreno del mercato del lavoro, molte cose
619340	631480	e credo però quando si fa un'operazione come quella bisogna prendere tutto e soprattutto il meglio perché lì c'è una parte che è legata al fatto che in Italia manca quell'esperienza
631480	641680	manca l'esperienza dell'affrontare il tema del licenziamento individuale come uno dei temi fondamentali per dare fluidità al mercato del lavoro
641680	649680	e dare fluidità alla possibilità di reingresso nel mercato del lavoro. Da noi si è affrontato nella storia del nostro Paese solamente il tema del licenziamento collettivo
