start	end	text
7820	13340	L'attuale Presidente della Repubblica, Francesco Cossiga, nel discorso di Capodanno già aveva
13340	19240	sollecitato in tema di giustizia un'opera complessa, articolata e realistica di modernizzazione
19240	25220	degli strumenti legislativi e amministrativi previsti dalla nostra Costituzione. Da tempo
25220	31380	nel nostro Paese si dibatte il tema delle grandi riforme tra le quali la giustizia
31380	39060	riveste una particolare urgenza. Sempre nel messaggio di Capodanno Cossiga indicava come
39060	43060	strada da percorrere rapidamente quella dell'ambordernamento del servizio della
43060	48140	giustizia e, anzitutto, la piena e puntuale attuazione della delega legislativa per il
48140	53540	nuovo codice di procedura penale. Questa attuazione c'è stata, abbiamo in questo momento
53540	58880	al microfono un illustre interlocutore, si tratta del Senatore Giovanni Leone, già Presidente
58880	65380	della Repubblica. Buongiorno Presidente. Ecco il Senatore Leone, il Presidente Leone è un
65380	70600	giurista di Chiarafama, autore di un testo di procedura penale in uso nelle Università
70600	76580	italiane. Presidente Leone, con il nuovo codice di procedura penale, sappiamo che ormai è cosa
76580	81040	fatta, tra un anno entreranno in vigore i decreti approvati dal Consiglio dei Ministri, dicevo
81040	87280	con il nuovo codice di procedura penale, secondo lei, si potrà rimediare ai mali che da tempo affliggono la giustizia penale?
87640	107700	Secondo me, assolutamente no, io sono stato contrario alla legge delega per questo nuovo codice di procedura penale e ritengo che sia un codice completamente sbagliato e, soprattutto, non serve agli intenti per i quali sembra che sia stato emanato.
107700	126480	Questo codice avrebbe dovuto rendere più breve i procedimenti, accelerare il corso della giustizia, che è scandaloso attualmente, e mettere in una situazione anche di maggiore tuffera processuale di imbufato.
126480	146840	Ambedue le cose non accadranno, non accadranno prima, perché il codice è così complesso e complicato, soprattutto dal punto di vista del dibattimento, perché ogni processo durerà molto di più di quello che dura adesso,
146840	163260	perché il processo, in sostanza, si celebra in dibattimento, dove a luogo quello che si dice all'inglese la cross-examination, cioè l'interrogatorio ingrossiato, cioè il processo da Perry Mason,
163260	173460	in questo dibattimento le parti si presentano di rei nude, ciascuno senza alcun pregiudizio preliminare.
174560	184640	Il pubblico ministero tutte le prove che ha raccolte durante la fase preliminare non le può mettere in evidenza,
184640	197880	può soltanto indicare, naturalmente, tali prove e portare le prove in dibattimento, lo stesso accade per le parti private.
199060	213960	Poi, naturalmente, comincia l'interrogatorio ingrossiato tra le parti, ora questo è un punto molto delicato sul quale io ho più volte combattuto e non ho avuto mai una risposta.
214640	220840	Io, fin da molti anni fa, questo processo non è mai il processo dei ricchi,
222000	234780	perché nell'interrogatorio ingrossiato si mettono in evidenza le personalità del riputato, del pubblico ministero, del testimone e dell'avvocata che sia.
234780	250340	I due contendenti che devono in certo momento scontrarsi devono avere una preparazione ed è soprattutto una capacità professionale ed una grande esperienza,
250620	263980	altrimenti possiamo trovarci il che accadrà spesso, che un imputato viene a dibattimento fornito da un grande avvocato, dall'assistenza di un grande avvocato,
264780	277040	e l'altra parte, sempre la parte civile, naturalmente assistita da un modestissimo e inesperto avvocato o un pubblico ministero giovane e poco esperto.
277240	282980	E viceversa, possiamo avere una parte civile agguerrita, questa sarà molto più frequente,
283220	300420	perché potranno svolgersi ad avvocati di grande prestigio e cometale costosi e l'imputato con un piccolo avvocadicchio di paese non avendo la possibilità di pagare e di assumere avvocati di grande prestigio.
300880	313900	Tutto questo porta naturalmente uno squilibrio del dibattimento, non solo porta uno squilibrio, porta una grande perdita di tempo,
313900	326220	più che perdita, diciamo, grande destinazione come tempo, perché il dibattimento, come ho detto, si fa tutto.
326420	338560	Il Presidente quando esce per cominciare la causa, non conosce niente dalla causa, sa soltanto il nome delle parti e la imputazione,
338560	352380	e lui stesso deve seguire e solo non può fare domande, il che è veramente grave, solo alla fine dello scontro della cross examination può porre qualche tema.
