start	end	text
3640	12360	Grazie Presidente Ramaphosa, grazie per l'organizzazione di questo sommetto e grazie per la nostra invitazione.
13300	20180	Questo G20, come molti hanno detto prima di me, è stato preso in Africa per la prima volta,
20660	27880	che in mia opinione è una circostanza che è particolarmente simbologica.
27880	35880	Ma alla fine della giornata è impossibile parlare di qualsiasi modo di cooperazione e sviluppo per il futuro senza l'Africa.
37600	43720	Alcuni, prima di me, hanno parlato di questo spirito di Ubuntu,
44360	46520	che è parte di questa cultura della nazione,
47940	53520	con cui definiamo chi siamo in relazione con altri.
54520	57040	Non sono sicuro, ovviamente,
57040	63520	ma vorrei aggiungere che in questo mondo interconecto che viviamo,
64580	70580	ci riempiamo in relazione con gli altri.
71460	74520	Abbiamo visto questo molto chiaramente in anni recenti,
75620	77440	con gli effetti del cambiamento climatico,
77440	80180	la crisi della pandemia,
80600	85880	la guerra russiana di aggressione contro l'Ucraina,
85880	90980	e voglio dire che l'Italia è pronta a lavorare con i suoi partner europei e americani,
91520	93720	per raggiungere un paese giusto,
94200	98580	come l'Italia è già contribuita nel Medio-Iste per scegliere un risultato,
98580	101420	che è fragile ma molto importante.
102420	106440	Inoltre, sappiamo che questo fenomeno ha avuto un impatto
106440	109560	da parte di bordo dove hanno accaduto.
110660	113800	Questo è il motivo per cui l'operazione è inevitabile,
114020	116120	e questo è il motivo per cui abbiamo bisogno di crescita
116120	121400	basata sulle regole del partito e sulle relazioni di interconecto veri.
121400	127760	Adesso sappiamo molto bene gli effetti reali di mobilizzazione inutile,
127760	133680	che sono molto diversi da quelli che sono accaduti.
134000	136320	Ha avuto valori verticalizzati e concentrati,
136780	138440	ha modificato la poverà,
138700	141960	ha scoperto la democrazia e il net di sicurezza sociale,
142840	145280	e questi sono errori che non possiamo ripetere.
146580	151320	L'organizzazione mondiale ha bisogno di essere reattivata,
152240	156440	e deve essere chiaro a tutti che i partiti sono reali
156440	158620	solo quando sono uguali
158620	162600	e generano benefici per tutti i partiti in bordo.
163240	166440	Questa è la filosofia che ha guidato l'Italia
166440	169940	per l'interno del maté plan per l'Africa.
170120	172940	È un nuovo modo di guardare il continento africano
172940	176340	non come un problema, ma come un'opportunità,
176380	181140	non come lezione da top a bottom, ma con rispetto.
181620	185380	Questa è un'iniziativa che è già parte di 14 nazioni africane,
185380	188440	un numero che intendo di aumentare ogni anno,
189500	192420	e questo può contare con le sinergie ben costruite
192420	194580	con le Unioni Africane, le Nazioni Unite,
194960	195980	le istituzioni finanziarie internazionali,
197220	199380	e la Unione Europea con il gateway globale.
200280	203340	I risultati sono fatti.
204260	206860	Sto pensando sul Corrido di Rubito,
207040	208860	tra Angola e Zambia, per connetterci
208860	210460	e portare la prosperità alle regioni
210460	213400	che sono currentemente isolati,
213400	216540	in cui siamo contribuiti in un modo importante.
217580	219380	Sto pensando nel cominciare in Roma
219380	222160	il hub AI per il sviluppo sostenibile,
222620	226160	che avrà impulso centinaia di start-ups africani
226160	228680	nel sviluppo dell'intelligenza artificiale.
228880	231060	Sto pensando nel uso dell'acqua spessa
232400	236660	nel progetto Amish-Tanit in Tunisia
236660	239040	per la ricerca dell'improductiva.
240520	243040	Le priorità in cui stiamo investendo
243920	246480	sono condizionate con le nazioni africane
246480	247040	e sono reali.
248200	250380	La salute, l'agricultura, l'uomo, l'infrastruttura,
250620	251540	e di più il trattamento.
252340	254000	Perché niente può essere fatto
254000	257200	senza valore nel capitolo umano.
257600	259040	E come tutti lo conoscono,
260200	262040	penso che nessuno può pensare
262820	264480	ad aiutare i continenti africani
264480	266840	e semplicemente accettare
266840	271340	che centinaia di migliaia di giovani africani
271340	276600	pagano a traficanti per migliorare verso l'Europa.
276760	278660	Per questo, insieme con Nigeria
278660	281440	e il partnership globale dell'educazione,
281480	282500	abbiamo lanciato una campagna
282500	284820	per creare 5 milioni di dollari
284820	286020	e migliorare l'educazione
286020	290740	di 750 milioni di bambini in diversi paesi.
292760	293520	Inoltre,
293880	295120	per creare un'Africa
295120	297060	che è davvero capabile di competere
297060	298720	sulle turni equali,
298960	300420	ovviamente non possiamo ignorare
300420	302380	l'ordine della morte
302380	303740	che attacca
305780	307660	molte delle nazioni
307660	308740	di questi continenti.
309500	311740	Quindi l'Italia ha deciso
312260	314240	di ridurre la morte
314240	315740	dei paesi a livello medioevo
316300	319900	di 50% over i prossimi 10 anni
319900	321280	e, soprattutto,
321640	324360	di convertere l'intera morte
324360	325860	dei paesi meno sviluppati
326900	328820	in un plan di investimento
328820	330580	per questi paesi,
331380	332280	che è una scelta,
332900	334220	considero una scelta di giustizia
334220	335940	e responsabilità
335940	339080	che speriamo che altri si seguiranno.
339240	342260	Crediamo che sia il vero percorso
342900	346640	per creare un sviluppo
346640	347720	e lo possiamo fare
347720	349720	con humilità
350300	351260	e, soprattutto,
352000	353380	con rispett
353380	354360	per gli altri.
354460	354900	Grazie.
