start	end	text
7680	16360	Tavola rotonda, il nostro dibattito sul tema l'Europa può unirsi, mi pare giustificato
16360	22440	anche se provocatorio l'interrogativo che caratterizza il nostro dibattito. Da anni
22440	28660	infatti alle dichiarazioni solenni e reiterate di voler dar vita all'Unione Europea seguono
28660	35460	deboli reticenti e spesso contradditori atti di volontà politica. Mi pare chiaro credo
35460	42380	per noi per unità politica e per unità europea si intende lo sbocco di un processo pur faticoso
42380	50980	di integrazione in una originale entità democratica che salda le peculiarità storiche inalienabili
50980	56960	delle singole nazioni che la compongono in un'attiva convergenza di condizioni e di
56960	64600	portamenti interni e di atteggiamenti comuni ed iniziative comuni internazionali. Componenti
64600	70440	fondamentali di una Unione Europea che coinvolga unitariamente popoli e cittadini ed esprima
70440	76300	adeguatamente la sua potenzialità qualitativa e quantitativa a 300 milioni di uomini, fin
76300	82240	ora il più grande vaccino commerciale del mondo, il più ricco deposito di cultura e
82660	89500	capacità inventiva, sono a mio avviso. Primo, una consapevolezza e un'adesione attiva della
89500	95440	coscienza popolare europea all'Unione a cominciare dai formatori di opinione, e in questo campo
95440	100600	dobbiamo dire che siamo a livello zero, un'organica articolazione di politiche comuni in tutti
100600	107200	i campi, una univoca e permanente presenza e capacità di proposta e di intervento nella
107200	112660	vicenda internazionale, nella ricerca di condizioni di pace e di sviluppo, nella lotta
112660	118000	ai grandi mali della indigenza e della sopraffazione che rendono iniqua e sperequata la condizione
118000	123840	umana. Al di là della cresta civile ed economica dei suoi cittadini, che ne è peraltro la
124080	138420	condizione irriunciabile, salutiamo il segretario politico della democrazia cristiana, onorevole
138420	152040	Demitea, che ha voluto essere presente a questo nostro incontro. Dicevo che al di là della
152040	156580	cresta civile ed economica dei suoi cittadini, che è peraltro la condizione irriunciabile,
157260	161960	questo è il traguardo vero e il ruolo storico dell'Unione europea, ma oggi al contrario
161960	168520	constatiamo un progressivo impeverimento dell'influenza europea nelle grandi determinazioni internazionali
168520	176700	in parallelo con l'ostinato e esibito e contradditorio protagonismo dei singoli Stati europei. E' proprio
177460	183400	diaspora il motivo della nostra minorata influenza, così come lo è della difficoltà a tener
183400	189480	testa sul piano economico alla mutazione quasi genetica delle evoluzioni internazionali.
189600	195280	Siamo infatti in mezzo al guado, non abbiamo ancora levato l'ancora per politiche essenziali
195280	200540	come quella economica comune del mercato interno, dello sviluppo tecnologico, della ricerca,
200540	207320	dell'ambiente, che chiedono grandi dimensioni e vaste concertazioni. E altrettanto avviene
207320	214520	per le grandi sfide internazionali, alcune delle quali in questi ultimi anni hanno investito
214520	219960	direttamente alla responsabilità e l'immagine dell'Europa. Ora bisogna riconoscerlo, con
219960	224080	l'atto unico la cooperazione politica nei suoi impegni e nei suoi strumenti ha fatto
224080	229820	un passo avanti. È il momento per una decisione, perché siamo davvero ad un biglio. Voliamo
229820	236080	assegnarsi ad assistere a divisi e quindi ininfluenti, quando non auto lesionisti, all'iniziativa
