start	end	text
0	6560	dove se nelle nostre case questi nostri prodotti non sapremo dove metterli e allora immagina
6560	13900	imposta un colossale programma di edilizia a favore del mondo medio dei ceti medi ecco
13900	21640	una politica noi dobbiamo rivedere quei vincoli lacci e laccioli che hanno in questo momento
21640	28120	e che determinano un grande ritardo nella politica dell'edilizia se poi come so che
28120	34400	sta accadendo e grazie al contributo del mondo femminile della democrazia cristiana si stanno
34400	41020	impostando intelligenti collaborazioni tra il mondo assicurativo il mondo dell'edilizia
41020	47380	e il mondo del credito io penso che questa sia la via giusta e ad essa non mancherà
47380	60460	il sostegno che deve arrivare dello stato io mi accorgo di avervi intrattenuto troppo
60460	65980	e quindi mi accingo quasi a chiedervi scusa anche perché devo andare ad un altro ad un
65980	75120	altro convegno che era in precedenza in precedenza organizzata volevo dire alcune parole di riflessione
75120	83740	conclusiva noi abbiamo di fronte una legislazione difficile ci abbiamo e stiamo nel pieno di
83740	90660	una battaglia difficile che prelude a tempi più difficili dei tempi della battaglia dobbiamo
90660	99560	per quanto possibile avere idee precise ed impostare programmi concreti la nota di concretezza
99560	107140	deve dominare il dibattito politico la nota di concretezza comporta sicurezza sui valori
107140	115700	ideali che noi portiamo avanti su quelli non si discute e non si transisce ma portare avanti
115700	122820	un discorso in termini concreti significa affrontare i temi delle istituzioni del nostro
122820	131460	paese da quelle costituzionali a quelle amministrative da quelle politiche a quelle organizzative
131460	139080	delle realtà associative che sono tante ricche nel nostro paese e allora qual è il punto
139080	147920	di partenza sicuro sul terreno istituzionale la prima delle nostre istituzioni tale è stata
147920	155220	nella nostra storia e lo ricordava la hiervolino nella sua relazione introduttiva tale è e
155220	160620	rimarrà nel nostro sistema costituzionale e lo ha detto benissimo leopoldo elia ieri
160620	166880	è la prima delle istituzioni che ha quell'unico vantaggio che non deve essere toccata non
166880	172960	deve essere modificata ma in essa possiamo trovare le forze e i punti di riferimento
172960	174600	per la successiva battaglia grazie
178840	186980	dopo maria rosaria bosco lucarelli è iscritto a parlare lo sottolineo con particolare gratitudine
186980	193940	l'amico pino quartana che rappresenta il movimento famiglie nuove che espressione dei focolari
193940	196820	a maria rosaria bosco lucarelli la parola
203900	211160	sento prima di tutto il bisogno di ringraziare coloro che hanno organizzato questo convegno
211160	219720	e di dare a nome del centro italiano femminile un saluto a tutti i partecipanti il mio intervento
219720	226140	a questo significato quello di testimoniare personalmente quanto
226140	233180	lo setta ierbolino ha detto nella sua relazione che ha ripetuto anche in questo momento a
233180	240720	proposito del centro italiano femminile che in questo momento rappresento come presidente
243140	246580	l'associazione fin dal suo intervento
