start	end	text
7940	13200	Il microfono e le piazze vuote. Adesso c'è le piazze piene e non c'è il microfono.
26740	38040	Bene, noi abbiamo un'altra grande...
38040	46980	E cioè che questo ciclo espansivo dell'economia che sta vivendo l'Italia
48040	54040	possa trascorrere e magari esaurirsi
54640	64040	senza aver risolto tanti problemi della nostra società.
66200	78040	Vedete, qualche anno fa il problema principale era fare riprendere l'economia, uscire da una crisi.
78040	94300	Il problema di oggi è mantenere lo sviluppo dell'economia, utilizzarlo per risolvere questioni sociali aperte.
95440	99440	C'è ne una naturalmente che ci tormenta più delle altre.
100920	107340	E cioè questa economia che si sviluppa, che cresce, che crea nuove attività,
108940	114800	che fa dell'Italia uno dei paesi che ha avuto lo sviluppo più importante in Europa nel corso di questi anni,
115820	120380	non riesce a creare i posti di lavoro di cui abbiamo bisogno.
121360	125640	E così è che, soprattutto per i giovani e per le donne,
127280	134400	le prospettive sono incerte, oscure, nessuno è in condizione di dare assicurazioni e garanzie.
137880	142500	E dobbiamo in questi anni invece riuscire a utilizzare il progresso economico
143420	153000	e a condizionarne lo sviluppo in modo tale che la disoccupazione sia effettivamente ridotta.
154120	159760	Intendiamoci, la disoccupazione non è un problema che si presenta in Italia allo stesso modo dappertutto.
161480	164700	Anzi, si presenta con facce profondamente diverse.
164700	173260	In questo momento nel nord del Paese il tasso di disoccupazione è inferiore a quello della Germania occidentale.
174940	187420	E cioè dire, il nord dell'Italia mostra di essere più forte e anche socialmente più equilibrato del Paese più ricco d'Europa.
187420	188820	Però così non è altrove.
189780	201920	Per andare all'estremo, nel sud dell'Italia o in certe aree del sud, la disoccupazione raggiunge punte del 20%, che sono punte altissime.
203220	214780	20% della disoccupazione è una percentuale quasi esplosiva, è quella che si ritrova nelle aree povere della Spagna.
216040	220080	Ebbene questa è la prima questione che in questi anni deve essere risolta.
221700	237140	Se serve l'azione di un governo, se serve l'azione dei poteri locali e dei poteri regionali, questa deve concentrarsi a stimolare le possibilità di nuova occupazione.
239540	248340	Questo Paese che è più ricco presenta però contemporaneamente delle aree diffuse di bassi salari.
250580	255480	E queste aree debbono essere rimosse, gradatamente, ma debbono essere rimosse.
255480	272480	Perché nessuno potrà essere soddisfatto di uno sviluppo economico che crea più benessere, più ricchezza e che contemporaneamente non riduce le diseguaglianze tra i cittadini.
274380	276780	Ebbene tutto questo non andrà a posto da solo.
277680	292780	Noi sappiamo che esistono queste diseguaglianze, sappiamo che sono dei mali, ma dei mali guaribili, sappiamo che le condizioni generali sono le più propizie per risolvere questi problemi.
293680	302460	Perché lo sviluppo economico continua, fortunatamente, e tuttavia sappiamo anche che le cose non andranno a posto da solo.
